Вид транспортного засобу,Марка/модель,Рік випуску,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Місце проживання (для фіз. осіб)/Юридична адреса (для юр. осіб),Дата набуття речового права,Сума витрат на отримання речового права (грн),Дата припинення,Дата відчуження,Вартість відчуження,Наявність обтяжень,Сума доходу (грн),Балансова вартість на кінець звітного періоду (грн),Вид речового права,Тип власника,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік,Column
Автомобілі легкові,А/м Шкода Октавія Тур (Об'єм двигуна 1598 куб.см.),2008,,,,12.12.2008,"109121,6",,,,обтяження відсутнє,"20746,28",,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі легкові,А/м Рено Кангу( Об'єм двигуна 1390 куб.см.),2008,,,,15.10.2009,85900,,,,обтяження відсутнє,"24373,04",,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі легкові,А/м Рено Кангу( Об'єм двигуна 1390 куб.см.),2008,,,,15.10.2009,85900,,,,обтяження відсутнє,"24373,04",,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі легкові,А/м Фольксваген Мультівен( Об'єм двигуна 3189 куб.см.),2008,,,,04.03.2011,525000,,,,обтяження відсутнє,"221666,76",,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі легкові,А/м Шкода Румстер ( Об'єм двигуна 1198 куб.см.),2010,,,,21.08.2014,112434,,,,обтяження відсутнє,"41572,44",,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі легкові,А/м Шкода Румстер ( Об'єм двигуна 1198 куб.см.),2010,,,,29.09.2010,112434,,,,обтяження відсутнє,"41572,44",,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі легкові,А/м Шкода Октавія А5 ( Об'єм двигуна 1598 куб.см.),2010,,,,30.06.2010,159817,,,,обтяження відсутнє,"54605,8",,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі легкові,А/м Шкода Октавія А7 ( Об'єм двигуна 1395 куб.см.),2017,,,,26.01.2017,530055,,,,обтяження відсутнє,"438174,62",,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі легкові,А/м Шкода Октавія А7 ( Об'єм двигуна 1598 куб.см.),2017,,,,26.01.2017,489131,,,,обтяження відсутнє,"408710,58",,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі вантажні (спеціальні),"А/м ГАЗ ""Газель"" ( Об'єм двигуна 2464 куб.см.)",2008,,,,13.11.2009,92720,,,,обтяження відсутнє,"51612,5",,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі вантажні (спеціальні),"А/м ГАЗ ""Газель"" ( Об'єм двигуна 2464 куб.см.)",2007,,,,21.02.2008,74870,,,,обтяження відсутнє,"33880,76",,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі легкові,Mercedes-Benz S600 (5 513 куб.см),2012,"ТОВ ""Інтернаціональні Індивидуальні Проекти""",37768452,"02098, м. Київ, вул. Ю.Шумського,1 оф.114",01.04.2016,5728670,01.04.2018,,,обтяження відсутнє,"268081,04",,право користування,юридична особа,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі легкові,ЗАЗ 110557V1197,2005,,,,22.03.2007,10000,,,,обтяження відсутнє,10000,,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Івано-Франківська обласна організація,25789520,Івано-Франківська область,2017-31-03,1,2017,
Автомобілі легкові,"ЗАЗ 110557, 1197 куб. см",2005,,,,06.03.2007,,,,,обтяження відсутнє,12000,,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Кіровоградська обласна організація,24146984,Кіровоградська область,2017-31-03,1,2017,
Автомобілі легкові,"БАЕ\У00-Р80 ТР696, 1598 куб.см",2007,,,,27.11.2007,64551,,,,обтяження відсутнє,64551,,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Кіровоградська обласна організація,24146984,Кіровоградська область,2017-31-03,1,2017,
Автомобілі легкові,А/м Газ/3110 (об'єм двигуна 2500 куб. см.),2003,,,,11.08.2007,,,,,обтяження відсутнє,27307,,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Львівська обласна організація,25249083,Львівська область,2017-31-03,1,2017,
Автомобілі вантажні (спеціальні),А/мЗАЗ/ 110557 (об'єм двигуна 1197,2005,,,,16.10.2007,22040,,,,обтяження відсутнє,22040,,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Львівська обласна організація,25249083,Львівська область,2017-31-03,1,2017,
Автомобілі легкові,"ЗАЗ 110557, 1197 куб. см",2006,,,,24.10.2007,29300,,,,обтяження відсутнє,9800,,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Сумська обласна організація,24011118,Сумська область,2017-31-03,1,2017,
Автомобілі вантажні (спеціальні),"автомобіль вантажний пікап марки ЗАЗ 110557, обєм двигуна 1197 куб.см.",2006,,,,2011-01-01,,,,,обтяження відсутнє,20000,,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Херсонська міська організація,25801563,Херсонська область,2017-31-03,1,2017,
Автомобілі легкові,"ZAZ/110557, 1197 куб.см.,",2005,,,,07.07.2007,,,,,обтяження відсутнє,20992,,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Хмельницька обласна організація,22777686,Хмельницька область,2017-31-03,1,2017,
Автомобілі легкові,"ЗАЗ 110557, 1197 куб. см",2005,,,,31.07.2007,28700,,,,обтяження наявне,9000,,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Черкаська обласна організація,25770087,Черкаська область,2017-31-03,1,2017,
Автомобілі вантажні (спеціальні),"А/м ЗАЗ 110557 ППСАП-В,1190",2005,,,,31.08.2007,10000,,,,обтяження відсутнє,10000,,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Чернігівська обласна організація,25785516,Чернігівська область,2017-31-03,1,2017,
Автомобілі легкові,"ТОУОТА ТЕКСЕЦ білий Е^500028738 Сєдан легковий , 1300 куб.см",1996,"ВО""Батьківщина""",20069956,"04080 м.Київ, вул.Турівська ,15",,,,,,обтяження відсутнє,,,право користування,юридична особа,Всеукраїнське об’єднання “Батьківщина”,Дніпропетровська обласна організація,25788756,Дніпропетровська область,2017-31-03,1,2017,
Автомобілі легкові,ЗАЗ-110557,2005,"ЖИТОМИРСЬКА ОБЛАСНА ПАРТІЙНА ОРГАНІЗАЦІЯ ВСЕУКРАЇНСЬКОГО ОБ'ЄДНАННЯ ""БАТЬКІВЩИНА""",25776533,"Житомирська обл., місто Житомир, ВУЛИЦЯ ЛЕХА КАЧИНСЬКОГО, будинок 20",26.02.2010,"17763,86",26.02.2017,,,обтяження відсутнє,2550,,право користування,юридична особа,Всеукраїнське об’єднання “Батьківщина”,Житомирська обласна організація,25776533,Житомирська область,2017-31-03,1,2017,
Автомобілі легкові,"ЗАЗ 110557, 1197 куб. см",2006,Попільнянська районна партійна організація Всеукраїнського об’єднання «Батьківщина» Житомирської області,33864810,"Житомирська обл., Попільнянський район, селище міського типу Попільня, ВУЛИЦЯ БОГДАНА ХМЕЛЬНИЦЬКОГО, будинок 29",02.12.2009,15600,02.12.2016,,,обтяження відсутнє,15600,,право користування,юридична особа,Всеукраїнське об’єднання “Батьківщина”,Попільнянська районна організація,33864810,Житомирська область,2017-31-03,1,2017,"термін користування — 7 років, мав закінчитись в попередньому кварталі"
Автомобілі вантажні (спеціальні),"ЗАЗ 110557, 1,25 куб. см, 1197 кВт",2006,,,,2006-01-01,6100.0,,,,обтяження відсутнє,6100,,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Волинська обласна організація,25787544,Волинська область,2017-31-03,1,2017,
Автомобілі легкові,ЗАЗ-110557,2005,,,,2010-02-26,"17763,86",,,,обтяження відсутнє,,2380,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Житомирська обласна організація,25776533,Житомирська область,2017-06-30,2,2017,
Автомобілі легкові,ЗАЗ 110557V1197,2005,,,,2007-03-22,10000,,,,обтяження відсутнє,,10000,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Івано-Франківська обласна організація,25789520,Івано-Франківська область,2017-06-30,2,2017,
Автомобілі легкові,"ЗАЗ 110557, 1,25 куб. см, 1197 кВт",2006,,,,2005-06-28,6100.0,,,,обтяження відсутнє,,6100,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Волинська обласна організація,25787544,Волинська область,2017-06-30,2,2017,
Автомобілі легкові,"ЗАЗ 110557, 1197 куб. см",2005,,,,2005-03-06,,,,,обтяження відсутнє,,12000,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Кіровоградська обласна організація,24146984,Кіровоградська область,2017-06-30,2,2017,
Автомобілі легкові,"DAEWOO-FSO TF696, 1598 куб. см",2007,,,,2007-11-27,"64551, 00",,,,обтяження відсутнє,,64551,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Кіровоградська обласна організація,24146984,Кіровоградська область,2017-06-30,2,2017,
Автомобілі легкові,А/м Газ/3110 (об'єм двигуна 2500 куб. см.),2003,,,,11.08.2007,,,,,обтяження відсутнє,,27307,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Львівська обласна організація,25249083,Львівська область,2017-06-30,2,2017,
Автомобілі вантажні (спеціальні),А/м ЗАЗ/ 110557 (об'єм двигуна 1197 куб. см.),2005,,,,16.10.2007,22040,,,,обтяження відсутнє,,"21213,5",право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Львівська обласна організація,25249083,Львівська область,2017-06-30,2,2017,
Автомобілі легкові,"ЗАЗ 110557, 1197 куб. см",2006,,,,2009-12-02,15600,,,,обтяження відсутнє,,14820,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Попільнянська районна організація,33864810,Житомирська область,2017-06-30,2,2017,
Автомобілі легкові,"ЗАЗ 110557, 1197 куб. см",2006,,,,2007-10-24,29300,,,,обтяження відсутнє,,9800,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Сумська обласна організація,24011118,Сумська область,2017-06-30,2,2017,
Автомобілі легкові,"автомобіль вантажний пікап марки ЗАЗ 110557, обєм двигуна 1197 куб.см.",2006,,,,2005-07-03,,,,,обтяження відсутнє,,20000,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Херсонська міська організація,25801563,Херсонська область,2017-06-30,2,2017,
Автомобілі легкові,"ZAZ/110557, 1197 куб.см.,",2005,,,,2007-07-07,20992,,,,обтяження відсутнє,,20992,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Хмельницька обласна організація,22777686,Хмельницька область,2017-06-30,2,2017,
Автомобілі легкові,"ЗАЗ 110557, 1197 куб. см",2005,,,,2007-07-31,28700,,,,обтяження наявне,,9000,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Черкаська обласна організація,25770087,Черкаська область,2017-06-30,2,2017,
Автомобілі легкові,"А/м ЗАЗ 110557 ПІКАП-В,1190",2005,,,,2007-08-31,10000,,,,обтяження відсутнє,,"9499,99",право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Чернігівська обласна організація,25785516,Чернігівська область,2017-06-30,2,2017,
Автомобілі легкові,"TOYOTA TERCEL, EL500028738 Сєдан легковий , 1300 куб.см , ",1996,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКОГО ОБ""ЄДНАННЯ ""БАТЬКІВЩИНА""",20069956,"04080 м.Київ, вул.Турівська ,15",29.07.2016,,29.09.2017,,,обтяження відсутнє,,,право користування,юридична особа,Всеукраїнське об’єднання “Батьківщина”,Дніпропетровська обласна організація,25788756,Дніпропетровська область,2017-06-30,2,2017,
