Партія,Місцева організація,Область,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
Всеукраїнське об’єднання “Батьківщина”,Староміська районна організація,,25918667,"21007, Вінницька обл., місто Вінниця, ВУЛИЦЯ П. Запорожця, буд.46-А","21007, Вінницька обл., місто Вінниця, вул. П. Запорожця, буд.46-А",
Всеукраїнське об’єднання “Батьківщина”,Барська районна організація,,25962071,"23000, Вінницька обл., Барський район, місто Бар, вул. Жовтневої революції, будинок 14","23000, Вінницька обл., Барський район, місто Бар, вул. Жовтневої революції, будинок 14",
Всеукраїнське об’єднання “Батьківщина”,Бершадська районна організація,,26012236,"24400, Вінницька обл., Бершадський район, місто Бершадь, ВУЛИЦЯ Юрія Коваленка, будинок 19","24400, Вінницька обл., Бершадський район, місто Бершадь, вул. Юрія Коваленка, будинок 19",
Всеукраїнське об’єднання “Батьківщина”,Вінницька районна організація,,25962119,"23222, Вінницька обл., Вінницький район, село Якушинці, ВУЛИЦЯ АКЦІОНЕРНА, будинок 4","23222, Вінницька обл., Вінницький район, село Якушинці, вул. АКЦІОНЕРНА, будинок 4",
Всеукраїнське об’єднання “Батьківщина”,Гайсинська районна організація,,25962256,"23700, Вінницька обл., Гайсинський район, місто Гайсин, ВУЛИЦЯ БОГДАНА ХМЕЛЬНИЦЬКОГО, будинок 16","23700, Вінницька обл., Гайсинський район, місто Гайсин, вул. БОГДАНА ХМЕЛЬНИЦЬКОГО, будинок 16",
Всеукраїнське об’єднання “Батьківщина”,Жмеринська районна організація,,25512623,"23100, Вінницька обл., місто Жмеринка, ВУЛИЦЯ Київська, будинок 18","23100, Вінницька обл., місто Жмеринка, вул. Київська, будинок 18",
Всеукраїнське об’єднання “Батьківщина”,Іллінецька районна організація,,26142097,"22700, Вінницька обл., Іллінецький район, місто Іллінці, ВУЛ.Європейська, буд.44","22700, Вінницька обл., Іллінецький район, місто Іллінці, ВУЛ.Європейська, буд.44",
Всеукраїнське об’єднання “Батьківщина”,Калинівська районна організація,,25512304,"22400, Вінницька обл., Калинівський район, місто Калинівка, ВУЛИЦЯ Незалежності, будинок 2","22400, Вінницька обл., Калинівський район, місто Калинівка, вул. Незалежності, будинок 2",
Всеукраїнське об’єднання “Батьківщина”,Козятинська районна організація,,25962243,"22100, Вінницька обл., місто Козятин, ВУЛИЦЯ Червоноармійська, будинок 39","22100, Вінницька обл., місто Козятин, вул. Червоноармійська, будинок 39",
Всеукраїнське об’єднання “Батьківщина”,Крижопільська районна організація,,25962148,"24600, Вінницька обл., Крижопільський район, селище міського типу Крижопіль, ВУЛИЦЯ ВОЙЦЕХА ДЕЖИНСЬКОГО, будинок 17 А","24600, Вінницька обл., Крижопільський район, селище міського типу Крижопіль, вул. ВОЙЦЕХА ДЕЖИНСЬКОГО, будинок 17 А",
Всеукраїнське об’єднання “Батьківщина”,Липовецька районна організація,,25962384,"22500, Вінницька обл., Липовецький район, місто Липовець, ВУЛИЦЯ ЛЕНІНА, будинок 55","22500, Вінницька обл., Липовецький район, місто Липовець, вул. Липківського, будинок 57",
Всеукраїнське об’єднання “Батьківщина”,Літинська районна організація,,25845810,"22300, Вінницька обл., Літинський район, селище міського типу Літин, ВУЛИЦЯ Соборна, будинок 17","22300, Вінницька обл., Літинський район, селище міського типу Літин, вул. Соборна, будинок 17",
Всеукраїнське об’єднання “Батьківщина”,Могилів-Подільська районна організація,,35711789,"24000, Вінницька обл., місто Могилів-Подільський, ВУЛИЦЯ КИЇВСЬКА, будинок 29","24000, Вінницька обл., місто Могилів-Подільський, вул. КИЇВСЬКА, будинок 29",
Всеукраїнське об’єднання “Батьківщина”,Мурованокуриловецька районна організація,,25962160,"23400, Вінницька обл., Мурованокуриловецький район, селище міського типу Муровані Курилівці, ВУЛ.Жовтнева, будинок 8, кв.10","23400, Вінницька обл., Мурованокуриловецький район, селище міського типу Муровані Курилівці, ВУЛ.Жовтнева, будинок 8, кв.10",
Всеукраїнське об’єднання “Батьківщина”,Немирівська районна організація,,25962177,"22800, Вінницька обл., Немирівський район, місто Немирів, ВУЛ. ГОРЬКОГО, будинок 94","22800, Вінницька обл., Немирівський район, місто Немирів, ВУЛ. ГОРЬКОГО, будинок 94",
Всеукраїнське об’єднання “Батьківщина”,Оратівська районна організація,,36684877,"22600, Вінницька обл., Оратівський район, селище міського типу Оратів, ВУЛИЦЯ ЛЕНІНА, будинок 95","22600, Вінницька обл., Оратівський район, селище міського типу Оратів, вул. ЛЕНІНА, будинок 95",
Всеукраїнське об’єднання “Батьківщина”,Піщанська районна організація,,25962191,"24700, Вінницька обл., Піщанський район, селище міського типу Піщанка, вул. Горького, будинок 15, квартира 2","24700, Вінницька обл., Піщанський район, селище міського типу Піщанка, вул. Горького, будинок 15, квартира 2",
Всеукраїнське об’єднання “Батьківщина”,Погребищенська районна організація,,36244203,"22200, Вінницька обл., Погребищенський район, місто Погребище, ВУЛИЦЯ ШЕВЧЕНКА, будинок 92","22200, Вінницька обл., Погребищенський район, місто Погребище, вул. ШЕВЧЕНКА, будинок 92",
Всеукраїнське об’єднання “Батьківщина”,Теплицька районна організація,,25962214,"23800, Вінницька обл., Теплицький район, селище міського типу Теплик, ВУЛИЦЯ Піонерська , будинок 16","23800, Вінницька обл., Теплицький район, селище міського типу Теплик, вул. Піонерська , будинок 16",
Всеукраїнське об’єднання “Батьківщина”,Тиврівська районна організація ,,25962220,"23300, Вінницька обл., Тиврівський район, селище міського типу Тиврів, ВУЛИЦЯ ЖОВТНЕВА, будинок 5","23300, Вінницька обл., Тиврівський район, селище міського типу Тиврів, вул. ЖОВТНЕВА, будинок 5",
Всеукраїнське об’єднання “Батьківщина”,Томашпільська районна організація,,25962266,"24200, Вінницька обл., Томашпільський район, селище міського типу Томашпіль, ПЛОЩА Т.Шевченка, будинок 12","24200, Вінницька обл., Томашпільський район, селище міського типу Томашпіль, ПЛОЩА Т.Шевченка, будинок 12",
Всеукраїнське об’єднання “Батьківщина”,Тростянецька районна організація,,25962237,"24300, Вінницька обл., Тростянецький район, селище міського типу Тростянець, ВУЛИЦЯ Соборна, будинок 96","24300, Вінницька обл., Тростянецький район, селище міського типу Тростянець, вул. Соборна, будинок 96",
Всеукраїнське об’єднання “Батьківщина”,Тульчинська районна організація,,25962131,"23600, Вінницька обл., Тульчинський район, місто Тульчин, ВУЛИЦЯ Миколи Леонтовича, будинок 39, кв.83","23600, Вінницька обл., Тульчинський район, місто Тульчин, вул. Миколи Леонтовича, будинок 39, кв.83",
Всеукраїнське об’єднання “Батьківщина”,Хмільницька районна організація,,36575263,"22000, Вінницька обл., місто Хмільник, ВУЛИЦЯ ЛЕНІНА, будинок 54","22000, Вінницька обл., місто Хмільник, вул. ЛЕНІНА, будинок 54",
Всеукраїнське об’єднання “Батьківщина”,Чернівецька районна організація,,36834065,"24100, Вінницька обл., Чернівецький район, селище міського типу Чернівці, ВУЛ.Іжаківського , будинок 26","24100, Вінницька обл., Чернівецький район, селище міського типу Чернівці, ВУЛ.Іжаківського , будинок 26",
Всеукраїнське об’єднання “Батьківщина”,Чечельницька районна організація,,25888357,"24800, Вінницька обл., Чечельницький район, селище міського типу Чечельник, ВУЛИЦЯ ГЕРОЇВ МАЙДАНУ, будинок 46","24800, Вінницька обл., Чечельницький район, селище міського типу Чечельник, вул. ГЕРОЇВ МАЙДАНУ, будинок 46",
Всеукраїнське об’єднання “Батьківщина”,Шаргородська районна організація,,25962125,"23500, Вінницька обл., Шаргородський район, місто Шаргород, ВУЛИЦЯ Героїв Майдану, 226","23500, Вінницька обл., Шаргородський район, місто Шаргород, вул. Героїв Майдану, 226",
Всеукраїнське об’єднання “Батьківщина”,Ямпільська районна організація,,26076087,"24500, Вінницька обл., Ямпільський район, місто Ямпіль, ВУЛИЦЯ ЛЕНІНА, будинок 24, кв.12","24500, Вінницька обл., Ямпільський район, місто Ямпіль, вул. ЛЕНІНА, будинок 24, кв.12",
Всеукраїнське об’єднання “Батьківщина”,Волинська обласна організація,,25787544,"43025, Волинська обл., місто Луцьк, ВУЛИЦЯ НАБЕРЕЖНА, будинок 2","43025, Волинська обл., місто Луцьк, вул. НАБЕРЕЖНА, будинок 2","ПАТ Укрсоцбанк м. Луцьк, МФО 300023, р/р 26005000001595"
Всеукраїнське об’єднання “Батьківщина”,Володимир-Волинська міська організація,,25910016,"44700, Волинська обл., місто Володимир-Волинський, ВУЛИЦЯ КОВЕЛЬСЬКА, будинок 29","44700, Волинська обл., місто Володимир-Волинський, вул. КОВЕЛЬСЬКА, будинок 29",
Всеукраїнське об’єднання “Батьківщина”,Ковельська міська організація,,25910039,"45004, Волинська обл., місто Ковель, ВУЛИЦЯ СТЕПАНА БАНДЕРИ, будинок 9","45004, Волинська обл., місто Ковель, вул. СТЕПАНА БАНДЕРИ, будинок 9","ПАТ КБ ПРИВАТБАНК м. Ковель(МФО 303440), р/р 26004055510716"
Всеукраїнське об’єднання “Батьківщина”,Луцька міська організація,,25910022,"43000, Волинська обл., місто Луцьк, вул. Набережна, буд.2","43000, Волинська обл., місто Луцьк,вул. Набережна, буд.2","ПАТ КБ ПРИВАТБАНК м. Луцьк(МФО 303440), р/р 26007055517909"
Всеукраїнське об’єднання “Батьківщина”,Нововолинська міська організація,,25788221,"45400, Волинська обл., місто Нововолинськ, БУЛЬВАР ШЕВЧЕНКА, будинок 7/1","45400, Волинська обл., місто Нововолинськ, БУЛЬВАР ШЕВЧЕНКА, будинок 7/1",
Всеукраїнське об’єднання “Батьківщина”,Горохівська районна організація,,25910068,"45700, Волинська обл., Горохівський район, місто Горохів, ВУЛИЦЯ СОКАЛЬСЬКА, будинок 2А","45700, Волинська обл., Горохівський район, місто Горохів, вул. СОКАЛЬСЬКА, будинок 2А",
Всеукраїнське об’єднання “Батьківщина”,Іваничівська районна організація,,25910051,"45300, Волинська обл., Іваничівський район, селище міського типу Іваничі, ВУЛИЦЯ ГРУШЕВСЬКОГО, будинок 12","45300, Волинська обл., Іваничівський район, селище міського типу Іваничі, вул. ГРУШЕВСЬКОГО, будинок 12",
Всеукраїнське об’єднання “Батьківщина”,Камінь-Каширська районна організація,,25910074,"44500, Волинська обл., Камінь-Каширський район, місто Камінь-Каширський, Шевченка, будинок 5","44500, Волинська обл., Камінь-Каширський район, місто Камінь-Каширський, Шевченка, будинок 5",
Всеукраїнське об’єднання “Батьківщина”,Ківерцівська районна організація,,25910080,"45200, Волинська обл., Ківерцівський район, місто Ківерці, ВУЛИЦЯ НЕЗАЛЕЖНОСТІ, будинок 2","45200, Волинська обл., Ківерцівський район, місто Ківерці, вул. НЕЗАЛЕЖНОСТІ, будинок 2",
Всеукраїнське об’єднання “Батьківщина”,Ковельська районна організація,,25910097,"45000, Волинська обл., місто Ковель, ВУЛИЦЯ ГРУШЕВСЬКОГО, будинок 14","45000, Волинська обл., місто Ковель, вул. ГРУШЕВСЬКОГО, будинок 14","ПАТ КБ ПРИВАТБАНК м. Ковель(МФО 303440), р/р 26008055506469"
Всеукраїнське об’єднання “Батьківщина”,Локачинська районна організація,,25909941,"45500, Волинська обл., Локачинський район, селище міського типу Локачі, ВУЛИЦЯ ЛУЦЬКА, будинок 2","45500, Волинська обл., Локачинський район, селище міського типу Локачі, вул. ЛУЦЬКА, будинок 2",
Всеукраїнське об’єднання “Батьківщина”,Луцька районна організація,,25910105,"43021, Волинська обл., м. Луцьк, вул. Винниченка будинок 67, оф. 204","43021, Волинська обл., м. Луцьк, вул. Винниченка будинок 67, оф. 204","ПАТ КБ ПРИВАТБАНК м. Луцьк(МФО 303440), р/р 26008055519865"
Всеукраїнське об’єднання “Батьківщина”,Любешівська районна організація,,36716987,"44200, Волинська обл., Любешівський район, селище міського типу Любешів, ВУЛИЦЯ ЧЕРВОНОАРМІЙСЬКА, будинок 24","44200, Волинська обл., Любешівський район, селище міського типу Любешів, вул. ЧЕРВОНОАРМІЙСЬКА, будинок 24",
Всеукраїнське об’єднання “Батьківщина”,Любомльська районна організація,,25909958,"44300, Волинська обл., Любомльський район, місто Любомль, ВУЛИЦЯНЕЗАЛЕЖНОСТІ, будинок 20","44300, Волинська обл., Любомльський район, місто Любомль, вул.НЕЗАЛЕЖНОСТІ, будинок 20",
Всеукраїнське об’єднання “Батьківщина”,Маневицька районна організація,,25909964,"44600, Волинська обл., Маневицький район, селище міського типу Маневичі, ВУЛИЦЯ ГОРЬКОГО, будинок 9","44600, Волинська обл., Маневицький район, селище міського типу Маневичі, вул. ГОРЬКОГО, будинок 9",
Всеукраїнське об’єднання “Батьківщина”,Ратнівська районна організація,,25816276,"44100, Волинська обл., Ратнівський район, селище міського типу Ратне, ВУЛИЦЯ ЦЕНТРАЛЬНА, будинок 42","44100, Волинська обл., Ратнівський район, селище міського типу Ратне, вул. ЦЕНТРАЛЬНА, будинок 42",
Всеукраїнське об’єднання “Батьківщина”,Рожищенська районна організація,,25909970,"45100, Волинська обл., Рожищенський район, місто Рожище, ВУЛИЦЯ НЕЗАЛЕЖНОСТІ, будинок 82","45100, Волинська обл., Рожищенський район, місто Рожище, вул. НЕЗАЛЕЖНОСТІ, будинок 82","ПАТ КБ ПРИВАТБАНК Волинська область (МФО 303440), р/р 26006055512381"
Всеукраїнське об’єднання “Батьківщина”,Старовижівська районна організація,,25909987,"44400, Волинська обл., Старовижівський район, селище міського типу Стара Вижівка, ВУЛИЦЯ НЕЗАЛЕЖНОСТІ, будинок 83","44400, Волинська обл., Старовижівський район, селище міського типу Стара Вижівка, вул. НЕЗАЛЕЖНОСТІ, будинок 83",
Всеукраїнське об’єднання “Батьківщина”,Турійська районна організація ,,25909993,"44800, Волинська обл., Турійський район, селище міського типу Турійськ, ВУЛИЦЯ ЛУЦЬКА, будинок 16","44800, Волинська обл., Турійський район, селище міського типу Турійськ, вул. ЛУЦЬКА, будинок 16",
Всеукраїнське об’єднання “Батьківщина”,Шацька районна організація ,,25910000,"44000, Волинська обл., Шацький район, селище міського типу Шацьк, вул. Шковороди, будинок 13","44000, Волинська обл., Шацький район, селище міського типу Шацьк, вул. Шковороди, будинок 13",
Всеукраїнське об’єднання “Батьківщина”,Дніпропетровська обласна організація,,25788756,"49000, Дніпропетровська обл., місто Дніпро, ВУЛИЦЯ КАРЛА ЛІБКНЕХТА, будинок 8","49000, Дніпропетровська обл., місто Дніпро, вул. КАРЛА ЛІБКНЕХТА, будинок 8","ПАТ ""ВТБ БАНК"" ВІДДІЛЕННЯ ""ДНІПРОПЕТРОВСЬКЕ"", МФО 321767, Р/РАХ № 26007010037108, АТ ""Укрбудінвестбанк"" Дніпровське відділення №1, МФО 380377, п/р 26001501670821"
Всеукраїнське об’єднання “Батьківщина”,Дніпровська міська організація,,25841338,"49000, Дніпропетровська обл., місто Дніпро, ВУЛИЦЯ Дмитра Яворницького, буд.82, офіс 35","49000, Дніпропетровська обл., місто Дніпро, вул. Дмитра Яворницького, буд.82, офіс 35","ПАТ КБ ""ПриватБанк"", МФО 305299, р/р 26006050274753, р/р 26058050234150 (картковий рахунок)"
Всеукраїнське об’єднання “Батьківщина”,Вільногірська міська організація,,25841321,"Дніпропетровська обл., місто Вільногірськ, ВУЛИЦЯ ЦЕНТРАЛЬНА, будинок 45, приміщення 2","Дніпропетровська обл., місто Вільногірськ, вул. ЦЕНТРАЛЬНА, будинок 45, приміщення 2","ПАТ КБ ""ПриватБанк"", МФО 305299, р/р 26006050268468"
Всеукраїнське об’єднання “Батьківщина”,Кам’янська міська організація,,25841723,"51931, Дніпропетровська обл., місто Кам’янське, ВУЛИЦЯ РЕСПУБЛІКАНСЬКА, будинок 9 А, офіс 301","51931, Дніпропетровська обл., місто Кам’янське, вул. РЕСПУБЛІКАНСЬКА, будинок 9 А, офіс 301","ПАТ КБ ""Приватбанк"", МФО 305299, № р/р 26005050261660"
Всеукраїнське об’єднання “Батьківщина”,Жовтоводська міська організація,,25841344,"52204, Дніпропетровська обл., місто Жовті Води, ВУЛИЦЯ КРОПОТКІНА, будинок 14, корпус 3, кімната 134 А","52204, Дніпропетровська обл., місто Жовті Води, вул. КРОПОТКІНА, будинок 14, корпус 3, кімната 134 А","ПАТ КБ ""Приватбанк"", МФО 305299, № р/р 26001050273533"
Всеукраїнське об’єднання “Батьківщина”,Криворізька міська організація,,25840741,"50027, Дніпропетровська обл., місто Кривий Ріг, ВУЛИЦЯ Святогеоргіївська, будинок 11, приміщення 56","50027, Дніпропетровська обл., місто Кривий Ріг, вул. Святогеоргіївська, будинок 11, приміщення 56","ПАТ КБ ""Приватбанк"" Криворізька філія, МФО 305750, № р/р 26006053519096"
Всеукраїнське об’єднання “Батьківщина”,Марганецька міська організація,,25841350,"53400, Дніпропетровська обл., місто Марганець, ВУЛИЦЯ ЦЕНТРАЛЬНА, будинок 49","53400, Дніпропетровська обл., місто Марганець, вул. ЦЕНТРАЛЬНА, будинок 49","ПАТ КБ ""ПриватБанк"", МФО 305299, р/р 26008050277361"
Всеукраїнське об’єднання “Батьківщина”,Нікопольська міська організація ,,25841367,"53210, Дніпропетровська обл., місто Нікополь, ПРОСПЕКТ ТРУБНИКІВ, будинок 24, квартира 73","53210, Дніпропетровська обл., місто Нікополь, проспект ТРУБНИКІВ, будинок 24, квартира 73","ПАТ КБ ""ПриватБанк"", МФО 305299, р/р 26007050277920"
Всеукраїнське об’єднання “Батьківщина”,Новомосковська міська організація,,25841700,"51200, Дніпропетровська обл., місто Новомосковськ, ВУЛИЦЯ СУЧКОВА, будинок 66","51200, Дніпропетровська обл., місто Новомосковськ, вул. СУЧКОВА, будинок 66","ПАТ КБ ""ПриватБанк"", МФО 305299, р/р 26006050271961, р/р 26421050000126, р/р 26421050000966"
Всеукраїнське об’єднання “Батьківщина”,Покровська міська організація ,,25841692,"53300, Дніпропетровська обл., місто Покров, ВУЛИЦЯ ГЕРОЇВ УКРАЇНИ, будинок 5","53300, Дніпропетровська обл., місто Покров, вул. ГЕРОЇВ УКРАЇНИ, будинок 5","ПАТ КБ ""ПриватБанк"", МФО 305299, р/р 26002050274326, р/р 26040050209977 (рахунок для соц виплат), р/р 26055050232735 (картковий рах)"
Всеукраїнське об’єднання “Батьківщина”,Павлоградська міська організація,,25914043,"51400, Дніпропетровська обл., місто Павлоград, ВУЛИЦЯ ГОРЬКОГО , будинок 166, корпус 3, кімната 101","51400, Дніпропетровська обл., місто Павлоград, вул. ГОРЬКОГО , будинок 166, корпус 3, кімната 101","ПАТ КБ ""ПриватБанк"", МФО 305299, р/р 26007050256480"
Всеукраїнське об’єднання “Батьківщина”,Першотравенська міська організація,,34357170,"52800, Дніпропетровська обл., місто Першотравенськ, ВУЛ. ЧАЙКОВСЬКОГО, будинок 17, квартира 62","52800, Дніпропетровська обл., місто Першотравенськ, ВУЛ. ЧАЙКОВСЬКОГО, будинок 17, квартира 62","ПАТ КБ ""ПриватБанк"", МФО 305299, р/р 26004050322210, р/р 26042050209403 (рахунок для соц виплат), р/р 26055050245012 (картковий рах)"
Всеукраїнське об’єднання “Батьківщина”,П'ятихатська міська організація,,34894253,"52100, Дніпропетровська обл., П'ятихатський район, місто П'ятихатки, ВУЛ. МАМОНА, будинок 119","52100, Дніпропетровська обл., П'ятихатський район, місто П'ятихатки, ВУЛ. МАМОНА, будинок 119",
Всеукраїнське об’єднання “Батьківщина”,Синельниківська міська організація,,25927092,"52500, Дніпропетровська обл., місто Синельникове, ВУЛИЦЯ ЕНГЕЛЬСА, будинок 3","52500, Дніпропетровська обл., місто Синельникове, вул. ЕНГЕЛЬСА, будинок 3","ПАТ КБ ""ПриватБанк"", МФО 305299, р/р 26008050318275"
Всеукраїнське об’єднання “Батьківщина”,Тернівська міська організація,,25947095,"51502, Дніпропетровська обл., місто Тернівка, БУЛЬВАР АРТЕМА, будинок 2, квартира 48","51502, Дніпропетровська обл., місто Тернівка, БУЛЬВАР АРТЕМА, будинок 2, квартира 48","ПАТ КБ ""ПриватБанк"", МФО 305299, р/р 26009050272600"
Всеукраїнське об’єднання “Батьківщина”,Південна районна організація,,25956774,"51931, Дніпропетровська обл., місто Кам’янське, ВУЛИЦЯ РЕСПУБЛІКАНСЬКА, будинок 9 А, офіс 301","51931, Дніпропетровська обл., місто Кам’янське, вул. РЕСПУБЛІКАНСЬКА, будинок 9 А, офіс 301","ПАТ КБ ""ПриватБанк"", МФО 305299, р/р 26003050273177"
Всеукраїнське об’єднання “Батьківщина”,Дніпровська районна організація,,26051242,"51931, Дніпропетровська обл., місто Кам’янське, ВУЛИЦЯ РЕСПУБЛІКАНСЬКА, будинок 9 А, офіс 301","51931, Дніпропетровська обл., місто Кам’янське, вул. РЕСПУБЛІКАНСЬКА, будинок 9 А, офіс 301","ПАТ КБ ""ПриватБанк"", МФО 305299, р/р 26009050272707"
Всеукраїнське об’єднання “Батьківщина”,Заводська районна організація,,25956805,"51931, Дніпропетровська обл., місто Кам’янське, ВУЛИЦЯ РЕСПУБЛІКАНСЬКА, будинок 9 А, офіс 301","51931, Дніпропетровська обл., місто Кам’янське, вул. РЕСПУБЛІКАНСЬКА, будинок 9 А, офіс 301","ПАТ КБ ""ПриватБанк"", МФО 305299, р/р 26004050270340"
Всеукраїнське об’єднання “Батьківщина”,Амур-Нижньодніпровська районна організація,,25841373,"49087, Дніпропетровська обл., місто Дніпро, ВУЛИЦЯ КАЛИНОВА, будинок 87, кімната 303","49087, Дніпропетровська обл., місто Дніпро, вул. КАЛИНОВА, будинок 87, кімната 303","ПАТ КБ ""ПриватБанк"", МФО 305299, р/р 26003050016077, р/р 26004050014885 (пот депозит), р/р26085000842208"
Всеукраїнське об’єднання “Батьківщина”,Шевченківська районна організація,,25841386,"49005, Дніпропетровська обл., місто Дніпро, ВУЛИЦЯ ГЕРОЇВ КРУТ, будинок 16","49005, Дніпропетровська обл., місто Дніпро, вул. ГЕРОЇВ КРУТ, будинок 16","ПАТ КБ ""ПриватБанк"", МФО 305299, р/р 26007050261196, р/р картковий 26054050238826"
Всеукраїнське об’єднання “Батьківщина”,Соборна районна організація,,25841396,"49000, Дніпропетровська обл., місто Дніпро, ВУЛИЦЯ ГЕРОЇВ КРУТ, будинок 16","49000, Дніпропетровська обл., місто Дніпро, вул. ГЕРОЇВ КРУТ, будинок 16","ПАТ КБ ""ПриватБанк"", МФО 305299, р/р 26008050272690"
Всеукраїнське об’єднання “Батьківщина”,Індустріальна районна організація,,25841686,"49000, Дніпропетровська обл., місто Дніпро, ПРОСПЕКТ СЛОБОЖАНСЬКИЙ, будинок 95","49000, Дніпропетровська обл., місто Дніпро, проспект СЛОБОЖАНСЬКИЙ, будинок 95","ПАТ КБ ""ПриватБанк"", МФО 305299, р/р 26005050279016"
Всеукраїнське об’єднання “Батьківщина”,Центральна районна організація,,25841404,"49000, Дніпропетровська обл., місто Дніпро, ВУЛИЦЯ СІЧЕСЛАВСЬКА НАБЕРЕЖНА, будинок 16, офіс 21","49000, Дніпропетровська обл., місто Дніпро, вул. СІЧЕСЛАВСЬКА НАБЕРЕЖНА, будинок 16, офіс 21","ПАТ КБ ""ПриватБанк"", МФО 305299, р/р 26002050267720, р/р картковий 26053050237196"
Всеукраїнське об’єднання “Батьківщина”,Чечелівська районна організація,,25841433,"49006, Дніпропетровська обл., місто Дніпро, ВУЛИЦЯ Філософська , будинок 44- А,офіс 19","49006, Дніпропетровська обл., місто Дніпро, вул. Філософська , будинок 44- А,офіс 19","ПАТ КБ ""ПриватБанк"", МФО 305299, р/р 26003050277452, р/р 26055050234829 картковий"
Всеукраїнське об’єднання “Батьківщина”,Новокадацька районна організація,,25841440,"49000, Дніпропетровська обл., місто Дніпро, ПРОСПЕКТ СЕРГІЯ НІГОЯНА, будинок 68","49000, Дніпропетровська обл., місто Дніпро, проспект СЕРГІЯ НІГОЯНА, будинок 68","ПАТ КБ ""ПриватБанк"", МФО 305299, р/р 26009050011474"
Всеукраїнське об’єднання “Батьківщина”,Самарська районна організація,,25841456,"49127, Дніпропетровська обл., місто Дніпро, ВУЛИЦЯ 20-річчя Перемоги, будинок 30, офіс 3","49127, Дніпропетровська обл., місто Дніпро, вул. 20-річчя Перемоги, будинок 30, офіс 3","ПАТ КБ ""ПриватБанк"", МФО 305299, р/р 26003050276969"
Всеукраїнське об’єднання “Батьківщина”,Металургійна районна організація,,25841226,"50050, Дніпропетровська обл., місто Кривий Ріг, ВУЛИЦЯ РЯЗАНОВА, будинок 11, приміщення 56","50050, Дніпропетровська обл., місто Кривий Ріг, вул. РЯЗАНОВА, будинок 11, приміщення 56","ПАТ КБ ""ПриватБанк"", Криворізька філія, МФО 305750, р/р 26009053512250"
Всеукраїнське об’єднання “Батьківщина”,Довгинцівська районна організація,,25841232,"50086, Дніпропетровська обл., місто Кривий Ріг, ВУЛИЦЯ БУДЬОННОГО, будинок 4, ПРИМ. 1","50086, Дніпропетровська обл., місто Кривий Ріг, вул. БУДЬОННОГО, будинок 4, ПРИМ. 1","ПАТ КБ ""ПриватБанк"", Криворізька філія, МФО 305750, р/р 26006053520115"
