Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Географічний обʼєкт,Дата
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду кандидата,26436052200276,0,"Об'єднання ""Самопоміч""",Центральний офіс,Україна,2017-06-30
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду кандидата,26438052200111,0,"Об'єднання ""Самопоміч""",Центральний офіс,Україна,2017-06-30
АТ “Ощадбанк”,рахунок виборчого фонду політичної партії,26426801198729,0,"Об'єднання ""Самопоміч""",Центральний офіс,Україна,2017-06-30
АТ “Ощадбанк”,рахунок виборчого фонду політичної партії,26421301198729,0,"Об'єднання ""Самопоміч""",Центральний офіс,Україна,2017-06-30
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26421051400852,0,"Об'єднання ""Самопоміч""",Центральний офіс,Україна,2017-06-30
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26424051400699,0,"Об'єднання ""Самопоміч""",Центральний офіс,Україна,2017-06-30
"АБ ""Укргазбанк""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26008924418040,"14813520,12","Об'єднання ""Самопоміч""",Центральний офіс,Україна,2017-06-30
"ПАТ КБ ""Приватбанк""",поточний рахунок,26003055805103,0,"Об'єднання ""Самопоміч""",Баранівська районна організація,Житомирська область,2017-06-30
АТ “Ощадбанк”,поточний рахунок,26000171311565,"524,71","Об'єднання ""Самопоміч""",Барська районна організація,Вінницька область,2017-06-30
АТ “Ощадбанк”,поточний рахунок,26008301906419,0,"Об'єднання ""Самопоміч""",Бердичівська міська організація,Житомирська область,2017-06-30
"ПАТ КБ ""Приватбанк""",поточний рахунок,26001055325259,"10929,58","Об'єднання ""Самопоміч""",Вінницька міська організація,Вінницька область,2017-06-30
"АБ ""Укргазбанк""",поточний рахунок,26009924419253,0,"Об'єднання ""Самопоміч""",Вінницька міська організація,Вінницька область,2017-06-30
"ПАТ КБ ""Приватбанк""",поточний рахунок,26007055327455,"431,54","Об'єднання ""Самопоміч""",Вінницька обласна організація,Вінницька область,2017-06-30
"ПАТ КБ ""Приватбанк""",поточний рахунок,26002055509934,"53633,07","Об'єднання ""Самопоміч""",Волинська обласна організація,Волинська область,2017-06-30
АБ “Укргазбанк”,поточний рахунок,26000924419122,0,"Об'єднання ""Самопоміч""",Волинська обласна організація,Волинська область,2017-06-30
АБ “Укргазбанк”,поточний рахунок,26003288682,"735,5","Об'єднання ""Самопоміч""",Гайсинська районна організація,Вінницька область,2017-06-30
"ПАТ ""АКБ ""Конкорд""",поточний рахунок,260040001280001,"189,75","Об'єднання ""Самопоміч""",Дніпровська міська організація,Дніпропетровська область,2017-06-30
"АБ ""Укргазбанк""",поточний рахунок,26003924419196,0,"Об'єднання ""Самопоміч""",Дніпровська міська організація,Дніпропетровська область,2017-06-30
"ПАТ ""АКБ ""Конкорд""",поточний рахунок,26006001255001,"11346,35","Об'єднання ""Самопоміч""",Дніпропетровська обласна організація,Дніпропетровська область,2017-06-30
"АБ ""Укргазбанк""",поточний рахунок,26001924419381,100,"Об'єднання ""Самопоміч""",Дніпропетровська обласна організація,Дніпропетровська область,2017-06-30
"АБ ""Укргазбанк""",поточний рахунок,26006924419115,0,"Об'єднання ""Самопоміч""",Житомирська міська організація,Житомирська область,2017-06-30
АТ “Ощадбанк”,поточний рахунок,26001300961388,0,"Об'єднання ""Самопоміч""",Житомирська міська організація,Житомирська область,2017-06-30
"АБ ""Укргазбанк""",поточний рахунок,26009924419048,0,"Об'єднання ""Самопоміч""",Житомирська обласна організація,Житомирська область,2017-06-30
АТ “Ощадбанк”,поточний рахунок,26007300964334,"567,95","Об'єднання ""Самопоміч""",Житомирська обласна організація,Житомирська область,2017-06-30
"ПАТ КБ ""Приватбанк""",поточний рахунок,26426055300611,0,"Об'єднання ""Самопоміч""",Жмеринська міська організація,Вінницька область,2017-06-30
"ПАТ КБ ""Приватбанк""",поточний рахунок,26426055300581,0,"Об'єднання ""Самопоміч""",Жмеринська міська організація,Вінницька область,2017-06-30
"ПАТ ""Банк інвестиції та заощадження""",поточний рахунок,260058922001,0,"Об'єднання ""Самопоміч""",Закарпатська обласна організація,Закарпатська область,2017-06-30
"АБ ""Укргазбанк""",поточний рахунок,26006924419290,0,"Об'єднання ""Самопоміч""",Закарпатська обласна організація,Закарпатська область,2017-06-30
"ПАТ ""Банк кредит Дніпро""",поточний рахунок,2600531005901,0,"Об'єднання ""Самопоміч""",Запорізька міська організація,Запорізька область,2017-06-30
"АБ ""Укргазбанк""",поточний рахунок,26008924419362,0,"Об'єднання ""Самопоміч""",Запорізька міська організація,Запорізька область,2017-06-30
"АБ ""Укргазбанк""",поточний рахунок,26000924419371,0,"Об'єднання ""Самопоміч""",Запорізька обласна організація,Запорізька область,2017-06-30
"ПАТ ""Банк кредит Дніпро""",поточний рахунок,2600631005801,0,"Об'єднання ""Самопоміч""",Запорізька обласна організація,Запорізька область,2017-06-30
"АТ ""Райффайзен банк Аваль""",поточний рахунок,26001495247,0,"Об'єднання ""Самопоміч""",Здолбунівська районна організація,Рівненська область,2017-06-30
"АТ ""Райффайзен банк Аваль""",поточний рахунок,26000492575,0,"Об'єднання ""Самопоміч""",Івано-Франківська обласна організація,Івано-Франківська область,2017-06-30
"АБ ""Укргазбанк""",поточний рахунок,26000924418985,0,"Об'єднання ""Самопоміч""",Івано-Франківська обласна організація,Івано-Франківська область,2017-06-30
"ПАТ КБ ""Приватбанк""",поточний рахунок,26008050255435,"6,69","Об'єднання ""Самопоміч""",Кам'янська міська організація,Дніпропетровська область,2017-06-30
"ПАТ КБ ""Приватбанк""",поточний рахунок,26004052203832,0,"Об'єднання ""Самопоміч""",Каховська міська організація,Херсонська область,2017-06-30
"ПАТ ""Укрсоцбанк""",поточний рахунок,26007011663072,"267,89","Об'єднання ""Самопоміч""",Київська міська організація,Київ,2017-06-30
"АБ ""Укргазбанк""",поточний рахунок,260049244192929,0,"Об'єднання ""Самопоміч""",Київська міська організація,Київ,2017-06-30
"ПАТ ""Укрсоцбанк""",поточний рахунок,26009011670892,"53363,8","Об'єднання ""Самопоміч""",Київська обласна організація,Київська область,2017-06-30
"ПАТ ""Укрсоцбанк""",поточний рахунок,26051011670914,"6,26","Об'єднання ""Самопоміч""",Київська обласна організація,Київська область,2017-06-30
"АБ ""Укргазбанк""",поточний рахунок,26007924419329,0,"Об'єднання ""Самопоміч""",Київська обласна організація,Київська область,2017-06-30
"АТ ""Укрсиббанк""",поточний рахунок,26005573546200,"269,84","Об'єднання ""Самопоміч""",Кіровоградська обласна організація,Кіровоградська область,2017-06-30
"АБ ""Укргазбанк""",поточний рахунок,26007924420170,0,"Об'єднання ""Самопоміч""",Кіровоградська обласна організація,Кіровоградська область,2017-06-30
"ПАТ КБ ""Приватбанк""",поточний рахунок,26006055322365,81,"Об'єднання ""Самопоміч""",Козятинська міська організація,Вінницька область,2017-06-30
"ПАТ КБ ""Приватбанк""",поточний рахунок,26003052516971,"135,57","Об'єднання ""Самопоміч""",Коломийська міська організація,Івано-Франківська область,2017-06-30
"ПАТ КБ ""Приватбанк""",поточний рахунок,26008054625201,0,"Об'єднання ""Самопоміч""",Комсомольська міська організація,Полтавська область,2017-06-30
"ПАТ КБ ""Приватбанк""",поточний рахунок,26000055021669,0,"Об'єднання ""Самопоміч""",Конотопська міська організація,Сумська область,2017-06-30
"ПАТ КБ ""Приватбанк""",поточний рахунок,26002055017701,"120,3","Об'єднання ""Самопоміч""",Конотопська районна організація,Сумська область,2017-06-30
"ПАТ КБ ""Приватбанк""",поточний рахунок,26429053600104,0,"Об'єднання ""Самопоміч""",Краматорська міська організація,Донецька область,2017-06-30
"ПАТ ""ПУМБ""",поточний рахунок,2600720237,0,"Об'єднання ""Самопоміч""",Криворізька міська організація,Дніпропетровська область,2017-06-30
"АТ ""Укрсиббанк""",поточний рахунок,26000567039900,"1828,69","Об'єднання ""Самопоміч""",Львівська міська організація,Львівська область,2017-06-30
"АТ ""Укрсиббанк""",поточний рахунок,26000584453600,"35773,43","Об'єднання ""Самопоміч""",Львівська обласна організація,Львівська область,2017-06-30
АТ “Ощадбанк”,поточний рахунок,26003300503147,"15,42","Об'єднання ""Самопоміч""",Марганецька міська організація,Дніпропетровська область,2017-06-30
"ПАТ КБ ""Приватбанк""",поточний рахунок,26008055723683,2903,"Об'єднання ""Самопоміч""",Мелітопольська міська організація,Запорізька область,2017-06-30
"ПАТ КБ ""Приватбанк""",поточний рахунок,26007053222865,"14,46","Об'єднання ""Самопоміч""",Миколаївська міська організація,Миколаївська область,2017-06-30
"АБ ""Укргазбанк""",поточний рахунок,26000924419520,0,"Об'єднання ""Самопоміч""",Миколаївська міська організація,Миколаївська область,2017-06-30
"ПАТ ""Банк Восток""",поточний рахунок,26007010353673,"2107,58","Об'єднання ""Самопоміч""",Одеська міська організація,Одеська область,2017-06-30
"ПАТ КБ ""Приватбанк""",поточний рахунок,26009054334237,801,"Об'єднання ""Самопоміч""",Одеська обласна організація,Одеська область,2017-06-30
"АБ ""Укргазбанк""",поточний рахунок,26001924419217,0,"Об'єднання ""Самопоміч""",Одеська обласна організація,Одеська область,2017-06-30
"ПАТ КБ ""Приватбанк""",поточний рахунок,26008050251729,"82,32","Об'єднання ""Самопоміч""",Павлоградська міська організація,Дніпропетровська область,2017-06-30
"ПАТ ""Укрсоцбанк""",поточний рахунок,26005011698005,0,"Об'єднання ""Самопоміч""",Полтавська міська організація,Полтавська область,2017-06-30
"АБ ""Укргазбанк""",поточний рахунок,26000924419218,0,"Об'єднання ""Самопоміч""",Полтавська міська організація,Полтавська область,2017-06-30
"ПАТ ""Укрсоцбанк""",поточний рахунок,26001011697884,"11,33","Об'єднання ""Самопоміч""",Полтавська обласна організація,Полтавська область,2017-06-30
"АБ ""Укргазбанк""",поточний рахунок,26002924419216,0,"Об'єднання ""Самопоміч""",Полтавська обласна організація,Полтавська область,2017-06-30
"ПАТ КБ ""Приватбанк""",поточний рахунок,26001054714034,"380,88","Об'єднання ""Самопоміч""",Рівненська міська організація,Рівненська область,2017-06-30
"АБ ""Укргазбанк""",поточний рахунок,26005924419194,0,"Об'єднання ""Самопоміч""",Рівненська міська організація,Рівненська область,2017-06-30
"ПАТ КБ ""Приватбанк""",поточний рахунок,26000054717805,"62,25","Об'єднання ""Самопоміч""",Рівненська районна організація,Рівненська область,2017-06-30
"ПАТ КБ ""Приватбанк""",поточний рахунок,26005053718053,0,"Об'єднання ""Самопоміч""",Сєвєродонецька міська організація,Луганська область,2017-06-30
"ПАТ КБ ""Приватбанк""",поточний рахунок,26009053615423,"3734,61","Об'єднання ""Самопоміч""",Слов'янська міська організація,Донецька область,2017-06-30
"ПАТ КБ ""Приватбанк""",поточний рахунок,26008053717028,15,"Об'єднання ""Самопоміч""",Старобільська районна організація,Луганська область,2017-06-30
"АБ ""Укргазбанк""",поточний рахунок,26003924419293,0,"Об'єднання ""Самопоміч""",Сумська міська організація,Сумська область,2017-06-30
"ПАТ КБ ""Приватбанк""",поточний рахунок,26001055118006,"4147,82","Об'єднання ""Самопоміч""",Тернопільська обласна організація,Тернопільська область,2017-06-30
"АБ ""Укргазбанк""",поточний рахунок,26007924419051,0,"Об'єднання ""Самопоміч""",Тернопільська обласна організація,Тернопільська область,2017-06-30
"АБ ""Укргазбанк""",поточний рахунок,26009288727980,"1074,98","Об'єднання ""Самопоміч""",Тиврівська районна організація,Вінницька область,2017-06-30
АТ “Ощадбанк”,поточний рахунок,26001300325699,"123,24","Об'єднання ""Самопоміч""",Тростянецька районна організація,Вінницька область,2017-06-30
"АТ ""Укрсиббанк""",поточний рахунок,26000573196600,"213,97","Об'єднання ""Самопоміч""",Харківська міська організація,Харківська область,2017-06-30
"АБ ""Укргазбанк""",поточний рахунок,26000924419412,0,"Об'єднання ""Самопоміч""",Харківська міська організація,Харківська область,2017-06-30
"АТ ""Укрсиббанк""",поточний рахунок,26001573246300,"144,35","Об'єднання ""Самопоміч""",Харківська обласна організація,Харківська область,2017-06-30
"АБ ""Укргазбанк""",поточний рахунок,26001924419411,0,"Об'єднання ""Самопоміч""",Харківська обласна організація,Харківська область,2017-06-30
"ПАТ КБ ""Приватбанк""",поточний рахунок,26009052203116,"13092,64","Об'єднання ""Самопоміч""",Херсонська міська організація,Херсонська область,2017-06-30
"ПАТ КБ ""Приватбанк""",поточний рахунок,26001052202717,0,"Об'єднання ""Самопоміч""",Херсонська обласна організація,Херсонська область,2017-06-30
