Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Дата
"ПАТ КБ ""Приватбанк""",поточний рахунок,26009055016910,337,Блок Петра Порошенка,Сумська обласна організація,30.09.2016
"ПАТ КБ ""Приватбанк""",поточний рахунок,26009055114295,"55977,72",Блок Петра Порошенка,Тернопільська обласна організація,30.09.2016
"ПАТ ""Мегабанк""",поточний рахунок,2600420063,"249,51",Блок Петра Порошенка,Харківська обласна організація,30.09.2016
"ПАТ ""Мегабанк""",поточний рахунок,2600912063,"27602,99",Блок Петра Порошенка,Харківська обласна організація,30.09.2016
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду кандидата,26428052200277,0,Блок Петра Порошенка,Харківська обласна організація,30.09.2016
"АБ ""Укргазбанк""",поточний рахунок,26001266059,"79567,35",Блок Петра Порошенка,Херсонська обласна організація,30.09.2016
"ПАТ ""Укрсоцбанк""",поточний рахунок,26001011576381,"87935,48",Блок Петра Порошенка,Хмельницька обласна організація,30.09.2016
"ПАТ ""МІБ""",поточний рахунок,26006020316815,"52756,33",Блок Петра Порошенка,Центральний офіс,30.09.2016
"ПАТ ""МІБ""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26007030316815,"24676344,02",Блок Петра Порошенка,Центральний офіс,30.09.2016
"ПАТ ""МІБ""",поточний рахунок,26102010316815,860000,Блок Петра Порошенка,Центральний офіс,30.09.2016
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду кандидата,26431053700237,0,Блок Петра Порошенка,Центральний офіс,30.09.2016
"ПАТ ""Діамантбанк""",рахунок виборчого фонду кандидата,26433500000023.181.980,0,Блок Петра Порошенка,Центральний офіс,30.09.2016
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду кандидата,26434052200728,0,Блок Петра Порошенка,Центральний офіс,30.09.2016
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду кандидата,26436052500673,0,Блок Петра Порошенка,Центральний офіс,30.09.2016
"АБ ""Південний""",рахунок виборчого фонду кандидата,26438050015201,0,Блок Петра Порошенка,Центральний офіс,30.09.2016
"АТ ""Ощадбанк""",поточний рахунок,26002001135423,"39,52",Блок Петра Порошенка,Черкаська обласна організація,30.09.2016
"АБ ""Укргазбанк""",поточний рахунок,26001266565,"10624,96",Блок Петра Порошенка,Чернівецька обласна організація,30.09.2016
"ПАТ ""Укрсоцбанк""",поточний рахунок,26006011627020,"7706,28",Блок Петра Порошенка,Чернігівська обласна організація,30.09.2016
"АТ ""Ощадбанк""",поточний рахунок,26004300264318,"1,86","Всеукраїнське об'єднання ""Батьківщина""",Білоцерківська міська організація,30.09.2016
"ПАТ КБ ""Приватбанк""",поточний рахунок,26008053149303,"786,95","Всеукраїнське об'єднання ""Батьківщина""",Броварська міська організація,30.09.2016
"ПАТ ""Укрсоцбанк""",поточний рахунок,26000011969944,"28095,44","Всеукраїнське об'єднання ""Батьківщина""",Вінницька обласна організація,30.09.2016
"ПАТ ""Укрсоцбанк""",поточний рахунок,26005000001595,"77,08","Всеукраїнське об'єднання ""Батьківщина""",Волинська обласна організація,30.09.2016
"ПАТ ""ВТБ Банк""",поточний рахунок,26007010037108,"31,43","Всеукраїнське об'єднання ""Батьківщина""",Дніпропетровська обласна організація,30.09.2016
"ПАТ ""Айбокс банк""",поточний рахунок,26001001929301,"554,35","Всеукраїнське об'єднання ""Батьківщина""",Житомирська міська організація,30.09.2016
"АТ ""Укрсиббанк""",поточний рахунок,26003207071601,"219,16","Всеукраїнське об'єднання ""Батьківщина""",Закарпатська обласна організація,30.09.2016
"АТ ""Укрсиббанк""",поточний рахунок,26004207071600,"579,94","Всеукраїнське об'єднання ""Батьківщина""",Закарпатська обласна організація,30.09.2016
"ПАТ КБ ""Глобус""",поточний рахунок,2600400123832,"29,3","Всеукраїнське об'єднання ""Батьківщина""",Запорізька обласна організація,30.09.2016
"ПАТ ""Ідея Банк""",поточний рахунок,26003300010865,0,"Всеукраїнське об'єднання ""Батьківщина""",Івано-Франківська обласна організація,30.09.2016
"АБ ""Укргазбанк""",поточний рахунок,26007300867,0,"Всеукраїнське об'єднання ""Батьківщина""",Івано-Франківська обласна організація,30.09.2016
"АТ ""Райффайзен банк Аваль""",поточний рахунок,26002135487,"60,46","Всеукраїнське об'єднання ""Батьківщина""",Київська міська організація,30.09.2016
"ПАТ КБ ""Приватбанк""",поточний рахунок,26005052755262,"1601,01","Всеукраїнське об'єднання ""Батьківщина""",Київська міська організація,30.09.2016
"ПАТ КБ ""Приватбанк""",поточний рахунок,26006052720575,"4433,79","Всеукраїнське об'єднання ""Батьківщина""",Київська міська організація,30.09.2016
"АТ ""Райффайзен банк Аваль""",поточний рахунок,26007135493,"1116,25","Всеукраїнське об'єднання ""Батьківщина""",Київська міська організація,30.09.2016
"ПАТ КБ ""Приватбанк""",поточний рахунок,26004312273001,"13998,01","Всеукраїнське об'єднання ""Батьківщина""",Кіровоградська обласна організація,30.09.2016
"ПАТ КБ ""Приватбанк""",поточний рахунок,26005053714488,"14,46","Всеукраїнське об'єднання ""Батьківщина""",Луганська обласна організація,30.09.2016
"АТ ""Райффайзен банк Аваль""",поточний рахунок,26009223347,6400,"Всеукраїнське об'єднання ""Батьківщина""",Львівська обласна організація,30.09.2016
"АТ ""Ощадбанк""",поточний рахунок,26004301975917,"615,6","Всеукраїнське об'єднання ""Батьківщина""",Рівненська обласна організація,30.09.2016
"ПАТ КБ ""Приватбанк""",поточний рахунок,26004053170161,192,"Всеукраїнське об'єднання ""Батьківщина""",Ставищенська районна організація,30.09.2016
"ПАТ КБ ""Приватбанк""",поточний рахунок,26009055022131,3300,"Всеукраїнське об'єднання ""Батьківщина""",Сумська обласна організація,30.09.2016
"АТ ""Райффайзен банк Аваль""",поточний рахунок,26005209741,"701,79","Всеукраїнське об'єднання ""Батьківщина""",Тернопільська обласна організація,30.09.2016
"АТ ""Райффайзен банк Аваль""",поточний рахунок,26009378667,"1426,36","Всеукраїнське об'єднання ""Батьківщина""",Харківська обласна організація,30.09.2016
"ПАТ ""Укрсоцбанк""",поточний рахунок,26004011542602,"267,6","Всеукраїнське об'єднання ""Батьківщина""",Хмельницька міська організація,30.09.2016
"АТ ""Банк Велес""",поточний рахунок,260010012159,"180108,91","Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,30.09.2016
"ПУАТ ""Фідобанк""",поточний рахунок,26002000643903,"131,23","Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,30.09.2016
"ПАТ ""Мегабанк""",поточний рахунок,2600426373,"14825,3","Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,30.09.2016
"АБ ""Укргазбанк""",поточний рахунок,26007212001988,0,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,30.09.2016
"АТ ""Ощадбанк""",рахунок виборчого фонду політичної партії,26431501627832,0,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,30.09.2016
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26433050202064,0,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,30.09.2016
"АТ ""Ощадбанк""",рахунок виборчого фонду політичної партії,26433500624974,0,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,30.09.2016
"АТ ""Райффайзен банк Аваль""",рахунок виборчого фонду політичної партії,2643466,0,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,30.09.2016
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26438051400555,0,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,30.09.2016
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26438054600001,0,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,30.09.2016
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26439053700013,0,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,30.09.2016
"ПАТ КБ ""Приватбанк""",поточний рахунок,26003051521053,"1729,5","Всеукраїнське об'єднання ""Батьківщина""",Черкаська обласна організація,30.09.2016
"АТ ""Ощадбанк""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26004100001777,25136400,Народний фронт,Центральний офіс,30.09.2016
"ПАТ ""Діамантбанк""",поточний рахунок,26005300002745,"3114939,49",Народний фронт,Центральний офіс,30.09.2016
"АТ ""Ощадбанк""",поточний рахунок,26000171311565,"158,71","Об’єднання ""Самопоміч""",Барська районна організація,30.09.2016
"ПАТ КБ ""Приватбанк""",поточний рахунок,26001055325259,"13516,58","Об’єднання ""Самопоміч""",Вінницька міська організація,30.09.2016
"ПАТ КБ ""Приватбанк""",поточний рахунок,26007055327455,"431,54","Об’єднання ""Самопоміч""",Вінницька обласна організація,30.09.2016
"ПАТ КБ ""Приватбанк""",поточний рахунок,26002055509934,"53633,07","Об’єднання ""Самопоміч""",Волинська обласна організація,30.09.2016
"АБ ""Укргазбанк""",поточний рахунок,26003288682,"1077,5","Об’єднання ""Самопоміч""",Гайсинська районна організація,30.09.2016
"ПАТ ""АКБ ""Конкорд""",поточний рахунок,26004001280001,"1165,75","Об’єднання ""Самопоміч""",Дніпровська міська організація,30.09.2016
"ПАТ ""АКБ ""Конкорд""",поточний рахунок,26006001255001,"61633,91","Об’єднання ""Самопоміч""",Дніпропетровська обласна організація,30.09.2016
"АТ ""Укрсиббанк""",поточний рахунок,26001570238300,"1683,09","Об’єднання ""Самопоміч""",Житомирська міська організація,30.09.2016
"АТ ""Укрсиббанк""",поточний рахунок,26001570238300,"113,1","Об’єднання ""Самопоміч""",Житомирська обласна організація,30.09.2016
"ПАТ ""Банк інвестиції та заощадження""",поточний рахунок,260058922001,0,"Об’єднання ""Самопоміч""",Закарпатська обласна організація,30.09.2016
"АТ ""Райффайзен банк Аваль""",поточний рахунок,2600145587,2261,"Об’єднання ""Самопоміч""",Здолбунівська районна організація,30.09.2016
"АТ ""Райффайзен банк Аваль""",поточний рахунок,26000492575,0,"Об’єднання ""Самопоміч""",Івано-Франківська обласна організація,30.09.2016
"ПАТ ""Укрсоцбанк""",поточний рахунок,26007011663072,"660,01","Об’єднання ""Самопоміч""",Київська міська організація,30.09.2016
"ПАТ ""Укрсоцбанк""",поточний рахунок,2600901100892,0,"Об’єднання ""Самопоміч""",Київська обласна організація,30.09.2016
"ПАТ ""Укрсоцбанк""",поточний рахунок,26051011670911,0,"Об’єднання ""Самопоміч""",Київська обласна організація,30.09.2016
"АТ ""Укрсиббанк""",поточний рахунок,26005573546200,"269,84","Об’єднання ""Самопоміч""",Кіровоградська обласна організація,30.09.2016
"АТ ""Укрсиббанк""",поточний рахунок,26056000053668,"228,75","Об’єднання ""Самопоміч""",Кіровоградська обласна організація,30.09.2016
"ПАТ КБ ""Приватбанк""",поточний рахунок,26006055322365,81,"Об’єднання ""Самопоміч""",Козятинська міська організація,30.09.2016
"ПАТ КБ ""Приватбанк""",поточний рахунок,26003052516971,1852,"Об’єднання ""Самопоміч""",Коломийська міська організація,30.09.2016
"ПАТ ""Укрсоцбанк""",поточний рахунок,26007011696726,"4323,74","Об’єднання ""Самопоміч""",Кременчуцька міська організація,30.09.2016
"АТ ""Укрсиббанк""",поточний рахунок,26000567039900,"1918,69","Об’єднання ""Самопоміч""",Львівська міська організація,30.09.2016
"АТ ""Укрсиббанк""",поточний рахунок,2600584453600,"36967,43","Об’єднання ""Самопоміч""",Львівська обласна організація,30.09.2016
"ПАТ КБ ""Приватбанк""",поточний рахунок,26008055723683,6606,"Об’єднання ""Самопоміч""",Мелітопольська міська організація,30.09.2016
"ПАТ КБ ""Приватбанк""",поточний рахунок,2600705322865,"14,46","Об’єднання ""Самопоміч""",Миколаївська міська організація,30.09.2016
"ПАТ ""Банк Восток""",поточний рахунок,26007010353673,"2537,58","Об’єднання ""Самопоміч""",Одеська міська організація,30.09.2016
"ПАТ КБ ""Приватбанк""",поточний рахунок,26008050251729,"82,32","Об’єднання ""Самопоміч""",Павлоградська міська організація,30.09.2016
"ПАТ ""Укрсоцбанк""",поточний рахунок,26005011698005,0,"Об’єднання ""Самопоміч""",Полтавська міська організація,30.09.2016
"ПАТ ""Укрсоцбанк""",поточний рахунок,26001011697884,0,"Об’єднання ""Самопоміч""",Полтавська обласна організація,30.09.2016
"ПАТ КБ ""Приватбанк""",поточний рахунок,26001054714034,"180,88","Об’єднання ""Самопоміч""",Рівненська обласна організація,30.09.2016
"ПАТ КБ ""Приватбанк""",поточний рахунок,26000053615423,"3734,61","Об’єднання ""Самопоміч""",Слов’янська міська організація,30.09.2016
"ПАТ КБ ""Приватбанк""",поточний рахунок,260010551180116,14304,"Об’єднання ""Самопоміч""",Тернопільська обласна організація,30.09.2016
"АБ ""Укргазбанк""",поточний рахунок,26009288727980,"1074,98","Об’єднання ""Самопоміч""",Тиврівська районна організація,30.09.2016
"АТ ""Ощадбанк""",поточний рахунок,26001300325699,"293,24","Об’єднання ""Самопоміч""",Тростянецька районна організація,30.09.2016
"АТ ""Укрсиббанк""",поточний рахунок,26000573196600,"613,97","Об’єднання ""Самопоміч""",Харківська міська організація,30.09.2016
"АТ ""Укрсиббанк""",поточний рахунок,26001573246300,"544,35","Об’єднання ""Самопоміч""",Харківська обласна організація,30.09.2016
"ПАТ КБ ""Приватбанк""",поточний рахунок,26009052203116,"13092,64","Об’єднання ""Самопоміч""",Херсонська міська організація,30.09.2016
"ПАТ КБ ""Приватбанк""",поточний рахунок,26001052202717,"41461,75","Об’єднання ""Самопоміч""",Херсонська обласна організація,30.09.2016
"АТ ""Укрсиббанк""",поточний рахунок,26006530146200,"45715,28","Об’єднання ""Самопоміч""",Центральний офіс,30.09.2016
"АБ ""Укргазбанк""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26008924418040,12461620,"Об’єднання ""Самопоміч""",Центральний офіс,30.09.2016
"АТ ""Райффайзен банк Аваль""",рахунок виборчого фонду кандидата,2643273,0,"Об’єднання ""Самопоміч""",Центральний офіс,30.09.2016
"АТ ""Райффайзен банк Аваль""",рахунок виборчого фонду кандидата,2643566,0,"Об’єднання ""Самопоміч""",Центральний офіс,30.09.2016
"ПАТ ""АКБ ""Конкорд""",рахунок виборчого фонду кандидата,26438201124801,0,"Об’єднання ""Самопоміч""",Центральний офіс,30.09.2016
"ПАТ КБ ""Приватбанк""",поточний рахунок,26003051502635,"17464,17","Об’єднання ""Самопоміч""",Чернівецька міська організація,30.09.2016
"АТ ""Ощадбанк""",поточний рахунок,26009300831787,"1391,16",Опозиційний блок,Великоновосілківська районна організація,30.09.2016
"АТ ""Ощадбанк""",поточний рахунок,26000300833751,"7573,31",Опозиційний блок,Волноваська районна організація,30.09.2016
"ПАТ ""ПУМБ""",поточний рахунок,2600614183,"2597,1",Опозиційний блок,Володарська районна організація,30.09.2016
"ПАТ КБ ""Приватбанк""",поточний рахунок,26006051828075,"4355,45",Опозиційний блок,Димитровська міська організація,30.09.2016
"ПАТ ""ПУМБ""",поточний рахунок,2600813320,"126465,45",Опозиційний блок,Дніпропетровська обласна організація,30.09.2016
"АТ ""Ощадбанк""",поточний рахунок,26001300840022,"3772,23",Опозиційний блок,Добропільська міська організація,30.09.2016
"АТ ""Ощадбанк""",поточний рахунок,26009300842743,"685,55",Опозиційний блок,Добропільська районна організація,30.09.2016
"АТ ""Комінвестбанк""",поточний рахунок,26003016000800,"1971,15",Опозиційний блок,Закарпатська обласна організація,30.09.2016
"ПАТ ""ПУМБ""",поточний рахунок,2600612837,"3720,34",Опозиційний блок,Запорізька обласна організація,30.09.2016
"АТ ""Місто банк""",поточний рахунок,26006001030575,"25571,28",Опозиційний блок,Київська обласна організація,30.09.2016
"АБ ""Південний""",поточний рахунок,26000010007869,7645,Опозиційний блок,Кіровоградська обласна організація,30.09.2016
"АТ ""Ощадбанк""",поточний рахунок,26005300845391,"2729,25",Опозиційний блок,Красноармійська міська організація,30.09.2016
"АТ ""Ощадбанк""",поточний рахунок,26000300844988,"1674,38",Опозиційний блок,Красноармійська районна організація,30.09.2016
"АТ ""Ощадбанк""",поточний рахунок,26008301680625,"48451,42",Опозиційний блок,Луганська обласна організація,30.09.2016
"АТ ""Ощадбанк""",поточний рахунок,26001300831495,"3340,67",Опозиційний блок,Мар'їнська районна організація,30.09.2016
"ПАТ ""ПУМБ""",поточний рахунок,2600214189,"8860,21",Опозиційний блок,Маріупольська міська організація,30.09.2016
"ПАТ ""ПУМБ""",поточний рахунок,2600313370,"49,68",Опозиційний блок,Миколаївська обласна організація,30.09.2016
"ПАТ ""Банк Восток""",поточний рахунок,26007010349074,"13517,86",Опозиційний блок,Одеська обласна організація,30.09.2016
"ПАТ КБ ""Приватбанк""",поточний рахунок,26000053226136,1394,Опозиційний блок,Первомайська міська організація,30.09.2016
"АБ ""Укргазбанк""",поточний рахунок,26009299493,"8175,91",Опозиційний блок,Рівненська обласна організація,30.09.2016
"ПАТ ""ПУМБ""",поточний рахунок,2600915358,"5734,52",Опозиційний блок,Херсонська обласна організація,30.09.2016
"ПАТ КБ ""Приватбанк""",поточний рахунок,26008052302553,1153,Опозиційний блок,Хмельницька обласна організація,30.09.2016
"ПАТ ""ПУМБ""",поточний рахунок,260058463,"7782,59",Опозиційний блок,Центральний офіс,30.09.2016
"АТ ""Місто банк""",поточний рахунок,26008001030506,"8293,92",Опозиційний блок,Центральний офіс,30.09.2016
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду кандидата,26430054602386,0,Опозиційний блок,Центральний офіс,30.09.2016
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду кандидата,26432051400023,0,Опозиційний блок,Центральний офіс,30.09.2016
"АТ ""Ощадбанк""",рахунок виборчого фонду кандидата,26432500625178,0,Опозиційний блок,Центральний офіс,30.09.2016
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду кандидата,26438053700940,0,Опозиційний блок,Центральний офіс,30.09.2016
"АТ ""Ощадбанк""",поточний рахунок,26002301144523,"8848,95",Опозиційний блок,Черкаська обласна організація,30.09.2016
"АТ ""Райффайзен банк Аваль""",поточний рахунок,26000368825,"1199981,88",Радикальна партія Олега Ляшка,Центральний офіс,30.09.2016
"АТ ""Райффайзен банк Аваль""",поточний рахунок,20008495517,371487,Радикальна партія Олега Ляшка,Центральний офіс,30.09.2016
"АТ ""Райффайзен банк Аваль""",поточний рахунок,26000496515,"73802,18",Радикальна партія Олега Ляшка,Центральний офіс,30.09.2016
"АТ ""Райффайзен банк Аваль""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26002532154,8453925,Радикальна партія Олега Ляшка,Центральний офіс,30.09.2016
"АТ ""Райффайзен банк Аваль""",поточний рахунок,26009496516,0,Радикальна партія Олега Ляшка,Центральний офіс,30.09.2016
