id,Вид нематеріального активу,Назва нематеріального активу,Місцезнаходження обʼєкта,Дата придбання,Вартість придбання,Наявність/відсутність обтяжень,Дата відчуження,Вартість відчуження майна,Сума доходу за звітний період (оренда тощо),Балансова вартість на кінець звітного періоду (грн),Партія,Місцева організація
,"Комерційні позначення (товарні знаки, торгові марки)",Знак для товарів і послуг № 201096,"04176, м.Київ, ВУЛИЦЯ ЕЛЕКТРИКІВ, будинок 29А",25.06.2015,40335,обтяження відсутнє,,,,40335,Блок Петра Порошенка,Центральний офіс
,"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",1-С Підприємство 8 (додаткове побоие місце),"04080, м.Київ,вул.Турівська,13",11.10.2013,1440,обтяження відсутнє,,,,600,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс
,"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",1-С Підприємство 8,"04080, м.Київ,вул.Турівська,15",01.02.2013,5760,обтяження відсутнє,,,,1632,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс
,"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друковані засоби массової інформаціїгазета""Павлоградські обрії""",,10.06.2008,,обтяження відсутнє,,,,,"Всеукраїнське об'єднання ""Батьківщина""",Дніпропетровська обласна організація
,"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друковані засоби массової інформації газета""Хочу в прорыв""",,23.06.2008,,обтяження відсутнє,,,,,"Всеукраїнське об'єднання ""Батьківщина""",Дніпропетровська обласна організація
,"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друковані засоби массової інформації газета ""14 днів""",,23.01.2009,,обтяження відсутнє,,,,,"Всеукраїнське об'єднання ""Батьківщина""",Дніпропетровська обласна організація
,"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Газета ""Батьківщина"" Свідоцтво серія ДП № 925",м.Дніпропетровськ,05.03.2002,,обтяження відсутнє,,,,,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс
,"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Права на видавництво газети «НАРОДНИЙ ФРОНТ»,Україна,15.09.2014,,обтяження відсутнє,,,,4000,Народний фронт,Центральний офіс
,"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Девіз Політичної партії «Народний Фронт»,Україна,17.11.2014,,обтяження відсутнє,,,,4083,Народний фронт,Центральний офіс
,"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Емблема Політичної партії «Народний Фронт»,Україна,17.11.2014,,обтяження відсутнє,,,,4083,Народний фронт,Центральний офіс
,"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Прапор Політичної партії «Народний Фронт»,Україна,17.11.2014,,обтяження відсутнє,,,,4083,Народний фронт,Центральний офіс
,"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Розпізнавальний знак Партії; Девіз Партії,"Україна, м. Львів, вул. Сахарова, 42",26.03.2015,,обтяження відсутнє,,,,100000,"Об’єднання ""Самопоміч""",Центральний офіс
