Вид нематеріального активу,Назва нематеріального активу,Місцезнаходження обʼєкта,Дата придбання,Вартість придбання,Наявність/відсутність обтяжень,Дата відчуження,Вартість відчуження майна,Сума доходу (грн),Балансова вартість на кінець звітного періоду (грн),Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Квартал,Рік
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Емблема Політичної партії ""Народний Фронт""",Україна,2014-11-17,,обтяження відсутнє,,,,"3833,28",Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Емблема Політичної партії ""Народний Фронт""",Україна,2014-11-17,,обтяження відсутнє,,,,"3583,26",Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Девіз Політичної партії «Народний Фронт»,Україна,2014-11-17,,обтяження відсутнє,,,,"3583,26",Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Девіз Політичної партії ""Народний Фронт""",Україна,2014-11-17,,обтяження відсутнє,,,,"3833,28",Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Веб - сайт ПП ""НАРОДНИЙ ФРОНТ""",Україна,2017-09-05,,обтяження відсутнє,,,,12850,Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Аудіоролик ""НАРОДНИЙ ФРОНТ""_0",Україна,2016-12-23,90000,обтяження відсутнє,,,,0,Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Аудіоролик ""НАРОДНИЙ ФРОНТ""_1",Україна,2016-12-23,10000,обтяження відсутнє,,,,0,Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_0,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_1,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_2,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_3,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_4,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_5,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_6,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_7,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_8,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_9,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_10,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_11,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_12,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_13,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_14,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_15,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_16,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_17,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_18,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_19,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_20,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_21,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_22,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_23,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_24,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_25,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_26,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_27,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_28,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_29,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_30,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_31,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_32,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_33,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_34,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_35,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_36,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_37,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_38,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_39,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_0,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_1,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_2,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_3,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_4,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_5,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_6,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_7,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_8,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_9,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_10,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_11,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_12,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_13,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_14,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_15,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_16,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_17,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_18,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_19,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_20,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_21,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_22,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_23,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_24,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_25,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_26,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_27,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_28,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_29,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_30,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_31,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_32,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_33,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_34,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_35,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_36,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_37,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_38,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Антивірусна програма ESET Endpoint Antivirus_39,Україна,2016-12-21,345,обтяження відсутнє,,,,345,Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Емблема Політичної партії «Народний Фронт»,Україна,17.11.2014,,обтяження відсутнє,,,,"3458,25",Народний фронт,Центральний офіс,39181335,Україна,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Прапор Політичної партії «Народний Фронт»,Україна,17.11.2014,,обтяження відсутнє,,,,"3458,25",Народний фронт,Центральний офіс,39181335,Україна,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Девіз Політичної партії «Народний Фронт»,Україна,17.11.2014,,обтяження відсутнє,,,,"3458,25",Народний фронт,Центральний офіс,39181335,Україна,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Права на видавництво газети «НАРОДНИЙ ФРОНТ»,Україна,15.09.2014,,обтяження відсутнє,,,,"3374,92",Народний фронт,Центральний офіс,39181335,Україна,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Веб - сайт ПП ""НАРОДНИЙ ФРОНТ""",Україна,05.09.2017,,обтяження відсутнє,,,,"11243,74",Народний фронт,Центральний офіс,39181335,Україна,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Комп'ютерна програма ""1С:Підприємство 8.3""",Україна,26.12.2016,8892,обтяження відсутнє,,,,"25221,84",Народний фронт,Центральний офіс,39181335,Україна,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Операційна система Windows 10 Professinal (100 ліцензій),Україна,28.12.2017,674000,обтяження відсутнє,,,,674000,Народний фронт,Центральний офіс,39181335,Україна,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Офісна програма Microsoft Office 2016 (100 ліцензій),Україна,28.12.2017,619300,обтяження відсутнє,,,,619300,Народний фронт,Центральний офіс,39181335,Україна,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Комп'ютерна програма M.E.Doc,Україна,24.01.2017,1102,обтяження відсутнє,,,,"91,87",Народний фронт,Центральний офіс,39181335,Україна,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Комп'ютерна програма ""Програмний комплекс FREEDOM""",Україна,24.01.2017,523,обтяження відсутнє,,,,"283,31",Народний фронт,Центральний офіс,39181335,Україна,4,2017
