"Вид транспортного засобу","Марка/модель","Рік випуску","ПІБ (для фіз. осіб)/Назва (для юр. осіб)","Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб)","Місце проживання (для фіз. осіб)/Юридична адреса (для юр. осіб)","Дата набуття речового права","Сума витрат на отримання речового права (грн)","Дата втрати речового права","Дата відчуження","Вартість відчуження","Наявність обтяжень","Балансова вартість на кінець звітного періоду (грн)","Вид речового права","Тип власника","Партія","Місцева організація","Код ЄДРПОУ осередку","Географічний об'єкт","Дата","Квартал","Рік"
"Автомобілі легкові","Автомобіль Volkswagen Transporter 2,0 TDI 103 kw",2015,"Центральний офіс",39479782,"м. Київ, вул. Володимирська, буд. 12, оф. 307","2015-09-09","600996,14",,,,"обтяження відсутнє","422485,01","право власності","юридична особа","Українське обʼєднання патріотів – УКРОП","Центральний офіс",39479782,"Україна","2018-03-31",1,2018
"Автомобілі легкові","Автомобіль Skoda Octavia A7 Ambition 2,0 TDI/110kw/6DSG",2017,"Центральний офіс",39479782,"м. Київ, вул. Володимирська, буд. 12, оф. 307","2017-09-22","747717,03",,,,"обтяження відсутнє","685407,27","право власності","юридична особа","Українське обʼєднання патріотів – УКРОП","Центральний офіс",39479782,"Україна","2018-03-31",1,2018
"Автомобілі легкові","Автомобіль Skoda Rapid Ambition 1.6 MPI/77kW",2015,"Центральний офіс",39479782,"м. Київ, вул. Володимирська, буд. 12, оф. 307","2015-09-03","404016,0",,,,"обтяження відсутнє","0,0","право власності","юридична особа","Українське обʼєднання патріотів – УКРОП","РЕСПУБЛІКАНСЬКА В АВТОНОМНІЙ РЕСПУБЛІЦІ КРИМ ОРГАНІЗАЦІЯ",41865074,"АР Крим","2018-03-31",1,2018
"Автомобілі легкові","Автомобіль Volkswagen Transporter 2,0 TDI 103 kw",2015,"Центральний офіс",39479782,"м. Київ, вул. Володимирська, буд. 12, оф. 307","2015-09-09","600996,14",,,,"обтяження відсутнє","0,0","право власності","юридична особа","Українське обʼєднання патріотів – УКРОП","РЕСПУБЛІКАНСЬКА В АВТОНОМНІЙ РЕСПУБЛІЦІ КРИМ ОРГАНІЗАЦІЯ",41865074,"АР Крим","2018-03-31",1,2018
"Автомобілі легкові","Автомобіль Volkswagen Transporter 2,0 TDI 103 kw",2015,"Центральний офіс",39479782,"м. Київ, вул. Володимирська, буд. 12, оф. 307","2015-09-09","600996,14",,,,"обтяження відсутнє","0,0","право власності","юридична особа","Українське обʼєднання патріотів – УКРОП","РЕСПУБЛІКАНСЬКА В АВТОНОМНІЙ РЕСПУБЛІЦІ КРИМ ОРГАНІЗАЦІЯ",41865074,"АР Крим","2018-03-31",1,2018
"Автомобілі легкові","Автомобіль Skoda Octavia A7 Ambition 2,0 TDI/110kw/6DSG",2017,"Центральний офіс",39479782,"м. Київ, вул. Володимирська, буд. 12, оф. 307","2017-09-22","747717,03",,,,"обтяження відсутнє","0,0","право власності","юридична особа","Українське обʼєднання патріотів – УКРОП","РЕСПУБЛІКАНСЬКА В АВТОНОМНІЙ РЕСПУБЛІЦІ КРИМ ОРГАНІЗАЦІЯ",41865074,"АР Крим","2018-03-31",1,2018
"Автомобілі легкові","Автомобіль Skoda Rapid Ambition 1.6 MPI/77kW",2015,"Центральний офіс",39479782,"м. Київ, вул. Володимирська, буд. 12, оф. 307","2015-09-03","404016,0",,"2018-04-04","280000,0","обтяження відсутнє","0,0","право власності","юридична особа","Українське обʼєднання патріотів – УКРОП","Центральний офіс",39479782,"Україна","2018-06-30",2,2018
"Автомобілі легкові","Автомобіль Volkswagen Transporter 2,0 TDI 103 kw",2015,"Центральний офіс",39479782,"м. Київ, вул. Володимирська, буд. 12, оф. 307","2015-09-09","600996,14",,,,"обтяження відсутнє","404455,13","право власності","юридична особа","Українське обʼєднання патріотів – УКРОП","Центральний офіс",39479782,"Україна","2018-06-30",2,2018
"Автомобілі легкові","Автомобіль Volkswagen Transporter 2,0 TDI 103 kw",2015,"Центральний офіс",39479782,"м. Київ, вул. Володимирська, буд. 12, оф. 307","2015-09-09","600996,14",,,,"обтяження відсутнє","404455,13","право власності","юридична особа","Українське обʼєднання патріотів – УКРОП","Центральний офіс",39479782,"Україна","2018-06-30",2,2018
"Автомобілі легкові","Автомобіль Skoda Octavia A7 Ambition 2,0 TDI/110kw/6DSG",2017,"Центральний офіс",39479782,"м. Київ, вул. Володимирська, буд. 12, оф. 307","2017-09-22","747717,03",,,,"обтяження відсутнє","654252,39","право власності","юридична особа","Українське обʼєднання патріотів – УКРОП","Центральний офіс",39479782,"Україна","2018-06-30",2,2018
"Автомобілі легкові","Автомобіль Skoda Kodiaq Scout 2.0 TDi/110kW 7DSG 4 277",2018,"Центральний офіс",39479782,"м. Київ, вул. Володимирська, буд. 12, оф. 307","2018-04-05","1271200,32",,,,"обтяження відсутнє","1230193,86","право власності","юридична особа","Українське обʼєднання патріотів – УКРОП","Центральний офіс",39479782,"Україна","2018-06-30",2,2018
"Автомобілі легкові","Автомобіль Skoda Rapid Ambition 1.6 MPI/77kW",2015,"Центральний офіс",39479782,"м. Київ, вул. Володимирська, буд. 12, оф. 307","2015-09-03","404016,0",,,,"обтяження відсутнє","0,0","право власності","юридична особа","Українське обʼєднання патріотів – УКРОП","РЕСПУБЛІКАНСЬКА В АВТОНОМНІЙ РЕСПУБЛІЦІ КРИМ ОРГАНІЗАЦІЯ",41865074,"АР Крим","2018-06-30",2,2018
"Автомобілі легкові","Автомобіль Volkswagen Transporter 2,0 TDI 103 kw",2015,"Центральний офіс",39479782,"м. Київ, вул. Володимирська, буд. 12, оф. 307","2015-09-09","600996,14",,,,"обтяження відсутнє","0,0","право власності","юридична особа","Українське обʼєднання патріотів – УКРОП","РЕСПУБЛІКАНСЬКА В АВТОНОМНІЙ РЕСПУБЛІЦІ КРИМ ОРГАНІЗАЦІЯ",41865074,"АР Крим","2018-06-30",2,2018
"Автомобілі легкові","Автомобіль Volkswagen Transporter 2,0 TDI 103 kw",2015,"Центральний офіс",39479782,"м. Київ, вул. Володимирська, буд. 12, оф. 307","2015-09-09","600996,14",,,,"обтяження відсутнє","0,0","право власності","юридична особа","Українське обʼєднання патріотів – УКРОП","РЕСПУБЛІКАНСЬКА В АВТОНОМНІЙ РЕСПУБЛІЦІ КРИМ ОРГАНІЗАЦІЯ",41865074,"АР Крим","2018-06-30",2,2018
"Автомобілі легкові","Автомобіль Skoda Octavia A7 Ambition 2,0 TDI/110kw/6DSG",2017,"Центральний офіс",39479782,"м. Київ, вул. Володимирська, буд. 12, оф. 307","2017-09-22","747717,03",,,,"обтяження відсутнє","0,0","право власності","юридична особа","Українське обʼєднання патріотів – УКРОП","РЕСПУБЛІКАНСЬКА В АВТОНОМНІЙ РЕСПУБЛІЦІ КРИМ ОРГАНІЗАЦІЯ",41865074,"АР Крим","2018-06-30",2,2018
"Автомобілі легкові","Автомобіль Volkswagen Transporter 2,0 TDI 103 kw",2015,"Центральний офіс",39479782,"м. Київ, вул. Володимирська, буд. 12, оф. 307","2015-09-09","600996,14",,,,"обтяження відсутнє","380415,29","право власності","юридична особа","Українське обʼєднання патріотів – УКРОП","Центральний офіс",39479782,"Україна","2020-09-30",3,2018
"Автомобілі легкові","Автомобіль Volkswagen Transporter 2,0 TDI 103 kw",2015,"Центральний офіс",39479782,"м. Київ, вул. Володимирська, буд. 12, оф. 307","2015-09-09","600996,14",,,,"обтяження відсутнє","380415,29","право власності","юридична особа","Українське обʼєднання патріотів – УКРОП","Центральний офіс",39479782,"Україна","2020-09-30",3,2018
"Автомобілі легкові","Автомобіль Skoda Octavia A7 Ambition 2,0 TDI/110kw/6DSG",2017,"Центральний офіс",39479782,"м. Київ, вул. Володимирська, буд. 12, оф. 307","2017-09-22","747717,03",,,,"обтяження відсутнє","612712,55","право власності","юридична особа","Українське обʼєднання патріотів – УКРОП","Центральний офіс",39479782,"Україна","2020-09-30",3,2018
"Автомобілі легкові","Автомобіль Skoda Kodiaq Scout 2.0 TDi/110kW 7DSG 4 277",2018,"Центральний офіс",39479782,"м. Київ, вул. Володимирська, буд. 12, оф. 307","2018-04-05","1271200,32",,,,"обтяження відсутнє","1148180,94","право власності","юридична особа","Українське обʼєднання патріотів – УКРОП","Центральний офіс",39479782,"Україна","2020-09-30",3,2018
"Автомобілі легкові","Автомобіль Skoda Rapid Ambition 1.6 MPI/77kW",2015,"Центральний офіс",39479782,"м. Київ, вул. Володимирська, буд. 12, оф. 307","2015-09-03","404016,0",,,,"обтяження відсутнє","0,0","право власності","юридична особа","Українське обʼєднання патріотів – УКРОП","РЕСПУБЛІКАНСЬКА В АВТОНОМНІЙ РЕСПУБЛІЦІ КРИМ ОРГАНІЗАЦІЯ",41865074,"АР Крим","2020-09-30",3,2018
"Автомобілі легкові","Автомобіль Volkswagen Transporter 2,0 TDI 103 kw",2015,"Центральний офіс",39479782,"м. Київ, вул. Володимирська, буд. 12, оф. 307","2015-09-09","600996,14",,,,"обтяження відсутнє","0,0","право власності","юридична особа","Українське обʼєднання патріотів – УКРОП","РЕСПУБЛІКАНСЬКА В АВТОНОМНІЙ РЕСПУБЛІЦІ КРИМ ОРГАНІЗАЦІЯ",41865074,"АР Крим","2020-09-30",3,2018
"Автомобілі легкові","Автомобіль Volkswagen Transporter 2,0 TDI 103 kw",2015,"Центральний офіс",39479782,"м. Київ, вул. Володимирська, буд. 12, оф. 307","2015-09-09","600996,14",,,,"обтяження відсутнє","0,0","право власності","юридична особа","Українське обʼєднання патріотів – УКРОП","РЕСПУБЛІКАНСЬКА В АВТОНОМНІЙ РЕСПУБЛІЦІ КРИМ ОРГАНІЗАЦІЯ",41865074,"АР Крим","2020-09-30",3,2018
"Автомобілі легкові","Автомобіль Skoda Octavia A7 Ambition 2,0 TDI/110kw/6DSG",2017,"Центральний офіс",39479782,"м. Київ, вул. Володимирська, буд. 12, оф. 307","2017-09-22","747717,03",,,,"обтяження відсутнє","0,0","право власності","юридична особа","Українське обʼєднання патріотів – УКРОП","РЕСПУБЛІКАНСЬКА В АВТОНОМНІЙ РЕСПУБЛІЦІ КРИМ ОРГАНІЗАЦІЯ",41865074,"АР Крим","2020-09-30",3,2018
"Автомобілі легкові","Автомобіль Volkswagen Transporter 2,0 TDI 103 kw",2015,"Центральний офіс",39479782,"м. Київ, вул. Володимирська, буд. 12, оф. 307","2015-09-09","600996,14",,,,"обтяження відсутнє","380415,29","право власності","юридична особа","Українське обʼєднання патріотів – УКРОП","Центральний офіс",39479782,"Україна","2018-12-31",4,2018
"Автомобілі легкові","Автомобіль Volkswagen Transporter 2,0 TDI 103 kw",2015,"Центральний офіс",39479782,"м. Київ, вул. Володимирська, буд. 12, оф. 307","2015-09-09","600996,14",,,,"обтяження відсутнє","380415,29","право власності","юридична особа","Українське обʼєднання патріотів – УКРОП","Центральний офіс",39479782,"Україна","2018-12-31",4,2018
"Автомобілі легкові","Автомобіль Skoda Octavia A7 Ambition 2,0 TDI/110kw/6DSG",2017,"Центральний офіс",39479782,"м. Київ, вул. Володимирська, буд. 12, оф. 307","2017-09-22","747717,03",,,,"обтяження відсутнє","612712,55","право власності","юридична особа","Українське обʼєднання патріотів – УКРОП","Центральний офіс",39479782,"Україна","2018-12-31",4,2018
"Автомобілі легкові","Автомобіль Skoda Kodiaq Scout 2.0 TDi/110kW 7DSG 4 277",2018,"Центральний офіс",39479782,"м. Київ, вул. Володимирська, буд. 12, оф. 307","2018-04-05","1271200,32",,,,"обтяження відсутнє","1148180,94","право власності","юридична особа","Українське обʼєднання патріотів – УКРОП","Центральний офіс",39479782,"Україна","2018-12-31",4,2018
