"Вид нематеріального активу","Назва нематеріального активу","Місцезнаходження обʼєкта","Дата придбання","Вартість придбання","Наявність обтяжень","Дата відчуження","Вартість відчуження майна","Сума доходу (грн)","Балансова вартість на кінець звітного періоду (грн)","Партія","Місцева організація","Код ЄДРПОУ осередку","Географічний об'єкт","Квартал","Рік"
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання доменного імені sluga-narodu.org","м. Київ, Паркова дорога 16А","2019-07-01",474,"обтяження відсутнє","2020-06-30",,,"117,84","Слуга народу","Центральний офіс",40422142,"Україна",1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання доменного імені sluga-naroda.in.ua","м. Київ, Паркова дорога 16А","2019-07-01",312,"обтяження відсутнє","2020-06-30",,,"77,57","Слуга народу","Центральний офіс",40422142,"Україна",1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання доменного sluga-narodu.com.ua","м. Київ, Паркова дорога 16А","2019-07-01",321,"обтяження відсутнє","2020-06-30",,,"79,81","Слуга народу","Центральний офіс",40422142,"Україна",1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання доменного sluga-narodu.biz","м. Київ, Паркова дорога 16А","2019-07-01",468,"обтяження відсутнє","2020-06-30",,,"116,36","Слуга народу","Центральний офіс",40422142,"Україна",1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання доменного sluga-narodu.net","м. Київ, Паркова дорога 16А","2019-07-01",468,"обтяження відсутнє","2020-06-30",,,"116,36","Слуга народу","Центральний офіс",40422142,"Україна",1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання доменного sluga-naroda.kiev.ua","м. Київ, Паркова дорога 16А","2019-07-01",282,"обтяження відсутнє","2020-06-30",,,"70,11","Слуга народу","Центральний офіс",40422142,"Україна",1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання доменного sluga-naroda.net.ua","м. Київ, Паркова дорога 16А","2019-07-01",261,"обтяження відсутнє","2020-06-30",,,"64,89","Слуга народу","Центральний офіс",40422142,"Україна",1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання доменного sluga-narodu.net.ua","м. Київ, Паркова дорога 16А","2019-07-01",261,"обтяження відсутнє","2020-06-30",,,"64,89","Слуга народу","Центральний офіс",40422142,"Україна",1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання доменного sluga-naroda.net","м. Київ, Паркова дорога 16А","2019-07-01",468,"обтяження відсутнє","2020-06-30",,,"116,36","Слуга народу","Центральний офіс",40422142,"Україна",1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання доменного sluga-naroda.biz","м. Київ, Паркова дорога 16А","2019-07-01",468,"обтяження відсутнє","2020-06-30",,,"116,36","Слуга народу","Центральний офіс",40422142,"Україна",1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Веб-сайт ПП Слуга Народу","м. Київ, Паркова дорога 16А","2020-03-16",503000,"обтяження відсутнє",,,,"471562,49","Слуга народу","Центральний офіс",40422142,"Україна",2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",,"м. Київ, Паркова дорога 16А","2018-02-22",0,"обтяження відсутнє",,,,"467,41","Слуга народу","Центральний офіс",40422142,"Україна",2,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програма для ЕОМ Ліцензія SSTK Стандартная Image","м. Київ, Паркова дорога 16А","2020-03-18",60840,"обтяження відсутнє","2021-03-17",,,"45630,0","Слуга народу","Центральний офіс",40422142,"Україна",2,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програма для ЕОМ M.e.doc","м. Київ, Паркова дорога 16А",,,"обтяження відсутнє",,,,"701,15","Слуга народу","Центральний офіс",40422142,"Україна",2,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програма для ЕОМ ""Worksection""","м. Київ, Паркова дорога 16А","2020-04-05",56000,"обтяження відсутнє","2020-08-04",,,"28000,0","Слуга народу","Центральний офіс",40422142,"Україна",2,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Программа для ЕОМ Business automation software PROF.","м. Київ, Паркова дорога 16А","2020-06-05",24600,"обтяження відсутнє","2022-06-05",,,"23616,0","Слуга народу","Центральний офіс",40422142,"Україна",2,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Программа для ЕОМ Business automation software","м. Київ, Паркова дорога 16А","2020-06-06",42360,"обтяження відсутнє","2022-06-05",,,"40909,32","Слуга народу","Центральний офіс",40422142,"Україна",2,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програма для ЕОМ КП ""Програмний комплекс ""Варта""","м. Київ, Паркова дорога 16А","2020-01-29",650,"обтяження відсутнє","2022-01-31",,,"515,73","Слуга народу","Центральний офіс",40422142,"Україна",2,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програма для ЕОМ 1С:Підприємство 8.Зарплата і Управління Персоналом для України","м. Київ, Паркова дорога 16А","2020-03-16",8400,"обтяження відсутнє","2024-01-21",,,"7685,12","Слуга народу","Центральний офіс",40422142,"Україна",2,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програма для ЕОМ Антивірусний пакет бухгалтера НБУ+ОТ на 8 місяців 2020 року","м. Київ, Паркова дорога 16А","2020-05-04",2667,"обтяження відсутнє","2020-12-31",,,"2000,24","Слуга народу","Центральний офіс",40422142,"Україна",2,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програма для ЕОМ Антивірусний пакет бухгалтера НБУ+ОТ на 1 місяць 2021 року","м. Київ, Паркова дорога 16А","2020-05-04",333,"обтяження відсутнє","2021-01-31",,,"333,0","Слуга народу","Центральний офіс",40422142,"Україна",2,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програма для ЕОМ ПЗ ""Система автоматизації HR-процесів та управління талантами Мосо""","м. Київ, Паркова дорога 16А","2020-03-20","240000,00","обтяження відсутнє","2070-03-19",,,"413747,83","Слуга народу","Центральний офіс",40422142,"Україна",2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання доменного імені sluga-narodu.org.ua","м. Київ, Паркова дорога 16А","2019-06-30",288,"обтяження відсутнє","2020-06-30",,,"0,0","Слуга народу","Центральний офіс",40422142,"Україна",2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання доменного sluga-narodu.com","м. Київ, Паркова дорога 16А","2019-06-30",441,"обтяження відсутнє","2020-06-30",,,"0,0","Слуга народу","Центральний офіс",40422142,"Україна",2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання доменного імені sluga-narodu.kiev.ua","м. Київ, Паркова дорога 16А","2019-06-30",282,"обтяження відсутнє","2020-06-30",,,"0,0","Слуга народу","Центральний офіс",40422142,"Україна",2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання доменного імені sluga-narodu.org","м. Київ, Паркова дорога 16А","2019-06-30",474,"обтяження відсутнє","2020-06-30",,,"0,0","Слуга народу","Центральний офіс",40422142,"Україна",2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання доменного імені sluga-naroda.in.ua","м. Київ, Паркова дорога 16А","2019-06-30",312,"обтяження відсутнє","2020-06-30",,,"0,0","Слуга народу","Центральний офіс",40422142,"Україна",2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання доменного sluga-narodu.com.ua","м. Київ, Паркова дорога 16А","2019-06-30",321,"обтяження відсутнє","2020-06-30",,,"0,0","Слуга народу","Центральний офіс",40422142,"Україна",2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання доменного sluga-narodu.biz","м. Київ, Паркова дорога 16А","2019-06-30",468,"обтяження відсутнє","2020-06-30",,,"0,0","Слуга народу","Центральний офіс",40422142,"Україна",2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання доменного sluga-narodu.net","м. Київ, Паркова дорога 16А","2019-06-30",468,"обтяження відсутнє","2020-06-30",,,"0,0","Слуга народу","Центральний офіс",40422142,"Україна",2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання доменного sluga-naroda.kiev.ua","м. Київ, Паркова дорога 16А","2019-06-30",282,"обтяження відсутнє","2020-06-30",,,"0,0","Слуга народу","Центральний офіс",40422142,"Україна",2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання доменного sluga-naroda.net.ua","м. Київ, Паркова дорога 16А","2019-06-30",261,"обтяження відсутнє","2020-06-30",,,"0,0","Слуга народу","Центральний офіс",40422142,"Україна",2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання доменного sluga-narodu.net.ua","м. Київ, Паркова дорога 16А","2019-06-30",261,"обтяження відсутнє","2020-06-30",,,"0,0","Слуга народу","Центральний офіс",40422142,"Україна",2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання доменного sluga-naroda.net","м. Київ, Паркова дорога 16А","2019-06-30",468,"обтяження відсутнє","2020-06-30",,,"0,0","Слуга народу","Центральний офіс",40422142,"Україна",2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання доменного sluga-naroda.biz","м. Київ, Паркова дорога 16А","2019-06-30",468,"обтяження відсутнє","2020-06-30",,,"0,0","Слуга народу","Центральний офіс",40422142,"Україна",2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання доменного імені sluga-narodu.org.ua","м. Київ, Паркова дорога 16А","2020-06-22",288,"обтяження відсутнє","2021-06-30",,,"288,0","Слуга народу","Центральний офіс",40422142,"Україна",2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання доменного sluga-narodu.com","м. Київ, Паркова дорога 16А","2020-06-22",441,"обтяження відсутнє","2021-06-30",,,"441,0","Слуга народу","Центральний офіс",40422142,"Україна",2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання доменного імені sluga-narodu.kiev.ua","м. Київ, Паркова дорога 16А","2020-06-22",282,"обтяження відсутнє","2021-06-30",,,"282,0","Слуга народу","Центральний офіс",40422142,"Україна",2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання доменного імені sluga-narodu.org","м. Київ, Паркова дорога 16А","2020-06-22",474,"обтяження відсутнє","2021-06-30",,,"474,0","Слуга народу","Центральний офіс",40422142,"Україна",2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання доменного імені sluga-naroda.in.ua","м. Київ, Паркова дорога 16А","2020-06-22",312,"обтяження відсутнє","2021-06-30",,,"312,0","Слуга народу","Центральний офіс",40422142,"Україна",2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання доменного sluga-narodu.com.ua","м. Київ, Паркова дорога 16А","2020-06-22",321,"обтяження відсутнє","2021-06-30",,,"321,0","Слуга народу","Центральний офіс",40422142,"Україна",2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання доменного sluga-narodu.biz","м. Київ, Паркова дорога 16А","2020-06-22",519,"обтяження відсутнє","2021-06-30",,,"519,0","Слуга народу","Центральний офіс",40422142,"Україна",2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання доменного sluga-narodu.net","м. Київ, Паркова дорога 16А","2020-06-22",468,"обтяження відсутнє","2021-06-30",,,"468,0","Слуга народу","Центральний офіс",40422142,"Україна",2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання доменного sluga-naroda.kiev.ua","м. Київ, Паркова дорога 16А","2020-06-22",282,"обтяження відсутнє","2021-06-30",,,"282,0","Слуга народу","Центральний офіс",40422142,"Україна",2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання доменного sluga-naroda.net.ua","м. Київ, Паркова дорога 16А","2020-06-22",261,"обтяження відсутнє","2021-06-30",,,"261,0","Слуга народу","Центральний офіс",40422142,"Україна",2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання доменного sluga-narodu.net.ua","м. Київ, Паркова дорога 16А","2020-06-22",261,"обтяження відсутнє","2021-06-30",,,"261,0","Слуга народу","Центральний офіс",40422142,"Україна",2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання доменного sluga-naroda.net","м. Київ, Паркова дорога 16А","2020-06-22",468,"обтяження відсутнє","2021-06-30",,,"468,0","Слуга народу","Центральний офіс",40422142,"Україна",2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання доменного sluga-naroda.biz","м. Київ, Паркова дорога 16А","2020-06-22",519,"обтяження відсутнє","2021-06-30",,,"519,0","Слуга народу","Центральний офіс",40422142,"Україна",2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друкований ЗМІ: Газета ""Слуга Народу"" 1,5 ум.друк.арк.(400х289мм), 2 рази на 1 тиждень, мова змішана: укр./рос.(свідцтво про держ.реєстрацію КВ №23171-13911Р)","м. Київ, вул. Паркова дорога, буд. 16А","2018-03-22",0,"обтяження відсутнє",,,,"424,9","Слуга народу","Центральний офіс",40422142,"Україна",3,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Веб-сайт ПП""СЛУГА НАРОДУ ""https://sluga-narodu.com/","м. Київ, вул. Паркова дорога, буд. 16А","2020-03-16",503000,"обтяження відсутнє",,,,"440124,98","Слуга народу","Центральний офіс",40422142,"Україна",3,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програма для ЕОМ Ліцензія №Л907/40422142 на вик.Системи YOUCONTROL ""ПОВНИЙ ДОСТУП"" на 1рік(365 днів)","м. Київ, вул. Паркова дорога, буд. 16А","2020-07-20",35000,"обтяження відсутнє","2021-07-19",,,"27712,33","Слуга народу","Центральний офіс",40422142,"Україна",3,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програма для ЕОМ Ліцензія №Л/907/40422142-1на викор. Системи YOUCONTROL ""СТАНДАРТНА НА МІСЯЦЬ""","м. Київ, вул. Паркова дорога, буд. 16А","2020-07-20",26150,"обтяження відсутнє","2020-12-20",,,"14950,0","Слуга народу","Центральний офіс",40422142,"Україна",3,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програма для ЕОМ Ліцензія №Л/907/40422142-3 на викор.6 р.м. Системи YOUCONTROL PEOPLE НА МІСЯЦЬ""","м. Київ, вул. Паркова дорога, буд. 16А","2020-09-20",7500,"обтяження відсутнє","2020-10-19",,,"3750,0","Слуга народу","Центральний офіс",40422142,"Україна",3,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програма для ЕОМ ""М.Е.ДОC""","м. Київ, вул. Паркова дорога, буд. 16А","2020-01-29",1202,"обтяження відсутнє","2021-01-31",,,"400,64","Слуга народу","Центральний офіс",40422142,"Україна",3,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програма для ЕОМ Ліцензія SSTK Стандартная Image","м. Київ, вул. Паркова дорога, буд. 16А","2020-03-18",60840,"обтяження відсутнє","2021-03-17",,,"30420,0","Слуга народу","Центральний офіс",40422142,"Україна",3,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програма для ЕОМ КП ""Програмний комплекс ""Варта""","м. Київ, вул. Паркова дорога, буд. 16А","2020-01-29",650,"обтяження відсутнє","2022-01-31",,,"433,92","Слуга народу","Центральний офіс",40422142,"Україна",3,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програма для ЕОМ Антивірусний пакет бухгалтера НБУ+ОТ","м. Київ, вул. Паркова дорога, буд. 16А","2020-05-04",3000,"обтяження відсутнє","2021-01-31",,,"1333,1","Слуга народу","Центральний офіс",40422142,"Україна",3,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програма для ЕОМ Business automation software PROF. Server License 32 (803700143)","м. Київ, вул. Паркова дорога, буд. 16А","2020-06-05",24600,"обтяження відсутнє","2022-06-05",,,"20664,0","Слуга народу","Центральний офіс",40422142,"Україна",3,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програма для ЕОМ Business automation software. Client License for 20 user PROF (803685229)","м. Київ, вул. Паркова дорога, буд. 16А","2020-06-06",42360,"обтяження відсутнє","2022-06-05",,,"35570,8","Слуга народу","Центральний офіс",40422142,"Україна",3,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програма для ЕОМ Модуль Зарплата і Управління Персоналом для України №802190990","м. Київ, вул. Паркова дорога, буд. 16А","2020-03-16",8400,"обтяження відсутнє","2024-01-21",,,"7148,96","Слуга народу","Центральний офіс",40422142,"Україна",3,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програма для ЕОМ одноразове підключення 25 організацій конфігурації Бухоблік для НП","м. Київ, вул. Паркова дорога, буд. 16А","2020-08-01",144000,"обтяження відсутнє","2021-07-31",,,"120000,0","Слуга народу","Центральний офіс",40422142,"Україна",3,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програма для ЕОМ ПЗ ""Система автоматизації HR-процесів та управління талантами Мосо""","м. Київ, вул. Паркова дорога, буд. 16А","2020-03-20",240000,"обтяження відсутнє","2070-03-19",,,"384881,71","Слуга народу","Центральний офіс",40422142,"Україна",3,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програма для ЕОМ Право викорисання бухгалтерського сервісу ""Дт-Кт""","м. Київ, вул. Паркова дорога, буд. 16А","2020-07-30",4488,"обтяження відсутнє","2021-07-31",,,"3740,0","Слуга народу","Центральний офіс",40422142,"Україна",3,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програма для ЕОМ ""M.e.doc"" модуль Звітність","м. Київ, вул. Паркова дорога, буд. 16А","2020-09-08",375,"обтяження відсутнє","2021-02-08",,,"318,99","Слуга народу","Центральний офіс",40422142,"Україна",3,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програма для ЕОМ BAS Бухгалтерія версія ПРОФ. К-т на 5 користувачів рег.№803815870","м. Київ, вул. Паркова дорога, буд. 16А","2020-07-22",12900,"обтяження відсутнє","2024-01-21",,,"12183,89","Слуга народу","Центральний офіс",40422142,"Україна",3,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програма для ЕОМ доступ до онлайн-сервісів ПРОФ програмної продукції BAS Бухгалтерія на 12міс.","м. Київ, вул. Паркова дорога, буд. 16А","2020-07-22",5800,"обтяження відсутнє","2021-07-22",,,"4461,55","Слуга народу","Центральний офіс",40422142,"Україна",3,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання (продовження) домену с.к. 1146728 sluga-narodu.org.ua","м. Київ, вул. Паркова дорога, буд. 16А","2020-06-22",288,"обтяження відсутнє","2021-06-30",,,"215,41","Слуга народу","Центральний офіс",40422142,"Україна",3,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання (продовження) домену с.к. 1146730 sluga-narodu.com","м. Київ, вул. Паркова дорога, буд. 16А","2020-06-22",441,"обтяження відсутнє","2021-06-30",,,"329,84","Слуга народу","Центральний офіс",40422142,"Україна",3,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання (продовження) домену с.к. 1146725 sluga-narodu.kiev.ua","м. Київ, вул. Паркова дорога, буд. 16А","2020-06-22",282,"обтяження відсутнє","2021-06-30",,,"210,92","Слуга народу","Центральний офіс",40422142,"Україна",3,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання (продовження) домену с.к. 1146731 sluga-narodu.org","м. Київ, вул. Паркова дорога, буд. 16А","2020-06-22",474,"обтяження відсутнє","2021-06-30",,,"354,52","Слуга народу","Центральний офіс",40422142,"Україна",3,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання (продовження) домену с.к. 1146733 sluga-narodа.in.ua","м. Київ, вул. Паркова дорога, буд. 16А","2020-06-22",312,"обтяження відсутнє","2021-06-30",,,"233,36","Слуга народу","Центральний офіс",40422142,"Україна",3,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання (продовження) домену с.к. 1146723 sluga-narodu.com.ua","м. Київ, вул. Паркова дорога, буд. 16А","2020-06-22",321,"обтяження відсутнє","2021-06-30",,,"240,1","Слуга народу","Центральний офіс",40422142,"Україна",3,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання (продовження) домену с.к. 1146729 sluga-narodu.biz","м. Київ, вул. Паркова дорога, буд. 16А","2020-06-22",519,"обтяження відсутнє","2021-06-30",,,"388,18","Слуга народу","Центральний офіс",40422142,"Україна",3,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання (продовження) домену с.к. 1146732 sluga-narodu.net","м. Київ, вул. Паркова дорога, буд. 16А","2020-06-22",468,"обтяження відсутнє","2021-06-30",,,"350,03","Слуга народу","Центральний офіс",40422142,"Україна",3,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання (продовження) домену с.к. 1146734 sluga-narodа.kiev.ua","м. Київ, вул. Паркова дорога, буд. 16А","2020-06-22",282,"обтяження відсутнє","2021-06-30",,,"210,92","Слуга народу","Центральний офіс",40422142,"Україна",3,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання (продовження) домену с.к. 1146735 sluga-narodа.net.ua","м. Київ, вул. Паркова дорога, буд. 16А","2020-06-22",261,"обтяження відсутнє","2021-06-30",,,"195,21","Слуга народу","Центральний офіс",40422142,"Україна",3,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання (продовження) домену с.к. 1146727 sluga-narodu.net.ua","м. Київ, вул. Паркова дорога, буд. 16А","2020-06-22",261,"обтяження відсутнє","2021-06-30",,,"195,21","Слуга народу","Центральний офіс",40422142,"Україна",3,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання (продовження) домену с.к. 1146737 sluga-naroda.net","м. Київ, вул. Паркова дорога, буд. 16А","2020-06-22",468,"обтяження відсутнє","2021-06-30",,,"350,03","Слуга народу","Центральний офіс",40422142,"Україна",3,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Право використання (продовження) домену с.к. 1146736 sluga-naroda.biz","м. Київ, вул. Паркова дорога, буд. 16А","2020-06-22",519,"обтяження відсутнє","2021-06-30",,,"388,18","Слуга народу","Центральний офіс",40422142,"Україна",3,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програма для ЕОМ ""M.E.Doc""","м. Вінницця, вул. Магістратська, буд. 156А","2020-08-07",1502,"обтяження відсутнє","2021-08-06",,,"1275,67","Слуга народу","Вінницька обласна організація",43655957,"Вінницька область",3,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програма для ЕОМ КП ""Програмний комплекс ""Варта""","м. Вінницця, вул. Магістратська, буд. 156А","2020-08-07",480,"обтяження відсутнє","2021-08-06",,,"408,79","Слуга народу","Вінницька обласна організація",43655957,"Вінницька область",3,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Microsoft Office 365 Business (1 рік)","м. Вінницця, вул. Магістратська, буд. 156А","2020-09-10",3000,"обтяження відсутнє","2021-09-10",,,"2835,62","Слуга народу","Вінницька обласна організація",43655957,"Вінницька область",3,2020
