Вид нематеріального активу,Назва нематеріального активу,Місцезнаходження обʼєкта,Дата придбання,Вартість придбання,Наявність обтяжень,Дата відчуження,Вартість відчуження майна,Сума доходу (грн),Балансова вартість на кінець звітного періоду (грн),Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний об'єкт,Квартал,Рік
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Право використання доменного імені sluga-narodu.org,"м. Київ, Паркова дорога 16А",2019-07-01,474,обтяження відсутнє,2020-06-30,,,"117,84",Слуга народу,Центральний офіс,40422142,Україна,1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Право використання доменного імені sluga-naroda.in.ua,"м. Київ, Паркова дорога 16А",2019-07-01,312,обтяження відсутнє,2020-06-30,,,"77,57",Слуга народу,Центральний офіс,40422142,Україна,1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Право використання доменного sluga-narodu.com.ua,"м. Київ, Паркова дорога 16А",2019-07-01,321,обтяження відсутнє,2020-06-30,,,"79,81",Слуга народу,Центральний офіс,40422142,Україна,1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Право використання доменного sluga-narodu.biz,"м. Київ, Паркова дорога 16А",2019-07-01,468,обтяження відсутнє,2020-06-30,,,"116,36",Слуга народу,Центральний офіс,40422142,Україна,1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Право використання доменного sluga-narodu.net,"м. Київ, Паркова дорога 16А",2019-07-01,468,обтяження відсутнє,2020-06-30,,,"116,36",Слуга народу,Центральний офіс,40422142,Україна,1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Право використання доменного sluga-naroda.kiev.ua,"м. Київ, Паркова дорога 16А",2019-07-01,282,обтяження відсутнє,2020-06-30,,,"70,11",Слуга народу,Центральний офіс,40422142,Україна,1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Право використання доменного sluga-naroda.net.ua,"м. Київ, Паркова дорога 16А",2019-07-01,261,обтяження відсутнє,2020-06-30,,,"64,89",Слуга народу,Центральний офіс,40422142,Україна,1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Право використання доменного sluga-narodu.net.ua,"м. Київ, Паркова дорога 16А",2019-07-01,261,обтяження відсутнє,2020-06-30,,,"64,89",Слуга народу,Центральний офіс,40422142,Україна,1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Право використання доменного sluga-naroda.net,"м. Київ, Паркова дорога 16А",2019-07-01,468,обтяження відсутнє,2020-06-30,,,"116,36",Слуга народу,Центральний офіс,40422142,Україна,1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Право використання доменного sluga-naroda.biz,"м. Київ, Паркова дорога 16А",2019-07-01,468,обтяження відсутнє,2020-06-30,,,"116,36",Слуга народу,Центральний офіс,40422142,Україна,1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Веб-сайт ПП Слуга Народу,"м. Київ, Паркова дорога 16А",2020-03-16,503000,обтяження відсутнє,,,,"471562,49",Слуга народу,Центральний офіс,40422142,Україна,2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",,"м. Київ, Паркова дорога 16А",2018-02-22,0,обтяження відсутнє,,,,"467,41",Слуга народу,Центральний офіс,40422142,Україна,2,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Програма для ЕОМ Ліцензія SSTK Стандартная Image,"м. Київ, Паркова дорога 16А",2020-03-18,60840,обтяження відсутнє,2021-03-17,,,"45630,0",Слуга народу,Центральний офіс,40422142,Україна,2,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Програма для ЕОМ M.e.doc,"м. Київ, Паркова дорога 16А",,,обтяження відсутнє,,,,"701,15",Слуга народу,Центральний офіс,40422142,Україна,2,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програма для ЕОМ ""Worksection""","м. Київ, Паркова дорога 16А",2020-04-05,56000,обтяження відсутнє,2020-08-04,,,"28000,0",Слуга народу,Центральний офіс,40422142,Україна,2,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Программа для ЕОМ Business automation software PROF.,"м. Київ, Паркова дорога 16А",2020-06-05,24600,обтяження відсутнє,2022-06-05,,,"23616,0",Слуга народу,Центральний офіс,40422142,Україна,2,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Программа для ЕОМ Business automation software,"м. Київ, Паркова дорога 16А",2020-06-06,42360,обтяження відсутнє,2022-06-05,,,"40909,32",Слуга народу,Центральний офіс,40422142,Україна,2,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програма для ЕОМ КП ""Програмний комплекс ""Варта""","м. Київ, Паркова дорога 16А",2020-01-29,650,обтяження відсутнє,2022-01-31,,,"515,73",Слуга народу,Центральний офіс,40422142,Україна,2,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Програма для ЕОМ 1С:Підприємство 8.Зарплата і Управління Персоналом для України,"м. Київ, Паркова дорога 16А",2020-03-16,8400,обтяження відсутнє,2024-01-21,,,"7685,12",Слуга народу,Центральний офіс,40422142,Україна,2,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Програма для ЕОМ Антивірусний пакет бухгалтера НБУ+ОТ на 8 місяців 2020 року,"м. Київ, Паркова дорога 16А",2020-05-04,2667,обтяження відсутнє,2020-12-31,,,"2000,24",Слуга народу,Центральний офіс,40422142,Україна,2,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Програма для ЕОМ Антивірусний пакет бухгалтера НБУ+ОТ на 1 місяць 2021 року,"м. Київ, Паркова дорога 16А",2020-05-04,333,обтяження відсутнє,2021-01-31,,,"333,0",Слуга народу,Центральний офіс,40422142,Україна,2,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програма для ЕОМ ПЗ ""Система автоматизації HR-процесів та управління талантами Мосо""","м. Київ, Паркова дорога 16А",2020-03-20,"240 000,00",обтяження відсутнє,2070-03-19,,,"413747,83",Слуга народу,Центральний офіс,40422142,Україна,2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Право використання доменного імені sluga-narodu.org.ua,"м. Київ, Паркова дорога 16А",2019-06-30,288,обтяження відсутнє,2020-06-30,,,"0,0",Слуга народу,Центральний офіс,40422142,Україна,2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Право використання доменного sluga-narodu.com,"м. Київ, Паркова дорога 16А",2019-06-30,441,обтяження відсутнє,2020-06-30,,,"0,0",Слуга народу,Центральний офіс,40422142,Україна,2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Право використання доменного імені sluga-narodu.kiev.ua,"м. Київ, Паркова дорога 16А",2019-06-30,282,обтяження відсутнє,2020-06-30,,,"0,0",Слуга народу,Центральний офіс,40422142,Україна,2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Право використання доменного імені sluga-narodu.org,"м. Київ, Паркова дорога 16А",2019-06-30,474,обтяження відсутнє,2020-06-30,,,"0,0",Слуга народу,Центральний офіс,40422142,Україна,2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Право використання доменного імені sluga-naroda.in.ua,"м. Київ, Паркова дорога 16А",2019-06-30,312,обтяження відсутнє,2020-06-30,,,"0,0",Слуга народу,Центральний офіс,40422142,Україна,2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Право використання доменного sluga-narodu.com.ua,"м. Київ, Паркова дорога 16А",2019-06-30,321,обтяження відсутнє,2020-06-30,,,"0,0",Слуга народу,Центральний офіс,40422142,Україна,2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Право використання доменного sluga-narodu.biz,"м. Київ, Паркова дорога 16А",2019-06-30,468,обтяження відсутнє,2020-06-30,,,"0,0",Слуга народу,Центральний офіс,40422142,Україна,2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Право використання доменного sluga-narodu.net,"м. Київ, Паркова дорога 16А",2019-06-30,468,обтяження відсутнє,2020-06-30,,,"0,0",Слуга народу,Центральний офіс,40422142,Україна,2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Право використання доменного sluga-naroda.kiev.ua,"м. Київ, Паркова дорога 16А",2019-06-30,282,обтяження відсутнє,2020-06-30,,,"0,0",Слуга народу,Центральний офіс,40422142,Україна,2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Право використання доменного sluga-naroda.net.ua,"м. Київ, Паркова дорога 16А",2019-06-30,261,обтяження відсутнє,2020-06-30,,,"0,0",Слуга народу,Центральний офіс,40422142,Україна,2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Право використання доменного sluga-narodu.net.ua,"м. Київ, Паркова дорога 16А",2019-06-30,261,обтяження відсутнє,2020-06-30,,,"0,0",Слуга народу,Центральний офіс,40422142,Україна,2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Право використання доменного sluga-naroda.net,"м. Київ, Паркова дорога 16А",2019-06-30,468,обтяження відсутнє,2020-06-30,,,"0,0",Слуга народу,Центральний офіс,40422142,Україна,2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Право використання доменного sluga-naroda.biz,"м. Київ, Паркова дорога 16А",2019-06-30,468,обтяження відсутнє,2020-06-30,,,"0,0",Слуга народу,Центральний офіс,40422142,Україна,2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Право використання доменного імені sluga-narodu.org.ua,"м. Київ, Паркова дорога 16А",2020-06-22,288,обтяження відсутнє,2021-06-30,,,"288,0",Слуга народу,Центральний офіс,40422142,Україна,2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Право використання доменного sluga-narodu.com,"м. Київ, Паркова дорога 16А",2020-06-22,441,обтяження відсутнє,2021-06-30,,,"441,0",Слуга народу,Центральний офіс,40422142,Україна,2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Право використання доменного імені sluga-narodu.kiev.ua,"м. Київ, Паркова дорога 16А",2020-06-22,282,обтяження відсутнє,2021-06-30,,,"282,0",Слуга народу,Центральний офіс,40422142,Україна,2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Право використання доменного імені sluga-narodu.org,"м. Київ, Паркова дорога 16А",2020-06-22,474,обтяження відсутнє,2021-06-30,,,"474,0",Слуга народу,Центральний офіс,40422142,Україна,2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Право використання доменного імені sluga-naroda.in.ua,"м. Київ, Паркова дорога 16А",2020-06-22,312,обтяження відсутнє,2021-06-30,,,"312,0",Слуга народу,Центральний офіс,40422142,Україна,2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Право використання доменного sluga-narodu.com.ua,"м. Київ, Паркова дорога 16А",2020-06-22,321,обтяження відсутнє,2021-06-30,,,"321,0",Слуга народу,Центральний офіс,40422142,Україна,2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Право використання доменного sluga-narodu.biz,"м. Київ, Паркова дорога 16А",2020-06-22,519,обтяження відсутнє,2021-06-30,,,"519,0",Слуга народу,Центральний офіс,40422142,Україна,2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Право використання доменного sluga-narodu.net,"м. Київ, Паркова дорога 16А",2020-06-22,468,обтяження відсутнє,2021-06-30,,,"468,0",Слуга народу,Центральний офіс,40422142,Україна,2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Право використання доменного sluga-naroda.kiev.ua,"м. Київ, Паркова дорога 16А",2020-06-22,282,обтяження відсутнє,2021-06-30,,,"282,0",Слуга народу,Центральний офіс,40422142,Україна,2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Право використання доменного sluga-naroda.net.ua,"м. Київ, Паркова дорога 16А",2020-06-22,261,обтяження відсутнє,2021-06-30,,,"261,0",Слуга народу,Центральний офіс,40422142,Україна,2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Право використання доменного sluga-narodu.net.ua,"м. Київ, Паркова дорога 16А",2020-06-22,261,обтяження відсутнє,2021-06-30,,,"261,0",Слуга народу,Центральний офіс,40422142,Україна,2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Право використання доменного sluga-naroda.net,"м. Київ, Паркова дорога 16А",2020-06-22,468,обтяження відсутнє,2021-06-30,,,"468,0",Слуга народу,Центральний офіс,40422142,Україна,2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Право використання доменного sluga-naroda.biz,"м. Київ, Паркова дорога 16А",2020-06-22,519,обтяження відсутнє,2021-06-30,,,"519,0",Слуга народу,Центральний офіс,40422142,Україна,2,2020
