Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний об’єкт,Дата,Квартал,Рік,Примітки
"ПАТ КБ ""Приватбанк"" ",рахунок виборчого фонду політичної партії,26433055700077,0,Опозиційний блок,Запорізька обласна організація,37526809,Запорізька область,2017-06-30,2,2017,поточний
"ПАТ КБ ""Приватбанк"" ",рахунок виборчого фонду політичної партії,26438055700254,0,Опозиційний блок,Запорізька обласна організація,37526809,Запорізька область,2017-06-30,2,2017,поточний
ПАТ “ПУМБ”,поточний рахунок,2600115305,0,Опозиційний блок,Івано-Франківська обласна організація,39711819,Івано-Франківська область,2017-06-30,2,2017,
"АТ ""Місто банк""",поточний рахунок,26006001030575,"24466,28",Опозиційний блок,Київська обласна організація,39756467,Київська область,2017-06-30,2,2017,
"АБ ""Південний""",поточний рахунок,26000010007869,"7235,39",Опозиційний блок,Кіровоградська обласна організація,39662568,Кіровоградська область,2017-06-30,2,2017,
"АТ ""Ощадбанк""",поточний рахунок,26007300828305,"18,98",Опозиційний блок,Краснолиманська міська організація,39912690,Донецька область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26009053604382,"338,6",Опозиційний блок,Краматорська міська організація,39898949,Донецька область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26001053607086,"245,42",Опозиційний блок,Костянтинівська районна організація,39897510,Донецька область,2017-06-30,2,2017,
"АТ ""Ощадбанк""",поточний рахунок,26008301680625,"8993,16",Опозиційний блок,Луганська обласна організація,39697428,Луганська область,2017-06-30,2,2017,
"ПАТ ""Укрсоцбанк""",поточний рахунок,26003011699073,0,Опозиційний блок,Львівська обласна організація,37613126,Львівська область,2017-06-30,2,2017,
"АБ ""Кліринговий дім""",поточний рахунок,26008010263,"15,04",Опозиційний блок,Київська міська організація,37311846,Київ,2017-06-30,2,2017,
"АТ ""Ощадбанк""",поточний рахунок,26001300831495,"3292,05",Опозиційний блок,Мар’їнська районна організація,39904009,Донецька область,2017-06-30,2,2017,
ПАТ “ПУМБ”,поточний рахунок,2600214189,"187,13",Опозиційний блок,Маріупольська міська організація,39905107,Донецька область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26000053226136,1394,Опозиційний блок,Первомайська міська організація,39874273,Миколаївська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26006051828075,"4355,45",Опозиційний блок,Мирноградська міська організація,39951441,Донецька область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26003053219452,0,Опозиційний блок,Новобузька районна організація,39843072,Миколаївська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26009051827534,0,Опозиційний блок,Новогродівська міська організація,39904281,Донецька область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26055051820165,0,Опозиційний блок,Новогродівська міська організація,39904281,Донецька область,2017-06-30,2,2017,
"ПАТ ""Банк Восток""",поточний рахунок,26007010349074,"776,86",Опозиційний блок,Одеська обласна організація,39705145,Одеська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк"" ",рахунок виборчого фонду політичної партії,26437054300662,0,Опозиційний блок,Одеська обласна організація,39705145,Одеська область,2017-06-30,2,2017,
ПАТ “ПУМБ”,поточний рахунок,2600115288,"102,2",Опозиційний блок,Першотравнева районна організація,39929882,Донецька область,2017-06-30,2,2017,
ПАТ “ПУМБ”,поточний рахунок,2605810647,0,Опозиційний блок,Першотравнева районна організація,39929882,Донецька область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26006053607531,"28,41",Опозиційний блок,Олександрівська районна організація,39908600,Донецька область,2017-06-30,2,2017,
"АТ ""Ощадбанк""",поточний рахунок,26005300845391,"1002,91",Опозиційний блок,Покровська міська організація,39949060,Донецька область,2017-06-30,2,2017,
"АТ ""Ощадбанк""",поточний рахунок,26000300844988,"1675,08",Опозиційний блок,Покровська районна організація,39926169,Донецька область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26007054626513,2197,Опозиційний блок,Полтавська обласна організація,39763762,Полтавська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26007053606382,0,Опозиційний блок,Слов’янська районна організація,39923236,Донецька область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26002053609629,0,Опозиційний блок,Слов’янська міська організація,39902834,Донецька область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26000051830810,"0,25",Опозиційний блок,Селидовська міська організація,39910295,Донецька область,2017-06-30,2,2017,
"АБ ""Укргазбанк""",поточний рахунок,26009299493,"8175,91",Опозиційний блок,Рівненська обласна організація,39661171,Рівненська область,2017-06-30,2,2017,
"АТ ""Ощадбанк""",поточний рахунок,26001300953074,"7120,38",Опозиційний блок,Сумська обласна організація,39673391,Сумська область,2017-06-30,2,2017,
ПАТ “ПУМБ”,поточний рахунок,2600915358,"1486,25",Опозиційний блок,Херсонська обласна організація,37542218,Херсонська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26008052302553,1153,Опозиційний блок,Хмельницька обласна організація,39698166,Хмельницька область,2017-06-30,2,2017,
"АТ ""Ощадбанк""",поточний рахунок,26002301144523,"8056,95",Опозиційний блок,Черкаська обласна організація,39880926,Черкаська область,2017-06-30,2,2017,
ПАТ “ПУМБ”,поточний рахунок,2600815298,119,Опозиційний блок,Чернівецька обласна організація,39952906,Чернівецька область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26003051415812,"3575,99",Опозиційний блок,Чернігівська обласна організація,37418136,Чернігівська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк"" ",рахунок виборчого фонду політичної партії,26422051400668,0,Опозиційний блок,Чернігівська міська організація,39872669,Чернігівська область,2017-06-30,2,2017,(дата закриття — 13.06.2017)
"ПАТ КБ ""Приватбанк"" ",рахунок виборчого фонду політичної партії,26428051400532,0,Опозиційний блок,Чернігівська міська організація,39872669,Чернігівська область,2017-06-30,2,2017,(дата закриття — 13.06.2017)
"АТ ""Місто банк""",поточний рахунок,26008001030506,"40094,55",Опозиційний блок,Центральний офіс,37120464,Україна,2017-09-30,3,2017,
"ПАТ ""ПУМБ""",поточний рахунок,260058463,"7727,59",Опозиційний блок,Центральний офіс,37120464,Україна,2017-09-30,3,2017,
"ПАТ ""Укрсоцбанк""",поточний рахунок,26007011076294,6132,Опозиційний блок,Центральний офіс,37120464,Україна,2017-09-30,3,2017,
"АТ ""Місто банк""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26007002030506,"22478221,3",Опозиційний блок,Центральний офіс,37120464,Україна,2017-09-30,3,2017,
"ПАТ ""ПУМБ""",поточний рахунок,2600815360,0,Опозиційний блок,Вінницька обласна організація,37618150,Вінницька область,2017-09-30,3,2017,
"ПАТ КБ ""Приватбанк"" ",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26000055333424,"147,95",Опозиційний блок,Вінницька обласна організація,37618150,Вінницька область,2017-09-30,3,2017,
"ПАТ ""ПУМБ""",поточний рахунок,2600813320,"1545,21",Опозиційний блок,Дніпропетровська обласна організація,39750015,Дніпропетровська область,2017-09-30,3,2017,
"ПАТ ""ПУМБ""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,2600813320д,"2387,01",Опозиційний блок,Дніпропетровська обласна організація,39750015,Дніпропетровська область,2017-09-30,3,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26007053610066,30,Опозиційний блок,Донецька обласна організація,39751914,Донецька область,2017-09-30,3,2017,
"ПАТ КБ ""Приватбанк"" ",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26007053610066д,"112,25",Опозиційний блок,Донецька обласна організація,39751914,Донецька область,2017-09-30,3,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26008055807991,"1675,91",Опозиційний блок,Житомирська обласна організація,39929086,Житомирська область,2017-09-30,3,2017,
"ПАТ КБ ""Приватбанк"" ",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26008055807991д,"106,95",Опозиційний блок,Житомирська обласна організація,39929086,Житомирська область,2017-09-30,3,2017,
ПАТ “Комінвестбанк”,поточний рахунок,26003016000800,"10,55",Опозиційний блок,Закарпатська обласна організація,38222036,Закарпатська область,2017-09-30,3,2017,
ПАТ “Комінвестбанк”,рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26003016000800д,"20,26",Опозиційний блок,Закарпатська обласна організація,38222036,Закарпатська область,2017-09-30,3,2017,
"ПАТ ""ПУМБ""",поточний рахунок,2600612837,"243467,79",Опозиційний блок,Запорізька обласна організація,37526809,Запорізька область,2017-09-30,3,2017,
"ПАТ ""ПУМБ""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,2600612837д,0,Опозиційний блок,Запорізька обласна організація,37526809,Запорізька область,2017-09-30,3,2017,
"ПуАТ ""КБ ""Акордбанк""",поточний рахунок,26007066129001,71,Опозиційний блок,Івано-Франківська обласна організація,39711819,Івано-Франківська область,2017-09-30,3,2017,
"ПАТ ""ПУМБ""",поточний рахунок,2600115305,1200,Опозиційний блок,Івано-Франківська обласна організація,39711819,Івано-Франківська область,2017-09-30,3,2017,
"ПуАТ ""КБ ""Акордбанк""",поточний рахунок,26007066129001,"486,59",Опозиційний блок,Івано-Франківська обласна організація,39711819,Івано-Франківська область,2017-09-30,3,2017,
"АТ ""Місто банк""",поточний рахунок,26006001030575,"24117,28",Опозиційний блок,Київська обласна організація,39756467,Київська область,2017-09-30,3,2017,
"АБ ""Південний""",поточний рахунок,26000010007869,0,Опозиційний блок,Кіровоградська обласна організація,39662568,Кіровоградська область,2017-09-30,3,2017,
"АБ ""Південний""",поточний рахунок,26000010007869,0,Опозиційний блок,Кіровоградська обласна організація,39662568,Кіровоградська область,2017-09-30,3,2017,
"АТ ""Ощадбанк""",поточний рахунок,26008301680625,"8993,16",Опозиційний блок,Луганська обласна організація,39697428,Луганська область,2017-09-30,3,2017,
"ПАТ ""Укрсоцбанк""",поточний рахунок,26003011699073,0,Опозиційний блок,Львівська обласна організація,37613126,Львівська область,2017-09-30,3,2017,
"ПАТ КБ ""Приватбанк"" ",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26008053705605,"5573,65",Опозиційний блок,Львівська обласна організація,37613126,Львівська область,2017-09-30,3,2017,
"АБ ""Кліринговий дім""",поточний рахунок,26008010263,"15,04",Опозиційний блок,Київська міська організація,37311846,Київ,2017-09-30,3,2017,
"АБ ""Кліринговий дім""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26008010263д,6,Опозиційний блок,Київська міська організація,37311846,Київ,2017-09-30,3,2017,
"ПАТ ""ПУМБ""",поточний рахунок,2600313370,0,Опозиційний блок,Миколаївська обласна організація,39751851,Миколаївська область,2017-09-30,3,2017,
"ПАТ ""ПУМБ""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,2600313370д,"97336,72",Опозиційний блок,Миколаївська обласна організація,39751851,Миколаївська область,2017-09-30,3,2017,
"ПАТ ""Банк Восток""",поточний рахунок,26007010349074,"347,54",Опозиційний блок,Одеська обласна організація,39705145,Одеська область,2017-09-30,3,2017,
"ПАТ ""Банк Восток""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26007010349074д,0,Опозиційний блок,Одеська обласна організація,39705145,Одеська область,2017-09-30,3,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26007054626513,"1832,55",Опозиційний блок,Полтавська обласна організація,39763762,Полтавська область,2017-09-30,3,2017,
"ПАТ КБ ""Приватбанк"" ",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26007054626513д,"0,03",Опозиційний блок,Полтавська обласна організація,39763762,Полтавська область,2017-09-30,3,2017,
"АБ ""Укргазбанк""",поточний рахунок,26009299493,"126,71",Опозиційний блок,Рівненська обласна організація,39661171,Рівненська область,2017-09-30,3,2017,
"АБ ""Укргазбанк""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26009299493980,"3,27",Опозиційний блок,Рівненська обласна організація,39661171,Рівненська область,2017-09-30,3,2017,
"АТ ""Ощадбанк""",поточний рахунок,26001300953074,"174,96",Опозиційний блок,Сумська обласна організація,39673391,Сумська область,2017-09-30,3,2017,
"АТ ""Ощадбанк""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26001300953074д,"11,4",Опозиційний блок,Сумська обласна організація,39673391,Сумська область,2017-09-30,3,2017,
"ПАТ ""ПУМБ""",поточний рахунок,2600915358,"1794,75",Опозиційний блок,Херсонська обласна організація,37542218,Херсонська область,2017-09-30,3,2017,
"ПАТ ""ПУМБ""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,2600915358д,129,Опозиційний блок,Херсонська обласна організація,37542218,Херсонська область,2017-09-30,3,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26008052302553,1053,Опозиційний блок,Хмельницька обласна організація,39698166,Хмельницька область,2017-09-30,3,2017,
"ПАТ КБ ""Приватбанк"" ",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26008052302553д,"80756,95",Опозиційний блок,Хмельницька обласна організація,39698166,Хмельницька область,2017-09-30,3,2017,
"АТ ""Ощадбанк""",поточний рахунок,26002301144523,"6330,95",Опозиційний блок,Черкаська обласна організація,39880926,Черкаська область,2017-09-30,3,2017,
"АТ ""Ощадбанк""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26002301144523д,"43,94",Опозиційний блок,Черкаська обласна організація,39880926,Черкаська область,2017-09-30,3,2017,
"ПАТ ""ПУМБ""",поточний рахунок,2600815298,119,Опозиційний блок,Чернівецька обласна організація,39952906,Чернівецька область,2017-09-30,3,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26003051415812,"9663,49",Опозиційний блок,Чернігівська обласна організація,37418136,Чернігівська область,2017-09-30,3,2017,
"ПАТ КБ ""Приватбанк"" ",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26003051415812д,"232,44",Опозиційний блок,Чернігівська обласна організація,37418136,Чернігівська область,2017-09-30,3,2017,
"АТ ""Ощадбанк""",поточний рахунок,26001300992077,0,Опозиційний блок,Бахмутська міська організація,39904680,Донецька область,2017-09-30,3,2017,
"АТ ""Ощадбанк""",поточний рахунок,26008300990180,"3507,17",Опозиційний блок,Бахмутська районна організація,39907559,Донецька область,2017-09-30,3,2017,
"АТ ""Ощадбанк""",поточний рахунок,26009300831787,"1391,74",Опозиційний блок,Великоновосілківська районна організація,39947435,Донецька область,2017-09-30,3,2017,
"АТ ""Ощадбанк""",поточний рахунок,26000300833751,"7576,48",Опозиційний блок,Волноваська районна організація,39945202,Донецька область,2017-09-30,3,2017,
"ПАТ ""ПУМБ""",поточний рахунок,2600614183,0,Опозиційний блок,Володарська районна організація,39913123,Донецька область,2017-09-30,3,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26004051823384,0,Опозиційний блок,Вугледарська міська організація,39959058,Донецька область,2017-09-30,3,2017,
"АТ ""Ощадбанк""",поточний рахунок,26001300840022,"3772,24",Опозиційний блок,Добропільська міська організація,39906749,Донецька область,2017-09-30,3,2017,
"АТ ""Ощадбанк""",поточний рахунок,26009300842743,"685,83",Опозиційний блок,Добропільська районна організація,39921658,Донецька область,2017-09-30,3,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26006053607917,"100,17",Опозиційний блок,Дружківська міська організація,39901343,Донецька область,2017-09-30,3,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26001053607086,"245,42",Опозиційний блок,Костянтинівська районна організація,39897510,Донецька область,2017-09-30,3,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26009053604382,"338,6",Опозиційний блок,Краматорська міська організація,39898949,Донецька область,2017-09-30,3,2017,
"АТ ""Ощадбанк""",поточний рахунок,26007300828305,"18,98",Опозиційний блок,Краснолиманська міська організація,39912690,Донецька область,2017-09-30,3,2017,
"АТ ""Ощадбанк""",поточний рахунок,26001300831495,"3292,05",Опозиційний блок,Мар’їнська районна організація,39904009,Донецька область,2017-09-30,3,2017,
"ПАТ ""ПУМБ""",поточний рахунок,2600214189,"574,32",Опозиційний блок,Маріупольська міська організація,39905107,Донецька область,2017-09-30,3,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26006051828075,"4355,45",Опозиційний блок,Мирноградська міська організація,39951441,Донецька область,2017-09-30,3,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26009051827534,0,Опозиційний блок,Новогродівська міська організація,39904281,Донецька область,2017-09-30,3,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26006053607531,"28,41",Опозиційний блок,Олександрівська районна організація,39908600,Донецька область,2017-09-30,3,2017,
"ПАТ ""ПУМБ""",поточний рахунок,2600115288,"102,2",Опозиційний блок,Першотравнева районна організація,39929882,Донецька область,2017-09-30,3,2017,
"АТ ""Ощадбанк""",поточний рахунок,26005300845391,"747,91",Опозиційний блок,Покровська міська організація,39949060,Донецька область,2017-09-30,3,2017,
"АТ ""Ощадбанк""",поточний рахунок,26000300844988,"1675,08",Опозиційний блок,Покровська районна організація,39926169,Донецька область,2017-09-30,3,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26000051830810,"0,25",Опозиційний блок,Селидовська міська організація,39910295,Донецька область,2017-09-30,3,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26002053609629,0,Опозиційний блок,Слов’янська міська організація,39902834,Донецька область,2017-09-30,3,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26007053606382,0,Опозиційний блок,Слов’янська районна організація,39923236,Донецька область,2017-09-30,3,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26000053226136,1394,Опозиційний блок,Первомайська міська організація,39874273,Миколаївська область,2017-09-30,3,2017,
"АТ ""Ощадбанк""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26003300956959,"3222,89",Опозиційний блок,Кременчуцька міська організація,39966510,Полтавська область,2017-09-30,3,2017,
"АТ ""Місто банк""",поточний рахунок,26007002030506,"24794,55",Опозиційний блок,Центральний офіс,37120464,Україна,2017-12-31,4,2017,
ПАТ “ПУМБ”,поточний рахунок,260058463,"7627,59",Опозиційний блок,Центральний офіс,37120464,Україна,2017-12-31,4,2017,
"ПАТ ""Укрсоцбанк""",поточний рахунок,26007011076294,6132,Опозиційний блок,Центральний офіс,37120464,Україна,2017-12-31,4,2017,
"АТ ""Місто банк""",поточний рахунок,26042001030506,0,Опозиційний блок,Центральний офіс,37120464,Україна,2017-12-31,4,2017,
"АТ ""Місто банк""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26007002030506,0,Опозиційний блок,Центральний офіс,37120464,Україна,2017-12-31,4,2017,
"АТ ""Ощадбанк""",поточний рахунок,26001300992077,0,Опозиційний блок,Бахмутська міська організація,39904680,Донецька область,2017-12-31,4,2017,
"АТ ""Ощадбанк""",поточний рахунок,26008300990180,"3507,16",Опозиційний блок,Бахмутська районна організація,39907559,Донецька область,2017-12-31,4,2017,
"АТ ""Ощадбанк""",поточний рахунок,26009300831787,"1391,74",Опозиційний блок,Великоновосілківська районна організація,39947435,Донецька область,2017-12-31,4,2017,
"АТ ""Ощадбанк""",поточний рахунок,26000300833751,"7576,48",Опозиційний блок,Волноваська районна організація,39945202,Донецька область,2017-12-31,4,2017,
ПАТ “ПУМБ”,поточний рахунок,2600614183,0,Опозиційний блок,Володарська районна організація,39913123,Донецька область,2017-12-31,4,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26004051823384,0,Опозиційний блок,Вугледарська міська організація,39959058,Донецька область,2017-12-31,4,2017,
"АТ ""Ощадбанк""",поточний рахунок,26001300840022,"3772,24",Опозиційний блок,Добропільська міська організація,39906749,Донецька область,2017-12-31,4,2017,
"АТ ""Ощадбанк""",поточний рахунок,26009300842743,"685,83",Опозиційний блок,Добропільська районна організація,39921658,Донецька область,2017-12-31,4,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26006053607917,"100,17",Опозиційний блок,Дружківська міська організація,39901343,Донецька область,2017-12-31,4,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26001053607086,"245,42",Опозиційний блок,Костянтинівська районна організація,39897510,Донецька область,2017-12-31,4,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26009053604382,"338,6",Опозиційний блок,Краматорська міська організація,39898949,Донецька область,2017-12-31,4,2017,
"АТ ""Ощадбанк""",поточний рахунок,26007300828305,"18,98",Опозиційний блок,Краснолиманська міська організація,39912690,Донецька область,2017-12-31,4,2017,
"АТ ""Ощадбанк""",поточний рахунок,26001300831495,"3292,05",Опозиційний блок,Мар’їнська районна організація,39904009,Донецька область,2017-12-31,4,2017,
ПАТ “ПУМБ”,поточний рахунок,2600214189,"18,52",Опозиційний блок,Маріупольська міська організація,39905107,Донецька область,2017-12-31,4,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26006051828075,"4355,45",Опозиційний блок,Мирноградська міська організація,39951441,Донецька область,2017-12-31,4,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26009051827534,0,Опозиційний блок,Новогродівська міська організація,39904281,Донецька область,2017-12-31,4,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26055051820165,0,Опозиційний блок,Новогродівська міська організація,39904281,Донецька область,2017-12-31,4,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26006053607531,"28,41",Опозиційний блок,Олександрівська районна організація,39908600,Донецька область,2017-12-31,4,2017,
ПАТ “ПУМБ”,поточний рахунок,2600115288,0,Опозиційний блок,Першотравнева районна організація,39929882,Донецька область,2017-12-31,4,2017,
"АТ ""Ощадбанк""",поточний рахунок,26005300845391,"747,91",Опозиційний блок,Покровська міська організація,39949060,Донецька область,2017-12-31,4,2017,
"АТ ""Ощадбанк""",поточний рахунок,26000300844988,"1675,08",Опозиційний блок,Покровська районна організація,39926169,Донецька область,2017-12-31,4,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26000051830810,"0,25",Опозиційний блок,Селидовська міська організація,39910295,Донецька область,2017-12-31,4,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26002053609629,0,Опозиційний блок,Слов’янська міська організація,39902834,Донецька область,2017-12-31,4,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26007053606382,0,Опозиційний блок,Слов’янська районна організація,39923236,Донецька область,2017-12-31,4,2017,
