Вид нематеріального активу,Назва нематеріального активу,Місцезнаходження об’єкта,Дата придбання,Вартість придбання,Наявність/відсутність обтяжень,Дата відчудження,Вартість відчуження майна,Сума доходу за звітний період (оренда тощо),Балансова вартість на кінець звітного кварталу,Партія,Місцева організація,Область,Дата
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Газета ""Партійна газета ""Солідарність. Кіровоградщина""","Україна, м.Кіровоград",25.08.2015,408,обтяження відсутнє,,,0,408,Блок Петра Порошенка,Кіровоградська обласна організація,Кіровоградська область,31.12.2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Партійна газета ""Солідарність. Луганщина""","93400, Україна, Луганська область, м. Сєвєродонецьк, вул. Курчатова, буд. 23",27.08.2015,408,обтяження відсутнє,,,0,408,Блок Петра Порошенка,Луганська обласна організація,Луганська область,31.12.2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",друкований засіб масової інформації,"м.Львів, вул.Лазаренка, буд. 1А, кв. 72",26.08.2015,408,обтяження відсутнє,,,0,408,Блок Петра Порошенка,Львівська обласна організація,Львівська область,31.12.2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друкований засіб масової інформації ""Партіїна газета “Солідарність.Миколаївщина""","Україна, Миколаїв",10.09.2015,408,обтяження відсутнє,,,0,408,Блок Петра Порошенка,Миколаївська обласна організація,Миколаївська область,31.12.2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друкований засіб масової інформації Партійна газета ""Солідарність. Одещина""","Україна, Одеська область, м. Одеса, вул. Канатна, 10",04.02.2016,0,обтяження відсутнє,,,0,0,Блок Петра Порошенка,Одеська обласна організація,Одеська область,31.12.2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Свідоцтво про державну реєстрацію друкованого засобу масової інформації Партійної газети ""Солідарність. Полтавщина""","36014, м.Полтава, вул.Котляревського ,22б",31.08.2015,480,обтяження відсутнє,,,0,480,Блок Петра Порошенка,Полтавська обласна організація,Полтавська область,31.12.2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Друкований засіб масової інформації,"Україна,33000, м.Рвне, вул.Данила Галицького буд.19, офіс 106",26.08.2015,204,обтяження відсутнє,,,0,204,Блок Петра Порошенка,Рівненська обласна організація,Рівненська область,31.12.2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друкований засіб масової інформації ""Партійна газета ""Солідарність. Тернопілля""","46001, Тернопільчс ька обл., м. Тернопіль, вул. Сагайдачног о, 6-А",25.08.2015,408,обтяження відсутнє,,,0,408,Блок Петра Порошенка,Тернопільська обласна організація,Тернопільська область,31.12.2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Партійна газета ""Солідарність Харківщина""","61022, м.Харків, вул.Сумська, б.39, каб.220",19.08.2016,408,обтяження відсутнє,,,0,408,Блок Петра Порошенка,Харківська обласна організація,Харківська область,31.12.2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Партійна газета ""Солідарність Херсонщині""",Хероснська обл. м. Херсон вул. 14. Східна буд.3,07.09.2015,408,обтяження відсутнє,,,0,408,Блок Петра Порошенка,Херсонська обласна організація,Херсонська область,31.12.2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Партійна газета ""Солідарність. Хмельниччина""",Україна м.Хмельницький,09.10.2015,408,обтяження відсутнє,,,0,408,Блок Петра Порошенка,Хмельницька обласна організація,Хмельницька область,31.12.2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Друкований засіб масової інформації «Партійна газета «Солідарність» (Свідоцтво серії КВ № 21367-11167Р),"04176, м.Київ, ВУЛИЦЯ ЕЛЕКТРИКІВ, будинок 29А",25.06.2015,850,обтяження відсутнє,,,0,850,Блок Петра Порошенка,Центральний офіс,Україна,31.12.2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмне забезпечення 1С: Підприємство 8. Бухгалтерія 8 для України,"04176, м.Київ, ВУЛИЦЯ ЕЛЕКТРИКІВ, будинок 29А",16.12.2016,4680,обтяження відсутнє,,,0,4680,Блок Петра Порошенка,Центральний офіс,Україна,31.12.2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмне забезпечення Microsoft Windows 10 Professional (300 штук),Україна (Секретаріат та місцеві організації),21.12.2016,1167000,обтяження відсутнє,,,0,1167000,Блок Петра Порошенка,Центральний офіс,Україна,31.12.2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмне забезпечення Microsoft Office Home (300 штук),Україна (Секретаріат та місцеві організації),21.12.2016,1708500,обтяження відсутнє,,,0,1708500,Блок Петра Порошенка,Центральний офіс,Україна,31.12.2016
"Комерційні позначення (товарні знаки, торгові марки)",Знак для товарів і послуг № 201095,"04176, м.Київ, ВУЛИЦЯ ЕЛЕКТРИКІВ, будинок 29А",25.06.2015,5835,обтяження відсутнє,,,0,5835,Блок Петра Порошенка,Центральний офіс,Україна,31.12.2016
"Комерційні позначення (товарні знаки, торгові марки)",Знак для товарів і послуг № 201096,"04176, м.Київ, ВУЛИЦЯ ЕЛЕКТРИКІВ, будинок 29А",25.06.2015,40335,обтяження відсутнє,,,0,40335,Блок Петра Порошенка,Центральний офіс,Україна,31.12.2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","""Партійна газета ""Солідарність. Черкащина""","Україна, м. Черкаси, вул. Сумгаїтська 8/2",10.09.2015,408,обтяження відсутнє,,,0,408,Блок Петра Порошенка,Черкаська обласна організація,Черкаська область,31.12.2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друкований засіб масової інформації ""Солідарність. Буковина""","Україна, м.Чернівці вул.Комарова 13-А",31.08.2015,408,обтяження відсутнє,,,0,408,Блок Петра Порошенка,Чернівецька обласна організація,Чернівецька область,31.12.2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","""Партійна газета ""Солідарність. Чернігівщина","м. Чернігів, вул. Магістратська 4 кв. 20",20.08.2015,408,обтяження відсутнє,,,0,408,Блок Петра Порошенка,Чернігівська обласна організація,Чернігівська область,31.12.2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друковані засоби массової інформаціїгазета""Павло градські обрії""","м.Дніпропетровськ , вул. Карла Лібкнехта , буд.8",10.06.2008,0,обтяження відсутнє,,,0,,"Всеукраїнське об'єднання ""Батьківщина""",Дніпропетровська обласна організація,Дніпропетровська область,31.12.2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друковані засоби массової інформації газета""Хочу в прорыв""","м.Дніпропетровськ , вул. Карла Лібкнехта , буд.8",23.06.2008,0,обтяження відсутнє,,,0,,"Всеукраїнське об'єднання ""Батьківщина""",Дніпропетровська обласна організація,Дніпропетровська область,31.12.2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друковані засоби массової інформації газета ""14 днів""","м. Дніпропетровськ, вул. М.Грушевського",23.01.2009,0,обтяження відсутнє,,,0,,"Всеукраїнське об'єднання ""Батьківщина""",Дніпропетровська обласна організація,Дніпропетровська область,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",1-С Підприємство 8 (додаткове побоие місце),"04080, м.Київ,вул.Турі вська ,13",11.10.2013,1440,обтяження відсутнє,,,0,600,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",1-С Підприємство 8,"04080, м.Київ,вул.Турі вська ,15",01.02.2013,5760,обтяження відсутнє,,,0,1632,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,Україна,31.12.2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Газета ""Батьківщина"" Свідоцтво серія ДП № 925",м.Дніпропетровськ,05.03.2002,0,обтяження відсутнє,,,0,0,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Антивірусна прогарама ESET Endpoint Antivirus,Україна,21.12.2016,345,обтяження відсутнє,,,0,345,Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Антивірусна прогарама ESET Endpoint Antivirus,Україна,21.12.2016,345,обтяження відсутнє,,,0,345,Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Антивірусна прогарама ESET Endpoint Antivirus,Україна,21.12.2016,345,обтяження відсутнє,,,0,345,Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Антивірусна прогарама ESET Endpoint Antivirus,Україна,21.12.2016,345,обтяження відсутнє,,,0,345,Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Антивірусна прогарама ESET Endpoint Antivirus,Україна,21.12.2016,345,обтяження відсутнє,,,0,345,Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Антивірусна прогарама ESET Endpoint Antivirus,Україна,21.12.2016,345,обтяження відсутнє,,,0,345,Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Антивірусна прогарама ESET Endpoint Antivirus,Україна,21.12.2016,345,обтяження відсутнє,,,0,345,Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Антивірусна прогарама ESET Endpoint Antivirus,Україна,21.12.2016,345,обтяження відсутнє,,,0,345,Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Антивірусна прогарама ESET Endpoint Antivirus,Україна,21.12.2016,345,обтяження відсутнє,,,0,345,Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Антивірусна прогарама ESET Endpoint Antivirus,Україна,21.12.2016,345,обтяження відсутнє,,,0,345,Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Антивірусна прогарама ESET Endpoint Antivirus,Україна,21.12.2016,345,обтяження відсутнє,,,0,345,Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Антивірусна прогарама ESET Endpoint Antivirus,Україна,21.12.2016,345,обтяження відсутнє,,,0,345,Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Антивірусна прогарама ESET Endpoint Antivirus,Україна,21.12.2016,345,обтяження відсутнє,,,0,345,Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Антивірусна прогарама ESET Endpoint Antivirus,Україна,21.12.2016,345,обтяження відсутнє,,,0,345,Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Антивірусна прогарама ESET Endpoint Antivirus,Україна,21.12.2016,345,обтяження відсутнє,,,0,345,Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Антивірусна прогарама ESET Endpoint Antivirus,Україна,21.12.2016,345,обтяження відсутнє,,,0,345,Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Антивірусна прогарама ESET Endpoint Antivirus,Україна,21.12.2016,345,обтяження відсутнє,,,0,345,Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Антивірусна прогарама ESET Endpoint Antivirus,Україна,21.12.2016,345,обтяження відсутнє,,,0,345,Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Антивірусна прогарама ESET Endpoint Antivirus,Україна,21.12.2016,345,обтяження відсутнє,,,0,345,Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Антивірусна прогарама ESET Endpoint Antivirus,Україна,21.12.2016,345,обтяження відсутнє,,,0,345,Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Антивірусна прогарама ESET Endpoint Antivirus,Україна,21.12.2016,345,обтяження відсутнє,,,0,345,Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Антивірусна прогарама ESET Endpoint Antivirus,Україна,21.12.2016,345,обтяження відсутнє,,,0,345,Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Антивірусна прогарама ESET Endpoint Antivirus,Україна,21.12.2016,345,обтяження відсутнє,,,0,345,Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Антивірусна прогарама ESET Endpoint Antivirus,Україна,21.12.2016,345,обтяження відсутнє,,,0,345,Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Антивірусна прогарама ESET Endpoint Antivirus,Україна,21.12.2016,345,обтяження відсутнє,,,0,345,Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Антивірусна прогарама ESET Endpoint Antivirus,Україна,21.12.2016,345,обтяження відсутнє,,,0,345,Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Антивірусна прогарама ESET Endpoint Antivirus,Україна,21.12.2016,345,обтяження відсутнє,,,0,345,Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Антивірусна прогарама ESET Endpoint Antivirus,Україна,21.12.2016,345,обтяження відсутнє,,,0,345,Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Антивірусна прогарама ESET Endpoint Antivirus,Україна,21.12.2016,345,обтяження відсутнє,,,0,345,Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Антивірусна прогарама ESET Endpoint Antivirus,Україна,21.12.2016,345,обтяження відсутнє,,,0,345,Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Антивірусна прогарама ESET Endpoint Antivirus,Україна,21.12.2016,345,обтяження відсутнє,,,0,345,Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Антивірусна прогарама ESET Endpoint Antivirus,Україна,21.12.2016,345,обтяження відсутнє,,,0,345,Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Антивірусна прогарама ESET Endpoint Antivirus,Україна,21.12.2016,345,обтяження відсутнє,,,0,345,Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Антивірусна прогарама ESET Endpoint Antivirus,Україна,21.12.2016,345,обтяження відсутнє,,,0,345,Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Антивірусна прогарама ESET Endpoint Antivirus,Україна,21.12.2016,345,обтяження відсутнє,,,0,345,Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Антивірусна прогарама ESET Endpoint Antivirus,Україна,21.12.2016,345,обтяження відсутнє,,,0,345,Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Антивірусна прогарама ESET Endpoint Antivirus,Україна,21.12.2016,345,обтяження відсутнє,,,0,345,Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Антивірусна прогарама ESET Endpoint Antivirus,Україна,21.12.2016,345,обтяження відсутнє,,,0,345,Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Антивірусна прогарама ESET Endpoint Antivirus,Україна,21.12.2016,345,обтяження відсутнє,,,0,345,Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Антивірусна прогарама ESET Endpoint Antivirus,Україна,21.12.2016,345,обтяження відсутнє,,,0,345,Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Права на видавництво газети «НАРОДНИЙ ФРОНТ»,Україна,15.09.2014,,обтяження відсутнє,,,0,"3874,36",Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Емблема Політичної партії «Народний Фронт»,Україна,17.11.2014,,обтяження відсутнє,,,0,"3958,29",Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Прапор Політичної партії «Народний Фронт»,Україна,17.11.2014,,обтяження відсутнє,,,0,"3958,29",Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Девіз Політичної партії «Народний Фронт»,Україна,17.11.2014,,обтяження відсутнє,,,0,"3958,29",Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Комп'ютерна програма ""1С:Підприємство 8.3""",Україна,26.12.2016,8892,обтяження відсутнє,,,0,8892,Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Аудіоролик ""НАРОДНИЙ ФРОНТ""",Україна,23.12.2016,10000,обтяження відсутнє,,,0,10000,Народний фронт,Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Аудіовізуальний твір-відеоролик ""НАРОДНИЙ ФРОНТ""",Україна,23.12.2016,90000,обтяження відсутнє,,,0,90000,Народний фронт,Центральний офіс,Україна,31.12.2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Розпізнавальний знак Партії; Девіз Партії,"Україна, м. Львів, вул. Сахарова, 42",16.03.2015,0,обтяження відсутнє,,,0,100000,"Об’єднання ""Самопоміч""",Центральний офіс,Україна,31.12.2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",1С Бухгалтерія,"м. Київ, Кловськи узвіз, 7А",08.12.2016,9360,обтяження відсутнє,,,0,9360,Радикальна партія Олега Ляшка,Центральний офіс,Україна,31.12.2016
