id,Партія,Область,Місцева організація,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
,Блок Петра Порошенка,Україна,Центральний офіс,21715714,"04176, м.Київ, ВУЛИЦЯ ЕЛЕКТРИКІВ, будинок 29А","01015, м.Київ, вул. Лаврська, 16","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""МІЖНАРОДНИЙ ІНВЕСТИЦІЙНИЙ БАНК"", місцезнаходження: 01015, м. Київ, вул.Лаврська, буд. 16, ідентифікаційний код 35810511, МФО 380582, Поточний рахунок № 26006020316815, Депозитний рахунок 26102010316815, Рахунок № 26007030316815"
,Блок Петра Порошенка,Черкаська область,Черкаська обласна організація,39602603,"18000, Черкаська обл., місто Черкаси, ВУЛИЦЯ СУМГАЇТСЬКА, будинок 8/2","18000, м. Черкаси, бульв. Шевченка, 205 оф. 605","Філія - Черкаське обласне управління публічного акціонерного товариства ""Державний ощадний банк України"", місцезнаходження: 18005, м. Черкаси, б-р. Шевченка, буд. 320, ідентифікаційний код 02767059, МФО 354507 Рахунок № 26002001135423"
,Блок Петра Порошенка,Чернівецька область,Чернівецька обласна організація,39692702,"58000, Чернівецька обл., місто Чернівці, ВУЛИЦЯ КОМАРОВА ВОЛОДИМИРА, будинок 13, корпус А","58000, Чернівецька обл., місто Чернівці, ВУЛИЦЯ КОМАРОВА ВОЛОДИМИРА, будинок 13, корпус А","Відділення №46/25 Чернівецької обласної дирекції публічного акціонерного товариства акціонерний банк ""УКРГАЗБАНК"" , місцезнаходження: 58000, м.Чернівці, вул. Героїв Майдану, буд. 77, ідентифікаційний код 23697280, МФО 320478 Рахунок № 26001266565"
,Блок Петра Порошенка,Чернігівська область,Чернігівська обласна організація,39742680,"14000, Чернігівська обл., місто Чернігів, ВУЛИЦЯ МАГІСТРАТСЬКА, будинок 4, квартира 20","14000, Чернігівська обл., місто Чернігів, ВУЛИЦЯ МАГІСТРАТСЬКА, будинок 4, квартира 20","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""УКРСОЦБАНК"", місцезнаходження: 03150, м. Київ, вул. Ковпака, буд. 29, ідентифікаційний код 00039019, МФО 300023 Рахунок № 26006011627020"
,"Всеукраїнське об'єднання ""Батьківщина""",Україна,Центральний офіс,20069956,"04080, м.Київ, ВУЛИЦЯ ТУРІВСЬКА, будинок 15",,
,"Всеукраїнське об'єднання ""Батьківщина""",Полтавська область,Автозаводська районна організація,25913150,"39602, Полтавська обл., місто Кременчук, ВУЛИЦЯ 60 РОКІВ ЖОВТНЯ, будинок 58/2","39602, Полтавська обл., місто Кременчук, ВУЛИЦЯ 60 РОКІВ ЖОВТНЯ, будинок 58/2",—
,"Всеукраїнське об'єднання ""Батьківщина""",Дніпропетровська область,Амур-Нижньодніпровська районна організація,25841373,"49087, Дніпропетровська обл., місто Дніпро, ВУЛИЦЯ КАЛИНОВА, будинок 87, кімната 303","49087, Дніпропетровська обл., місто Дніпро, ВУЛИЦЯ КАЛИНОВА, будинок 87, кімната 303","ПАТ КБ ""ПриватБанк"", МФО 305299, р/р 26003050016077"
,"Всеукраїнське об'єднання ""Батьківщина""",Одеська область,Ананьївська районна організація,26133738,"66400, Одеська обл., Ананьївський район, місто Ананьїв, ВУЛИЦЯ НЕЗАЛЕЖНОСТІ, будинок 55","66400, Одеська обл., Ананьївський район, місто Ананьїв, ВУЛИЦЯ НЕЗАЛЕЖНОСТІ, будинок 55",—
,"Всеукраїнське об'єднання ""Батьківщина""",Житомирська область,Андрушівська районна організація,33513576,"13400, Житомирська обл., Андрушівський район, місто Андрушівка, ВУЛИЦЯ ЛЕНІНА, будинок 17","13400, Житомирська обл., Андрушівський район, місто Андрушівка, ВУЛИЦЯ ЛЕНІНА, будинок 17",—
,"Всеукраїнське об'єднання ""Батьківщина""",Дніпропетровська область,Апостолівська районна організація,25839264,"53800, Дніпропетровська обл., Апостолівський район, місто Апостолове, ВУЛИЦЯ ЛІСНА, будинок 1","53800, Дніпропетровська обл., Апостолівський район, місто Апостолове, ВУЛИЦЯ ЛІСНА, будинок 1",—
,"Всеукраїнське об'єднання ""Батьківщина""",Миколаївська область,Арбузинська районна організація,23624698,"55300, Миколаївська обл., Арбузинський район, селище міського типу Арбузинка, ВУЛИЦЯ ШЕВЧЕНКА, будинок 187/2","55300, Миколаївська обл., Арбузинський район, селище міського типу Арбузинка, ВУЛИЦЯ ШЕВЧЕНКА, будинок 187/2",—
,"Всеукраїнське об'єднання ""Батьківщина""",Донецька область,Артемівська міська організація,25894197,"84500, Донецька обл., місто Артемівськ, вул. Червоноармійська, 28","84500, Донецька обл., місто Артемівськ, вул. Червоноармійська, 28",—
,"Всеукраїнське об'єднання ""Батьківщина""",Одеська область,Арцизька районна організація,26133827,"68400, Одеська обл., Арцизький р-н, м. Арциз, вул. Орджонікідзе, буд. 2-К","68400, Одеська обл., Арцизький р-н, м. Арциз, вул. Орджонікідзе, буд. 2-К",—
,"Всеукраїнське об'єднання ""Батьківщина""",Харківська область,Балаклійська районна організація,25864925,"64200, Харківська обл., Балаклійський район, місто Балаклія, ВУЛИЦЯ 8 - БЕРЕЗНЯ, будинок 3/66, кімната 1-5","64200, Харківська обл., Балаклійський район, місто Балаклія, ВУЛИЦЯ 8 - БЕРЕЗНЯ, будинок 3/66, кімната 1-5",—
,"Всеукраїнське об'єднання ""Батьківщина""",Одеська область,Балтська міська організація,40422467,"66101, Одеська обл., місто Балта, ВУЛИЦЯ ВИШНЕВА, будинок 16","66101, Одеська обл., місто Балта, ВУЛИЦЯ ВИШНЕВА, будинок 16",—
,"Всеукраїнське об'єднання ""Батьківщина""",Одеська область,Балтська районна організація,26133804,"66101, Одеська обл., місто Балта, ВУЛИЦЯ ОСТРОВІДОВА, будинок 5","66101, Одеська обл., місто Балта, ВУЛИЦЯ ОСТРОВІДОВА, будинок 5",—
,"Всеукраїнське об'єднання ""Батьківщина""",Житомирська область,Баранівська районна організація,33265812,"12700, Житомирська обл., Баранівський район, місто Баранівка, ВУЛИЦЯ КІРОВА, будинок 7","12700, Житомирська обл., Баранівський район, місто Баранівка, ВУЛИЦЯ КІРОВА, будинок 7",ПАТ КБ ПРИВАТБАНК смт. Баранівка МФО 311744 ЄДРПОУ 14360570 рах №26007055806573
,"Всеукраїнське об'єднання ""Батьківщина""",Харківська область,Барвінківська районна організація,25860593,"64703, Харківська обл., Барвінківський район, місто Барвінкове, ВУЛИЦЯ СВЕРДЛОВА, будинок 1","64701, Харківська обл., Барвінківський район, місто Барвінкове, Центральна, будинок 16, кімн.6",—
,"Всеукраїнське об'єднання ""Батьківщина""",Київська область,Баришівська районна організація,25822915,"07500, Київська обл.,Баришівський р-н, смт.Баришівка, вул.Жовтнева, 15А, оф. 2","07500, Київська обл.,Баришівський р-н, смт.Баришівка, вул.Жовтнева, 15А, оф. 2",—
,"Всеукраїнське об'єднання ""Батьківщина""",Вінницька область,Барська районна організація,25962071,"23000, Вінницька обл., Барський район, місто Бар, вул. Жовтневої революції, будинок 14","23000, Вінницька обл., Барський район, місто Бар, вул. Жовтневої революції, будинок 14",—
,"Всеукраїнське об'єднання ""Батьківщина""",Чернігівська область,Бахмацька районна організація,25851383,"16506, Чернігівська обл., Бахмацький район, м. Бахмач, вул. Шкільна, будинок 3","16506, Чернігівська обл., Бахмацький район, м. Бахмач, вул. Шкільна, будинок 3",—
,"Всеукраїнське об'єднання ""Батьківщина""",Миколаївська область,Баштанська районна організація,26029509,"56100, Миколаївська обл., Баштанський район, місто Баштанка, ВУЛИЦЯ БАШТАНСЬКОЇ РЕСПУБЛІКИ, будинок 54","56100, Миколаївська обл., Баштанський район, місто Баштанка, ВУЛИЦЯ БАШТАНСЬКОЇ РЕСПУБЛІКИ, будинок 54","Миколаївське ОУ АТ ""ОЩАДБАНК"", код банку 326461, рах.№26432500119019"
,"Всеукраїнське об'єднання ""Батьківщина""",Житомирська область,Бердичівська міська організація,25776991,"13301, Житомирська обл., місто Бердичів, ВУЛИЦЯ ЄВРОПЕЙСЬКА, будинок 30/2","13301, Житомирська обл., місто Бердичів, ВУЛИЦЯ ЄВРОПЕЙСЬКА, будинок 30/2",—
,"Всеукраїнське об'єднання ""Батьківщина""",Житомирська область,Бердичівська районна організація,25923272,"13300, Житомирська обл., місто Бердичів, ВУЛИЦЯ ЄВРОПЕЙСЬКА, будинок 30/2","13300, Житомирська обл., місто Бердичів, ВУЛИЦЯ ЄВРОПЕЙСЬКА, будинок 30/2",Бердичівське відділення ПАТ КБ ПРИВАТБАНК МФО 311744 ЄДРПОУ 14360570 рах №26008055815853
,"Всеукраїнське об'єднання ""Батьківщина""",Запорізька область,Бердянська міська організація,25820626,"71101, Запорізька обл., місто Бердянськ, МЕЛІТОПОЛЬСЬКЕ ШОСЕ, будинок 68","71101, Запорізька обл., місто Бердянськ, МЕЛІТОПОЛЬСЬКЕ ШОСЕ, будинок 68",—
,"Всеукраїнське об'єднання ""Батьківщина""",Тернопільська область,Бережанська районна організація,25782162,"47501, Тернопільська обл., м. Бережани, площа Ринок, буд. 15","47501, Тернопільська обл., м. Бережани, площа Ринок, буд. 15","Тернопільське обласне управління АТ ""Ощадний банк України"" ТВБВ №10019/032, м. Бережани, код банку 09338500, р/р 26003300631379"
,"Всеукраїнське об'єднання ""Батьківщина""",Київська область,Березанська міська організація,25822938,"07540, Київська обл., м.Березань, вул.Леніна, 116, кв. 65","07540, Київська обл., м.Березань, вул.Леніна, 116, кв. 65",—
,"Всеукраїнське об'єднання ""Батьківщина""",Миколаївська область,Березанська районна організація,26029308,"57400, Миколаївська обл., Березанський район, селище міського типу Березанка, ВУЛИЦЯ ЛЕНІНА, будинок 113","57400, Миколаївська обл., Березанський район, селище міського типу Березанка, ВУЛИЦЯ ЛЕНІНА, будинок 113",—
,"Всеукраїнське об'єднання ""Батьківщина""",Одеська область,Березівська районна організація,26133784,"67300, Одеська обл., Березівський район, місто Березівка, ВУЛИЦЯ К.ЦЕТКІН, будинок 47","67300, Одеська обл., Березівський район, місто Березівка, ВУЛИЦЯ К.ЦЕТКІН, будинок 47",—
,"Всеукраїнське об'єднання ""Батьківщина""",Миколаївська область,Березнегуватська районна організація,26029490,"56200, Миколаївська обл., Березнегуватський район, смт Березнегувате, ВУЛИЦЯ 1 ТРАВНЯ , будинок 78","56200, Миколаївська обл., Березнегуватський район, смт Березнегувате, ВУЛИЦЯ 1 ТРАВНЯ , будинок 78",—
,"Всеукраїнське об'єднання ""Батьківщина""",Рівненська область,Березнівська районна організація,25930786,"34600, Рівненська обл., Березнівський район, місто Березне, ВУЛИЦЯ АНДРІЇВСЬКА, будинок 36","34600, Рівненська обл., Березнівський район, місто Березне, ВУЛИЦЯ АНДРІЇВСЬКА, будинок 36",—
,"Всеукраїнське об'єднання ""Батьківщина""",Херсонська область,Бериславська міська організація,37138529,"74300, Херсонська обл., місто Берислав, вул. Гоголя, будинок 12, кв. 7","74300, Херсонська обл., місто Берислав, вул. Гоголя, будинок 12, кв. 7",—
,"Всеукраїнське об'єднання ""Батьківщина""",Херсонська область,Бериславська районна організація,34174868,"74300, Херсонська обл., місто Берислав, вул. Успенська (Луначарського), будинок 10","74300, Херсонська обл., місто Берислав, вул. Успенська (Луначарського), будинок 10",—
,"Всеукраїнське об'єднання ""Батьківщина""",Вінницька область,Бершадська районна організація,26012236,"24400, Вінницька обл., Бершадський район, місто Бершадь, ВУЛИЦЯ ГЕРОЇВ УКРАЇНИ, будинок 18","24400, Вінницька обл., Бершадський район, місто Бершадь, ВУЛИЦЯ ГЕРОЇВ УКРАЇНИ, будинок 18",—
,"Всеукраїнське об'єднання ""Батьківщина""",Одеська область,Білгород-Дністровська міська організація,26133916,"67700, Одеська обл., м. Білгород-Дністровський, вул. Перемоги, 22, кв 56","67700, Одеська обл., м. Білгород-Дністровський, вул. Перемоги, 22, кв 56",—
,"Всеукраїнське об'єднання ""Батьківщина""",Одеська область,Білгород-Дністровська районна організація,26111091,"67701, Одеська обл., місто Білгород-Дністровський, ВУЛИЦЯ ШЕВЧЕНКА, будинок 1","67701, Одеська обл., місто Білгород-Дністровський, ВУЛИЦЯ ШЕВЧЕНКА, будинок 1",—
,"Всеукраїнське об'єднання ""Батьківщина""",Хмельницька область,Білогірська районна організація,33977690,"30200, Хмельницька обл., Білогірський район, селище міського типу Білогір'я, ВУЛИЦЯ ШЕВЧЕНКА, будинок 72Б","30200, Хмельницька обл., Білогірський район, селище міського типу Білогір'я, ВУЛИЦЯ ШЕВЧЕНКА, будинок 72Б",—
,"Всеукраїнське об'єднання ""Батьківщина""",Херсонська область,Білозерська районна організація,34088397,"75000, Херсонська обл., Білозерський район, селище міського типу Білозерка, пров. Харченко, будинок 28/1","75000, Херсонська обл., Білозерський район, селище міського типу Білозерка, пров. Харченко, будинок 28/1",—
,"Всеукраїнське об'єднання ""Батьківщина""",Сумська область,Білопільська районна організація,37158372,"41800, Сумська обл., Білопільський район, місто Білопілля, ВУЛИЦЯ СТАРОПУТИВЛЬСЬКА, будинок 20","41800, Сумська обл., Білопільський район, місто Білопілля, ВУЛИЦЯ СТАРОПУТИВЛЬСЬКА, будинок 20","ПАТ КБ ""Приватбанк"" МФО 337546, р/р 26006055026215"
,"Всеукраїнське об'єднання ""Батьківщина""",Київська область,Білоцерківська міська організація,25822507,"09117, Київська обл., м.Біла Церква, вул.Леся Курбаса, 3","09117, Київська обл., м.Біла Церква, вул.Леся Курбаса, 3","Теріторіально відокремлене безбалансове відділення №10026/088 філії Головного управління по м. Києву та Київській обл. ПАТ ""Державний Ощадний банк України"", МФО 322669, р/р 26004300264318"
,"Всеукраїнське об'єднання ""Батьківщина""",Київська область,Білоцерківська районна організація,26002120,"09100, Київська обл., м. Біла Церква, вул Урицького, 13, офіс №301","09100, Київська обл., м. Біла Церква, вул Урицького, 13, офіс №301",—
,"Всеукраїнське об'єднання ""Батьківщина""",Одеська область,Біляївська міська організація,40915574,"67600, Одеська обл., місто Біляївка, ВУЛИЦЯ ОТАМАНА ГОЛОВАТОГО, будинок 145","67600, Одеська обл., місто Біляївка, ВУЛИЦЯ ОТАМАНА ГОЛОВАТОГО, будинок 145",
,"Всеукраїнське об'єднання ""Батьківщина""",Одеська область,Біляївська районна організація,26134525,"67600, Одеська обл., місто Біляївка, ВУЛ.ЛЕНІНА, будинок 145","67600, Одеська обл., місто Біляївка, ВУЛ.ЛЕНІНА, будинок 145",—
,"Всеукраїнське об'єднання ""Батьківщина""",Харківська область,Близнюківська районна організація,26105512,"64801, Харківська обл., Близнюківський район, селище міського типу Близнюки, ВУЛИЦЯ РАДЯНСЬКА, будинок 26","64801, Харківська обл., Близнюківський район, селище міського типу Близнюки, ВУЛИЦЯ РАДЯНСЬКА, будинок 26",—
