Евгенія,Євгенія
Евдокия,Євдокія
Егор,Єгор
Едварт,Едвард
Едувард,Едуард
Ела,Елла
Елданіз,Ельданіз
Елена,Олена
Елеоновра,Елеонора
Елзар,Ельзар
Елизавета,Єлизавета
Елін,Еліна
Елінна,Еліна
Елліна,Еліна
Елшад,Ельшад
Емануїл,Еммануїл 
Еміл,Еміль
Еммануіл,Еммануїл
Енна,Анна
Євганій,Євгеній
Євгенгія,Євгенія
Євгер,Євген
Євгєній,Євгеній
Євгєнія,Євгенія
Євреній,Євгеній
Єгора,Єгор
Єдуард,Едуард
Єдурд,Едуард
Єлеонора,Елеонора
Єлєні,Єлєна
Єлізавета,Єлизавета
Єльбрус,Ельбрус
Єльдар,Ельдар
Єміль,Еміль
Єрік,Ерік
Жаннета,Жанетта
Жання,Жанна
Жора,Георгій
Занаїда,Зінаїда
Зарина,Заріна
Зинаїда,Зінаїда
Зікфрід,Зігфрід
Зіна,Зінаїда
Зінаіда,Зінаїда
Зіновій,Зиновій
Зіновія,Зиновія
Зіноїда,Зінаїда
Злота,Злата
Зорислава,Зореслава
Зорʼяна,Зоряна
Зофія,Софія
Ивалентина,Валентина
Игор,Ігор
Іва,Іван
Іван-ілля,Іван-Ілля
Іваь,Іван
Іг,І
Ігов,Ігор
ІГОР,Ігор
Ігорь,Ігор
Ігоря,Ігор
Ілина,Ірина
Ілонна,Ілона
Ільгиз,Ільгіз
Ільдико,Ільдіко
Ілья,Ілля
Ільяз,Ільяс
Інесса,Інеса
Іннеса,Інеса
Іра,Ірина
Іраіда,Іраїда
Ірет,Ірен
Ірин,Ірина
Іріна,Ірина
Ірог,Ігор
Ісхан,Іхсан
Ія,І
ІʼАїса,Раїса
Йна,Інна
Йолег,Олег
Каерина,Катерина
Казар,Назар
Казимір,Казимир
Каміл,Каміль
Капіталіна,Капітоліна
Карина,Каріна
Кирил,Кирило
Кирилл,Кирило
Кіріна,Каріна
Клавдіи,Клавдій
Констанин,Костянтин
Константин,Костянтин
Констянтан,Костянтин
Констянтин,Костянтин
Корнеля,Корнелія
Корнилій,Корнелій
Костантин,Костянтин
Костфнтин,Костянтин
Костя,Костянтин
Костянктин,Костянтин
Костянстин,Костянтин
Костянттин,Костянтин
Кристина,Христина
Крітстіне,Крітстіна
Ксєнія,Ксенія
Курбандурді,Курбандурди
Ладіслав,Ладислав
Ларіса,Лариса
Лександр,Олександр
Леониід,Леонід
Леонтина,Леонтіна
Лєна,Олена
Лєонід,Леонід
Ліда,Лідія
Лідя,Лідія
Ліліанна,Ліліана
Ліля,Лілія
Лірія,Лілія
Лолла,Лола
Лонід,Леонід
Лонтій,Леонтій
Лудмила,Людмила
Луіза,Луїза
Люба,Любов
Любоа,Любов
Людвига,Людвіга
Людвина,Людвіна
Людила,Людмила
Людимила,Людмила
Людміла,Людмила
М.,М
Магомед-Закир,Магомед-Закір
Маія,Марія
Макисм,Максим
Максима,Максим
Марини,Марина
Мариною,Марина
Мария,Марія
Марій,Марія
Марін,Марія
Маріна,Марина
Маркоз,Маркос
Мартина,Марина
Маря,Марія
Марян,Марʼян
Маряна,Марʼяна
Марʼна,Марʼяна
МарʼЯна,Марʼяна
Матфей,Матвій
Месоп,Месроп
Мєєрон,Меєрон
Мєчислав,Мечислав
Микала,Микола
Миката,Микита
Микоал,Микола
Миколай,Микола
Миколо,Микола
Милана,Мілана
Мина,Міна
Мира,Міра
Михаїл,Михайло
Михайл,Михайло
Михайла,Михайло
Михайо,Михайло
Михало,Михайло
Мі,М
Мірослав,Мирослав
Мокола,Микола
Мубариз,Мубаріз
Музафар,Музаффар
Мустафа-МасІ,Мустафа-Масі
Мюшфік,Мушфік
Мяція,Марія
Наалія,Наталія
Наар,Назар
Надежда,Надія
Накодим,Никодим
Нариман,Наріман
Наталії,Наталія
Наталля,Наталя
Натела,Нателла
Натиа,Натіа
Натія,Надія
Нелля,Неля
Неонілла,Неоніла
Неопіла,Неоніла
Никанор,Ніканор
Никита,Микита
Никифір,Никифор
Нил,Ніл
Ніни,Ніна
Ніні,Ніна
Нона,Нонна
Нригорій,Григорій
О.,О
Одексій,Олексій
Оексій,Олексій
Оклександр,Олександр
Олга,Ольга
Олевсандр,Олександр
Олега,Олег
Олекандр,Олександр
Олекасндр,Олександр
Олекксандр,Олександр
Олекмандр,Олександр
Олексадр,Олександр
Олексадра,Олександра
Олексакдр,Олександр
Олександ,Олександр
Олександа,Олександра
Олександер,Олександр
Олександир,Олександр
Олександо,Олександра
Олександр-Миколай,Олександр-Микола
Олександру,Олександра
Олексанжр,Олександр
Олексапдр,Олександр
Олексії,Олексій
Олексїй,Олексій
Олексндр,Олександр
Олексндра,Олександра
Олексяндп,Олександр
Олексяндц,Олександр
Оленка,Олена
Оленксандр,Олександр
Оленксій,Олексій
Олено,Олена
Оленсандр,Олександр
Оленя,Олена
Олесандр,Олександр
Олесій,Олексій
Олескандр,Олександр
Олєксій,Олексій
Олксандр,Олександр
Олксій,Олексій
Ольаг,Ольга
Ольги,Ольга
Ольгя,Ольга
Ольеа,Ольга
Оля,Ольга
Оляга,Ольга
Онисій,Онісій
Оолена,Олена
Орист,Орест
Павєл,Павло
Павліна,Павлина
Павлло,Павло
Паша,Павло
Перо,Петро
Петр,Петро
Пндрій,Андрій
Равіл,Равіль
Радіон,Родіон
Раєса,Раїса
Раіс,Раїс
Раіса,Раїса
Райса,Раїса
Расим,Расім
Рафаел,Рафаель
Рафаіл,Рафаїл
Рев,Лев
Реґіна,Регіна
Рєгіна,Регіна
Рєфат,Рефат
Рима,Римма
Ринат,Рінат
Ріма,Римма
Рімма,Римма
Ріта,Рита
Рітта,Рита
Роксоляна,Роксолана
Ролланд,Роланд
Рома,Роман
Роман-Данил,Роман-Данило
Ромиан,Роман
Росислав,Ростислав
Ростисла,Ростислав
Ростислав-іван,Ростислав-Іван
Ростіслав,Ростислав
Рузана,Рузанна
Русан,Руслан
Руслав,Руслан
Руславн,Руслан
Руфина,Руфіна
Ряїса,Раїса
Савва,Сава
Садраддін,Садріддін
Самуіл,Самуїл
Саша,Олександр
Сб,С
Свилана,Світлана
Світалана,Світлана
Світлаан,Світлана
Світляня,Світлана
Святовслав,Святослав
Святосла,Святослав
Святтослав,Святослав
Свʼятослав,Святослав
Сегій,Сергій
Сегрій,Сергій
Седа,Сєда
Секоій,Сергій
Сергі,Сергій
Сергія,Сергій
Сергй,Сергій
Серій,Сергій
Сероій,Сергій
Серпй,Сергій
Сєіт,Сеіт
Сєргій,Сергій
Сидор,Сидір
Сихайло,Михайло
Сітлана,Світлана
Скргій,Сергій
Славʼян,Словʼян
Словян,Словʼян
Сніжанна,Сніжана
Сніжлана,Сніжана
Со,С
Сонья,Соня
Спепанія,Спефанія
Спірідон,Спиридон
Сргій,Сергій
Сс,С
Станислав,Станіслав
Станівлав,Станіслав
Станіфслав,Станіслав
Станслав,Станіслав
Стела,Стелла
Степаніда,Степанида
Степн,Степан
Стефанида,Стефаніда
Ступан,Степан
Сузанна,Сюзанна
Т етяна,Тетяна
Та,Т
Таісія,Таїсія
Таїсіся,Таїсія
Тамар,Тамара
Тамила,Таміла
Тараг,Тарас
Тарс,Тарас
Татяна,Тетяна
Тегран,Тигран
Тенгізі,Тенгіз
Тетьяна,Тетяна
ТЕТЯНА,Тетяна
Тетяни,Тетяна
Тетяня,Тетяна
Теяна,Тетяна
Тємур,Тимур
Титяна,Тетяна
Тихомір,Тихомир
Тігран,Тигран
Тімур,Тимур
Томара,Тамара
Трас,Тарас
Ульяна,Уляна
Уялна,Уляна
Фаіна,Фаїна
Фаріт,Фарід
Федор,Федір
Фелікісім,Фелікіссім
Филип,Філіп
Філіпп,Філіп
Філя,Філіп
Франс-Фелікс,Франц-Фелікс
Харис,Харіс
Хікмят,Хікмет
Хосейн,Хоссейн
Чабо,Чаба
Чрема,Ярема
Шдія,Лідія
Ь,Б
Ьогдан,Богдан
Юліанна,Юліана
Юлш,Юлія
Юля,Юлія
Юрії,Юрій
Юрік,Юрій
Юсіф,Юсиф
Яков,Яків
Якрослав,Ярослав
Янна,Яна
Яролав,Ярослав
Ярослов,Ярослав
