Вид транспортного засобу,Марка/модель,Рік випуску,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Місце проживання (для фіз. осіб)/Юридична адреса (для юр. осіб),Дата набуття речового права,Сума витрат на отримання речового права (грн),Дата припинення,Дата відчуження,Вартість відчуження,Наявність обтяжень,Сума доходу (грн),Балансова вартість на кінець звітного періоду (грн),Вид речового права,Тип власника,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік,Примітки
Автомобілі легкові,А/м Шкода Октавія Тур (Об'єм двигуна 1598 куб.см.),2006,,,,2006-08-22,93291,,,,обтяження відсутнє,2000,,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі легкові,А/м Шкода Октавія Тур (Об'єм двигуна 1598 куб.см.),2006,,,,2006-08-22,93291,,,,обтяження відсутнє,2000,,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі легкові,А/м Шкода Октавія Тур (Об'єм двигуна 1598 куб.см.),2006,,,,2006-08-22,93291,,,,обтяження відсутнє,2000,,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі легкові,А/м Фольксваген Транспортер (Об'єм двигуна 1984 куб.см.),2007,,,,2007-10-05,176750,,,,обтяження відсутнє,"39197,6",,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі легкові,"А/м Фольксваген Транспортер (Об""єм двигуна 1896 куб.см.)",2008,,,,2008-10-24,"209169,05",,,,обтяження відсутнє,"65996,05",,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі легкові,А/м Шкода Октавія Тур (Об'єм двигуна 1598 куб.см.),2008,,,,2008-12-12,"109121,6",,,,обтяження відсутнє,"20746,28",,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі легкові,А/м Шкода Октавія Тур (Об'єм двигуна 1598 куб.см.),2008,,,,2008-12-12,"109121,6",,,,обтяження відсутнє,"20746,28",,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі легкові,А/м Рено Кангу (Об'єм двигуна 1390 куб.см.),2008,,,,2009-10-15,85900,,,,обтяження відсутнє,"24373,04",,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі легкові,А/м Рено Кангу (Об'єм двигуна 1390 куб.см.),2008,,,,2009-10-15,85900,,,,обтяження відсутнє,"24373,04",,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі легкові,А/м Фольксваген Мультівен (Об'єм двигуна 3189 куб.см.),2008,,,,2011-03-04,525000,,,,обтяження відсутнє,"221666,76",,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі легкові,А/м Шкода Румстер (Об'єм двигуна 1198 куб.см.),2010,,,,2014-08-21,112434,,,,обтяження відсутнє,"41572,44",,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі легкові,А/м Шкода Румстер (Об'єм двигуна 1198 куб.см.),2010,,,,2010-09-29,112434,,,,обтяження відсутнє,"41572,44",,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі легкові,А/м Шкода Октавія А5 ( Об'єм двигуна 1598 куб.см.),2010,,,,2010-06-30,159817,,,,обтяження відсутнє,"54605,8",,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі легкові,А/м Шкода Октавія А7 ( Об'єм двигуна 1395 куб.см.),2017,,,,2017-01-26,530055,,,,обтяження відсутнє,"438174,62",,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі легкові,А/м Шкода Октавія А7 ( Об'єм двигуна 1598 куб.см.),2017,,,,2017-01-26,489131,,,,обтяження відсутнє,"408710,58",,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі вантажні (спеціальні),"А/м ГАЗ ""Газель"" (Об'єм двигуна 2464 куб.см.)",2008,,,,2009-11-13,92720,,,,обтяження відсутнє,"51612,5",,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі вантажні (спеціальні),"А/м ГАЗ ""Газель"" (Об'єм двигуна 2464 куб.см.)",2007,,,,2008-02-21,74870,,,,обтяження відсутнє,"33880,76",,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі легкові,Mercedes-Benz S600 (5 513 куб.см),2012,"ТОВ ""Інтернаціональні Індивидуальні Проекти""",37768452,"02098, м. Київ, вул. Ю.Шумського,1 оф.114",2016-04-01,5728670,2018-04-01,,,обтяження відсутнє,"268081,04",,право користування,юридична особа,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі легкові,ЗАЗ 110557 1197,2005,,,,2007-03-22,10000,,,,обтяження відсутнє,10000,,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Івано-Франківська обласна організація,25789520,Івано-Франківська область,2017-31-03,1,2017,
Автомобілі легкові,"ЗАЗ 110557, 1197 куб. см",2005,,,,2007-03-06,,,,,обтяження відсутнє,12000,,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Кіровоградська обласна організація,24146984,Кіровоградська область,2017-31-03,1,2017,
Автомобілі легкові,"БАЕ\У00-Р80 ТР696, 1598 куб.см",2007,,,,2007-11-27,64551,,,,обтяження відсутнє,64551,,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Кіровоградська обласна організація,24146984,Кіровоградська область,2017-31-03,1,2017,
Автомобілі легкові,А/м Газ/3110 (об'єм двигуна 2500 куб. см.),2003,,,,2007-08-11,,,,,обтяження відсутнє,27307,,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Львівська обласна організація,25249083,Львівська область,2017-31-03,1,2017,
Автомобілі вантажні (спеціальні),А/мЗАЗ/ 110557 (об'єм двигуна 1197,2005,,,,2007-10-16,22040,,,,обтяження відсутнє,22040,,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Львівська обласна організація,25249083,Львівська область,2017-31-03,1,2017,
Автомобілі легкові,"ЗАЗ 110557, 1197 куб. см",2006,,,,2007-10-24,29300,,,,обтяження відсутнє,9800,,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Сумська обласна організація,24011118,Сумська область,2017-31-03,1,2017,
Автомобілі вантажні (спеціальні),"автомобіль вантажний пікап марки ЗАЗ 110557, обєм двигуна 1197 куб.см.",2006,,,,2011-01-01,,,,,обтяження відсутнє,20000,,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Херсонська міська організація,25801563,Херсонська область,2017-31-03,1,2017,
Автомобілі легкові,"ZAZ/110557, 1197 куб.см.,",2005,,,,2007-07-07,,,,,обтяження відсутнє,20992,,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Хмельницька обласна організація,22777686,Хмельницька область,2017-31-03,1,2017,
Автомобілі легкові,"ЗАЗ 110557, 1197 куб. см",2005,,,,2007-07-31,28700,,,,обтяження наявне,9000,,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Черкаська обласна організація,25770087,Черкаська область,2017-31-03,1,2017,
Автомобілі вантажні (спеціальні),"А/м ЗАЗ 110557 ПІКАП-В,1190",2005,,,,2007-08-31,10000,,,,обтяження відсутнє,10000,,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Чернігівська обласна організація,25785516,Чернігівська область,2017-31-03,1,2017,
Автомобілі легкові,"ТОУОТА ТЕКСЕЦ білий Е^500028738 Сєдан легковий , 1300 куб.см",1996,"ВО""Батьківщина""",20069956,"04080 м.Київ, вул.Турівська ,15",,,,,,обтяження відсутнє,,,право користування,юридична особа,"Всеукраїнське об'єднання ""Батьківщина""",Дніпропетровська обласна організація,25788756,Дніпропетровська область,2017-31-03,1,2017,
Автомобілі легкові,ЗАЗ-110557,2005,"ЖИТОМИРСЬКА ОБЛАСНА ПАРТІЙНА ОРГАНІЗАЦІЯ ВСЕУКРАЇНСЬКОГО ОБ'ЄДНАННЯ ""БАТЬКІВЩИНА""",25776533,"Житомирська обл., місто Житомир, ВУЛИЦЯ ЛЕХА КАЧИНСЬКОГО, будинок 20",2010-02-26,"17763,86",2017-02-26,,,обтяження відсутнє,2550,,право користування,юридична особа,"Всеукраїнське об'єднання ""Батьківщина""",Житомирська обласна організація,25776533,Житомирська область,2017-31-03,1,2017,
Автомобілі легкові,"ЗАЗ 110557, 1197 куб. см",2006,Попільнянська районна партійна організація Всеукраїнського об’єднання «Батьківщина» Житомирської області,33864810,"Житомирська обл., Попільнянський район, селище міського типу Попільня, ВУЛИЦЯ БОГДАНА ХМЕЛЬНИЦЬКОГО, будинок 29",2009-12-02,15600,2016-12-02,,,обтяження відсутнє,15600,,право користування,юридична особа,"Всеукраїнське об'єднання ""Батьківщина""",Попільнянська районна організація,33864810,Житомирська область,2017-31-03,1,2017,"термін користування — 7 років, мав закінчитись в попередньому кварталі"
Автомобілі вантажні (спеціальні),"ЗАЗ 110557, 1197 куб. см",2006,,,,2006-01-01,6100,,,,обтяження відсутнє,6100,,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Волинська обласна організація,25787544,Волинська область,2017-31-03,1,2017,
Автомобілі легкові,ЗАЗ-110557,2005,,,,2010-02-26,"17763,86",,,,обтяження відсутнє,,2380,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Житомирська обласна організація,25776533,Житомирська область,2017-06-30,2,2017,
Автомобілі легкові,ЗАЗ 110557 1197,2005,,,,2007-03-22,10000,,,,обтяження відсутнє,,10000,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Івано-Франківська обласна організація,25789520,Івано-Франківська область,2017-06-30,2,2017,
Автомобілі легкові,"ЗАЗ 110557, 1197 куб. см",2006,,,,2005-06-28,6100,,,,обтяження відсутнє,,6100,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Волинська обласна організація,25787544,Волинська область,2017-06-30,2,2017,
Автомобілі легкові,"ЗАЗ 110557, 1197 куб. см",2005,,,,2005-03-06,,,,,обтяження відсутнє,,12000,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Кіровоградська обласна організація,24146984,Кіровоградська область,2017-06-30,2,2017,
Автомобілі легкові,"DAEWOO-FSO TF696, 1598 куб. см",2007,,,,2007-11-27,64551,,,,обтяження відсутнє,,64551,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Кіровоградська обласна організація,24146984,Кіровоградська область,2017-06-30,2,2017,
Автомобілі легкові,А/м Газ/3110 (об'єм двигуна 2500 куб. см.),2003,,,,2007-08-11,,,,,обтяження відсутнє,,27307,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Львівська обласна організація,25249083,Львівська область,2017-06-30,2,2017,
Автомобілі вантажні (спеціальні),А/м ЗАЗ/ 110557 (об'єм двигуна 1197 куб. см.),2005,,,,2007-10-16,22040,,,,обтяження відсутнє,,"21213,5",право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Львівська обласна організація,25249083,Львівська область,2017-06-30,2,2017,
Автомобілі легкові,"ЗАЗ 110557, 1197 куб. см",2006,,,,2009-12-02,15600,,,,обтяження відсутнє,,14820,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Попільнянська районна організація,33864810,Житомирська область,2017-06-30,2,2017,
Автомобілі легкові,"ЗАЗ 110557, 1197 куб. см",2006,,,,2007-10-24,29300,,,,обтяження відсутнє,,9800,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Сумська обласна організація,24011118,Сумська область,2017-06-30,2,2017,
Автомобілі легкові,"автомобіль вантажний пікап марки ЗАЗ 110557, обєм двигуна 1197 куб.см.",2006,,,,2005-07-03,,,,,обтяження відсутнє,,20000,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Херсонська міська організація,25801563,Херсонська область,2017-06-30,2,2017,
Автомобілі легкові,"ZAZ/110557, 1197 куб.см.,",2005,,,,2007-07-07,20992,,,,обтяження відсутнє,,20992,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Хмельницька обласна організація,22777686,Хмельницька область,2017-06-30,2,2017,
Автомобілі легкові,"ЗАЗ 110557, 1197 куб. см",2005,,,,2007-07-31,28700,,,,обтяження наявне,,9000,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Черкаська обласна організація,25770087,Черкаська область,2017-06-30,2,2017,
Автомобілі легкові,"А/м ЗАЗ 110557 ПІКАП-В,1190",2005,,,,2007-08-31,10000,,,,обтяження відсутнє,,"9499,99",право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Чернігівська обласна організація,25785516,Чернігівська область,2017-06-30,2,2017,
Автомобілі легкові,"TOYOTA TERCEL, EL500028738 Сєдан легковий , 1300 куб.см , ",1996,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКОГО ОБ""ЄДНАННЯ ""БАТЬКІВЩИНА""",20069956,"04080 м.Київ, вул.Турівська ,15",2016-07-29,,2017-09-29,,,обтяження відсутнє,,,право користування,юридична особа,"Всеукраїнське об'єднання ""Батьківщина""",Дніпропетровська обласна організація,25788756,Дніпропетровська область,2017-06-30,2,2017,
Автомобілі легкові,А/м Тойота Чайзер,1996,,,,2001-11-13,"34774,58",,,,обтяження відсутнє,,"2853,59",право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-09-30,3,2017,
Автомобілі легкові,"А/м Тойота Терсел (Об""єм двигуна 1800 куб.см.)",1996,,,,2002-09-05,"9372,93",,,,обтяження відсутнє,,500,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-09-30,3,2017,
Автомобілі легкові,А/м Тойота Терсел (Об'єм двигуна 1300 куб.см.),1996,,,,2006-06-06,"7057,36",,,,обтяження відсутнє,,500,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-09-30,3,2017,
Автомобілі легкові,А/м Тойота Терсел (Об'єм двигуна 1300 куб.см.),1996,,,,2002-09-05,"6973,82",,,,обтяження відсутнє,,500,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-09-30,3,2017,
Автомобілі легкові,А/м Тойота Терсел (Об'єм двигуна 1300 куб.см.),1996,,,,2001-12-01,"6899,29",,,,обтяження відсутнє,,500,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-09-30,3,2017,
Автомобілі легкові,А/м Тойота Терсел (Об'єм двигуна 1300 куб.см.),1996,,,,2003-04-24,"7140,69",,,,обтяження відсутнє,,500,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-09-30,3,2017,
Автомобілі легкові,А/м Тойота Камрі (Об'єм двигуна 2995 куб.см.),2005,,,,2005-12-05,"93040,86",,,,обтяження відсутнє,,"8669,04",право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-09-30,3,2017,
Автомобілі легкові,А/м Тойота Камрі (Об'єм двигуна 2995 куб.см.),2005,,,,2005-12-02,"124762,27",,,,обтяження відсутнє,,"9990,43",право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-09-30,3,2017,
Автомобілі легкові,А/м Тойота Ленд Крузер (Об'єм двигуна 4664 куб.см.),2005,,,,2014-10-09,"119616,2",,,,обтяження відсутнє,,"9775,1",право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-09-30,3,2017,
Автомобілі легкові,А/м Тойота Ленд Крузер (Об'єм двигуна 4664 куб.см.),2005,,,,2005-12-05,91454,,,,обтяження відсутнє,,"8601,56",право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-09-30,3,2017,
Автомобілі легкові,А/м Шкода Октавія Тур (Об'єм двигуна 1598 куб.см.),2006,,,,2006-08-22,93291,,,,обтяження відсутнє,,2000,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-09-30,3,2017,
Автомобілі легкові,А/м Шкода Октавія Тур (Об'єм двигуна 1598 куб.см.),2006,,,,2006-08-22,93291,,,,обтяження відсутнє,,2000,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-09-30,3,2017,
Автомобілі легкові,А/м Шкода Октавія Тур (Об'єм двигуна 1598 куб.см.),2006,,,,2006-08-22,93291,,,,обтяження відсутнє,,2000,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-09-30,3,2017,
Автомобілі легкові,А/м Фольксваген Транспортер (Об'єм двигуна 1984 куб.см.),2007,,,,2007-10-05,176750,,,,обтяження відсутнє,,"34371,2",право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-09-30,3,2017,
Автомобілі легкові,"А/м Фольксваген Транспортер (Об""єм двигуна 1896 куб.см.)",2008,,,,2008-10-24,"209169,05",,,,обтяження відсутнє,,"60269,13",право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-09-30,3,2017,
Автомобілі легкові,А/м Шкода Октавія Тур (Об'єм двигуна 1598 куб.см.),2008,,,,2008-12-12,"109121,6",,,,обтяження відсутнє,,"17175,56",право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-09-30,3,2017,
Автомобілі легкові,А/м Шкода Октавія Тур (Об'єм двигуна 1598 куб.см.),2008,,,,2008-12-12,"109121,6",,,,обтяження відсутнє,,"17175,56",право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-09-30,3,2017,
Автомобілі легкові,А/м Рено Кангу (Об'єм двигуна 1390 куб.см.),2008,,,,2009-10-15,85900,,,,обтяження відсутнє,,"21576,36",право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-09-30,3,2017,
Автомобілі легкові,А/м Рено Кангу (Об'єм двигуна 1390 куб.см.),2008,,,,2009-10-15,85900,,,,обтяження відсутнє,,"21576,36",право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-09-30,3,2017,
Автомобілі легкові,А/м Фольксваген Мультівен (Об'єм двигуна 3189 куб.см.),2008,,,,2011-03-04,525000,,,,обтяження відсутнє,,"207222,32",право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-09-30,3,2017,
Автомобілі легкові,А/м Шкода Румстер (Об'єм двигуна 1198 куб.см.),2010,,,,2014-08-21,112434,,,,обтяження відсутнє,,"37891,32",право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-09-30,3,2017,
Автомобілі легкові,А/м Шкода Румстер (Об'єм двигуна 1198 куб.см.),2010,,,,2010-09-29,112434,,,,обтяження відсутнє,,"37891,32",право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-09-30,3,2017,
Автомобілі легкові,"А/м Skoda Octavia A5 ( Об""єм двигуна 1598 куб.см.)",2010,,,,2010-06-30,159817,,,,обтяження відсутнє,,"49345,24",право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-09-30,3,2017,
Автомобілі легкові,"А/м Skoda Octavia A7 ( Об""єм двигуна 1395 куб.см.)",2017,,,,2017-01-26,"442580,83",,,,обтяження відсутнє,,"424284,29",право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-09-30,3,2017,
Автомобілі легкові,"А/м Skoda Octavia A7 ( Об""єм двигуна 1598 куб.см.)",2017,,,,2017-01-26,"412819,17",,,,обтяження відсутнє,,"395762,7",право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-09-30,3,2017,
Автомобілі вантажні (спеціальні),"А/м ГАЗ ""Газель"" (Об'єм двигуна 2464 куб.см.)",2008,,,,2009-11-13,92720,,,,обтяження відсутнє,,"49722,5",право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,30.09.2017,3,2017,
Автомобілі вантажні (спеціальні),"А/м ГАЗ ""Газель"" (Об'єм двигуна 2464 куб.см.)",2007,,,,2008-02-21,74870,,,,обтяження відсутнє,,"32362,64",право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,30.09.2017,3,2017,
Автомобілі легкові,Mercedes-Benz S600 (5 513 куб.см),2012,"ТОВ ""Інтернаціональні Індивидуальні Проекти""",37768452,"02098, м.Київ, вул.Ю.Шумського,1 оф.114",2016-04-01,5728670,2018-04-01,,,обтяження відсутнє,"282468,94",,право користування,юридична особа,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-09-30,3,2017,
Автомобілі вантажні (спеціальні),"ЗАЗ 110557, 1197 куб. см",2006,,,,2006-01-01,6100,,,,обтяження відсутнє,,6100,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Волинська обласна організація,25787544,Волинська область,30.09.2017,3,2017,
Автомобілі легкові,"TOYOTA TERCEL, EL500028738 Сєдан легковий , 1300 куб.см , ",1996,"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКОГО ОБ""ЄДНАННЯ ""БАТЬКІВЩИНА""",20069956,"04080 м.Київ, вул.Турівська ,15",2016-07-29,,2018-04-29,,,обтяження відсутнє,,,право користування,юридична особа,"Всеукраїнське об'єднання ""Батьківщина""",Дніпропетровська обласна організація,25788756,Дніпропетровська область,2017-09-30,3,2017,
Автомобілі легкові,ЗАЗ-110557,2005,,,,2010-02-26,"17763,86",,,,обтяження відсутнє,,"2252,5",право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Житомирська обласна організація,25776533,Житомирська область,2017-09-30,3,2017,
Автомобілі легкові,ЗАЗ 110557 1197,2006,,,,2009-12-02,15600,,,,обтяження відсутнє,,14040,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Попільнянська районна організація,33864810,Житомирська область,2017-09-30,3,2017,
Автомобілі легкові,ЗАЗ 110557 1197,2005,,,,2007-03-22,10000,,,,обтяження відсутнє,,10000,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Івано-Франківська обласна організація,25789520,Івано-Франківська область,2017-09-30,3,2017,
Автомобілі легкові,"ЗАЗ 110557, 1197 куб. см",2005,,,,2005-03-06,,,,,обтяження відсутнє,,12000,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Кіровоградська обласна організація,24146984,Кіровоградська область,2017-09-30,3,2017,
