Вид нематеріального активу,Назва нематеріального активу,Місцезнаходження обʼєкта,Дата придбання,Вартість придбання,Наявність обтяжень,Дата відчуження,Вартість відчуження майна,Сума доходу (грн),Балансова вартість на кінець звітного періоду (грн),Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Квартал,Рік
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Газета ""Батьківщина Волині""",Волинська обл. м. Луцьк,2017-06-09,,обтяження відсутнє,,,,,Всеукраїнське об’єднання “Батьківщина”,Волинська обласна організація,25787544,Волинська область,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","газета ""Батьківщина-Закарпаття"" свідоцтво Серія ЗТ №524/116Р",м. Мукачево,2010-10-06,,обтяження відсутнє,,,,,Всеукраїнське об’єднання “Батьківщина”,Закарпатська обласна організація,25446205,Закарпатська область,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Газета ""Київський майдан"" Свідоцтво серія КІ №872",м. Київ,2005-06-09,,обтяження відсутнє,,,,,Всеукраїнське об’єднання “Батьківщина”,Київська міська організація,21709458,Київ,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друковані засоби масової інформації газета ""Наша Батьківщина""",м. Миколаїв,,,обтяження відсутнє,,,,,Всеукраїнське об’єднання “Батьківщина”,Миколаївська обласна організація,23405295,Миколаївська область,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Газета ""Батьківщина Сумська"" серія СМ №772/394Р",,2013-05-07,,обтяження відсутнє,,,,,Всеукраїнське об’єднання “Батьківщина”,Сумська обласна організація,24011118,Сумська область,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Газета ""Слобожанська Батьківщина"" Свідоцтво серія ХК 1326-67ПР",м. Харків,2007-02-07,,обтяження відсутнє,,,,,Всеукраїнське об’єднання “Батьківщина”,Харківська обласна організація,25792203,Харківська область,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Газета ""Твоя Батьківщина"" серія свідоцтво № ЧС від 29.09.2005","Україна, м. Черкаси, вул. Смілянська, буд.23, оф.35",2005-09-29,,обтяження відсутнє,,,,,Всеукраїнське об’єднання “Батьківщина”,Черкаська обласна організація,25770087,Черкаська область,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друковані засоби массової інформації газета""Голос Батьківщини""","04080, м. Київ, вул. Турівська, буд. 15",,,обтяження відсутнє,,,,,Всеукраїнське об’єднання “Батьківщина”,Чернігівська обласна організація,25785516,Чернігівська область,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друкованого засобу массової інформації газета ""БАТЬКІВЩИНА""","04080, м. Київ, вул. Турівська, буд. 15",2016-09-14,,обтяження відсутнє,,,,,Всеукраїнське об’єднання “Батьківщина”,Дніпропетровська обласна організація,25788756,Дніпропетровська область,2,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",1-С :Підприємство 8,"04080, м. Київ, вул. Турівська, буд. 15",2013-02-01,5760,обтяження відсутнє,,,,768,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,20069956,Україна,3,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",1-С :Підприємство 8 (додаткове робоче місце),"04080, м. Київ, вул. Турівська, буд. 15",2013-10-11,1440,обтяження відсутнє,,,,384,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,20069956,Україна,3,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",1-С :Підприємство 8 (додаткове робоче місце),"04080, м. Київ, вул. Турівська, буд. 15",2017-03-16,7332,обтяження відсутнє,,,,"6598,8",Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,20069956,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Газета ""Батьківщина"" Свідоцтво серія ДП № 925",м. Дніпропетровськ,2002-03-05,,обтяження відсутнє,,,,,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,20069956,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Домен beauty.net.ua,,,,обтяження відсутнє,,,18,,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,20069956,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",домен byut.com.ua,,,,обтяження відсутнє,2020-04-30,,"58,5",,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,20069956,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",домен bа.org.ua,,,,обтяження відсутнє,2020-04-30,,66,,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,20069956,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друкований засіб масової інформації ""Батьківщина"" (Свідоцтво серії ВЦ № 603)","Україна 21007 м. Вінниця, вул. П. Запорожця, буд.46-А",2005-06-29,,обтяження відсутнє,,,,,Всеукраїнське об’єднання “Батьківщина”,Вінницька обласна організація,25511109,Вінницька область,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Сайт ""Батькіщина Вінницька обласна організація",http://ba.vn.ua/,2016-03-01,,обтяження відсутнє,,,,,Всеукраїнське об’єднання “Батьківщина”,Вінницька обласна організація,25511109,Вінницька область,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",домен ba.vn.ua,"Німеччина,Rosa-Luxemburg-Straße 14, 10178 Berlin",2017-01-01,"278,64",обтяження відсутнє,2017-12-31,,"92,88",,Всеукраїнське об’єднання “Батьківщина”,Вінницька обласна організація,25511109,Вінницька область,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",реєстрація (хостинг) домену ba.vn.ua,"Німеччина,Rosa-Luxemburg-Straße 14, 10178 Berlin",2017-01-01,144,обтяження відсутнє,2017-12-31,,36,,Всеукраїнське об’єднання “Батьківщина”,Вінницька обласна організація,25511109,Вінницька область,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Газета ""Батьківщина Волині""","Волинська обл. м. Луцьк вул. Набережна,2",2017-06-09,,обтяження відсутнє,,,,,Всеукраїнське об’єднання “Батьківщина”,Волинська обласна організація,25787544,Волинська область,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Сайт batkivshyna.vоlyn.ua,"Волинська обл. м. Луцьк вул. Набережна,2",,,обтяження відсутнє,,,,,Всеукраїнське об’єднання “Батьківщина”,Волинська обласна організація,25787544,Волинська область,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Домен batkivshyna.vоlyn.ua,"Волинська обл. м. Луцьк вул. Набережна,2",2017-05-11,,обтяження відсутнє,,,105,,Всеукраїнське об’єднання “Батьківщина”,Волинська обласна організація,25787544,Волинська область,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Газета ""Київський майдан"" Свідоцтво серія КІ №872",м. Київ,2005-06-09,,обтяження відсутнє,,,,,Всеукраїнське об’єднання “Батьківщина”,Київська міська організація,21709458,Київ,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друковані засоби массової інформації газета ""14 днів""","м. Дніпро, вул. Михайла Грушевського, буд.8",2009-01-23,,обтяження відсутнє,,,,,Всеукраїнське об’єднання “Батьківщина”,Дніпропетровська обласна організація,25788756,Дніпропетровська область,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друковані засоби массової інформації газета""Хочу в прорив""","м. Дніпро, вул. Михайла Грушевського, буд.8",2008-06-23,,обтяження відсутнє,,,,,Всеукраїнське об’єднання “Батьківщина”,Дніпропетровська обласна організація,25788756,Дніпропетровська область,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друковані засоби массової інформаціїгазета""Павлоградські обрії""","м. Дніпро, вул. Михайла Грушевського, буд.8",2008-06-10,,обтяження відсутнє,,,,,Всеукраїнське об’єднання “Батьківщина”,Дніпропетровська обласна організація,25788756,Дніпропетровська область,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друкованого засобу массової інформації газета ""БАТЬКІВЩИНА""",,2016-09-14,,обтяження відсутнє,,,,,Всеукраїнське об’єднання “Батьківщина”,Дніпропетровська обласна організація,25788756,Дніпропетровська область,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",batkivshyna.zt.ua,"Україна,м. Житомир.вул. Леха Качинського,буд.20",,,обтяження відсутнє,,,,,Всеукраїнське об’єднання “Батьківщина”,Житомирська обласна організація,25776533,Житомирська область,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","газета ""Батьківщина-Закарпаття"" свідоцтво Серія ЗТ №524/116Р",м. Мукачево,2010-10-06,,обтяження відсутнє,,,,,Всеукраїнське об’єднання “Батьківщина”,Закарпатська обласна організація,25446205,Закарпатська область,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","сайт ""Івано-Франківська Міська Організація Політичної Партії БАТЬКІВЩИНА ВСЕУКРАЇНСЬКЕ ОБ'ЄДНАННЯ ""","76019,Україна, Івано-Франківська обл., м. Івано-Франківськ, вул. Тичини,буд.8А",2015-09-29,,обтяження відсутнє,,,,,Всеукраїнське об’єднання “Батьківщина”,Івано-Франківська міська організація,33860202,Івано-Франківська область,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",домен ba.if.ua,"76019,Україна, Івано-Франківська обл., м. Івано-Франківськ, вул. Тичини,буд.8А",,,обтяження відсутнє,2017-09-29,,"101,25",,Всеукраїнське об’єднання “Батьківщина”,Івано-Франківська міська організація,33860202,Івано-Франківська область,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",10_m_Boryspil@byut.com.ua,"м. Бориспіль,вул. Київский шлях, буд.76-а",,,обтяження відсутнє,,,,,Всеукраїнське об’єднання “Батьківщина”,Бориспільська міська організація,25951133,Київська область,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друковані засоби масової інформації газета ""Наша Батьківщина""",м. Миколаїв,,,обтяження відсутнє,,,,,Всеукраїнське об’єднання “Батьківщина”,Миколаївська обласна організація,23405295,Миколаївська область,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Газета ""Батьківщина Сумська"" серія СМ №772/394Р",,2013-05-07,,обтяження відсутнє,,,,,Всеукраїнське об’єднання “Батьківщина”,Сумська обласна організація,24011118,Сумська область,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Газета ""Під прапором Батьківщини"", Свідоцтво №507, серія ХМ","Хмельницька обл.,м. Хмельницький, вул. Проскурівська, будинок 17",2005-07-29,,обтяження відсутнє,,,,,Всеукраїнське об’єднання “Батьківщина”,Хмельницька обласна організація,22777686,Хмельницька область,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Газета ""Твоя Батьківщина"" серія свідоцтво № ЧС від 29.09.2005","Україна, м. Черкаси, вул. Смілянська, буд.23, оф.35",2005-09-29,,обтяження відсутнє,,,,,Всеукраїнське об’єднання “Батьківщина”,Черкаська обласна організація,25770087,Черкаська область,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друковані засоби массової інформації газета""Голос Батьківщини""",,,,обтяження відсутнє,,,,,Всеукраїнське об’єднання “Батьківщина”,Чернігівська обласна організація,25785516,Чернігівська область,3,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Слово Батьківщини,"Україна, м. Чернівці, вул. Кафедральна 8/1",2005-08-08,,обтяження відсутнє,,,,,Всеукраїнське об’єднання “Батьківщина”,Чернівецька обласна організація,21436173,Чернівецька область,3,2017
