Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний об’єкт,Дата,Квартал,Рік,Коментар
"ПАТ КБ ""Приватбанк"" ",рахунок виборчого фонду політичної партії,26433055700077,0,Опозиційний блок,Запорізька обласна організація,37526809,Запорізька область,2017-06-30,2,2017,поточний
"ПАТ КБ ""Приватбанк"" ",рахунок виборчого фонду політичної партії,26438055700254,0,Опозиційний блок,Запорізька обласна організація,37526809,Запорізька область,2017-06-30,2,2017,поточний
ПАТ “ПУМБ”,поточний рахунок,2600115305,0,Опозиційний блок,Івано-Франківська обласна організація,39711819,Івано-Франківська область,2017-06-30,2,2017,
"АТ ""Місто банк""",поточний рахунок,26006001030575,"24466,28",Опозиційний блок,Київська обласна організація,39756467,Київська область,2017-06-30,2,2017,
"АБ ""Південний""",поточний рахунок,26000010007869,"7235,39",Опозиційний блок,Кіровоградська обласна організація,39662568,Кіровоградська область,2017-06-30,2,2017,
"АТ ""Ощадбанк""",поточний рахунок,26007300828305,"18,98",Опозиційний блок,Краснолиманська міська організація,39912690,Донецька область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26009053604382,"338,6",Опозиційний блок,Краматорська міська організація,39898949,Донецька область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26001053607086,"245,42",Опозиційний блок,Костянтинівська районна організація,39897510,Донецька область,2017-06-30,2,2017,
"АТ ""Ощадбанк""",поточний рахунок,26008301680625,"8993,16",Опозиційний блок,Луганська обласна організація,39697428,Луганська область,2017-06-30,2,2017,
"ПАТ ""Укрсоцбанк""",поточний рахунок,26003011699073,0,Опозиційний блок,Львівська обласна організація,37613126,Львівська область,2017-06-30,2,2017,
"АБ ""Кліринговий дім""",поточний рахунок,26008010263,"15,04",Опозиційний блок,Київська міська організація,37311846,Київ,2017-06-30,2,2017,
"АТ ""Ощадбанк""",поточний рахунок,26001300831495,"3292,05",Опозиційний блок,Мар’їнська районна організація,39904009,Донецька область,2017-06-30,2,2017,
ПАТ “ПУМБ”,поточний рахунок,2600214189,"187,13",Опозиційний блок,Маріупольська міська організація,39905107,Донецька область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26000053226136,1394,Опозиційний блок,Первомайська міська організація,39874273,Миколаївська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26006051828075,"4355,45",Опозиційний блок,Мирноградська міська організація,39951441,Донецька область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26003053219452,0,Опозиційний блок,Новобузька районна організація,39843072,Миколаївська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26009051827534,0,Опозиційний блок,Новогродівська міська організація,39904281,Донецька область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26055051820165,0,Опозиційний блок,Новогродівська міська організація,39904281,Донецька область,2017-06-30,2,2017,
"ПАТ ""Банк Восток""",поточний рахунок,26007010349074,"776,86",Опозиційний блок,Одеська обласна організація,39705145,Одеська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк"" ",рахунок виборчого фонду політичної партії,26437054300662,0,Опозиційний блок,Одеська обласна організація,39705145,Одеська область,2017-06-30,2,2017,
ПАТ “ПУМБ”,поточний рахунок,2600115288,"102,2",Опозиційний блок,Першотравнева районна організація,39929882,Донецька область,2017-06-30,2,2017,
ПАТ “ПУМБ”,поточний рахунок,2605810647,0,Опозиційний блок,Першотравнева районна організація,39929882,Донецька область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26006053607531,"28,41",Опозиційний блок,Олександрівська районна організація,39908600,Донецька область,2017-06-30,2,2017,
"АТ ""Ощадбанк""",поточний рахунок,26005300845391,"1002,91",Опозиційний блок,Покровська міська організація,39949060,Донецька область,2017-06-30,2,2017,
"АТ ""Ощадбанк""",поточний рахунок,26000300844988,"1675,08",Опозиційний блок,Покровська районна організація,39926169,Донецька область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26007054626513,2197,Опозиційний блок,Полтавська обласна організація,39763762,Полтавська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26007053606382,0,Опозиційний блок,Слов’янська районна організація,39923236,Донецька область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26002053609629,0,Опозиційний блок,Слов’янська міська організація,39902834,Донецька область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26000051830810,"0,25",Опозиційний блок,Селидовська міська організація,39910295,Донецька область,2017-06-30,2,2017,
"АБ ""Укргазбанк""",поточний рахунок,26009299493,"8175,91",Опозиційний блок,Рівненська обласна організація,39661171,Рівненська область,2017-06-30,2,2017,
"АТ ""Ощадбанк""",поточний рахунок,26001300953074,"7120,38",Опозиційний блок,Сумська обласна організація,39673391,Сумська область,2017-06-30,2,2017,
ПАТ “ПУМБ”,поточний рахунок,2600915358,"1486,25",Опозиційний блок,Херсонська обласна організація,37542218,Херсонська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26008052302553,1153,Опозиційний блок,Хмельницька обласна організація,39698166,Хмельницька область,2017-06-30,2,2017,
"АТ ""Ощадбанк""",поточний рахунок,26002301144523,"8056,95",Опозиційний блок,Черкаська обласна організація,39880926,Черкаська область,2017-06-30,2,2017,
ПАТ “ПУМБ”,поточний рахунок,2600815298,119,Опозиційний блок,Чернівецька обласна організація,39952906,Чернівецька область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26003051415812,"3575,99",Опозиційний блок,Чернігівська обласна організація,37418136,Чернігівська область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк"" ",рахунок виборчого фонду політичної партії,26422051400668,0,Опозиційний блок,Чернігівська міська організація,39872669,Чернігівська область,2017-06-30,2,2017,(дата закриття — 13.06.2017)
"ПАТ КБ ""Приватбанк"" ",рахунок виборчого фонду політичної партії,26428051400532,0,Опозиційний блок,Чернігівська міська організація,39872669,Чернігівська область,2017-06-30,2,2017,(дата закриття — 13.06.2017)
