Партія,Місцева організація,Область,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
Опозиційний блок,Чернігівська обласна організація,Чернігівська область,37418136,"14038, Чернігівська обл., місто Чернігів, проспект ПЕРЕМОГИ, будинок 139","14038, Чернігівська обл., місто Чернігів, проспект ПЕРЕМОГИ, будинок 139","ПАТ КБ ""Приватбанк"", МФО 353586, рахунок № 26003051415812"
Опозиційний блок,Чернівецька обласна організація,Чернівецька область,39952906,"58000, Чернівецька обл., місто Чернівці, вулиця ГОЛОВНА, будинок 26, квартира 15",,"ПАТ ""ПУМБ"" відділення №2 в м. Чернівці, МФО 334851, рахунок № 2600815298"
Опозиційний блок,Київська міська організація,Київ,37311846,"04070, м.Київ, вулиця ВОЛОСЬКА, будинок 6/14",,"АТ ""Банк ""Кліринговий дім"", МФО 300647, рахунок № 26008010263"
Опозиційний блок,Бахмутська міська організація,Донецька область,39904680,"84500, Донецька обл., місто Бахмут, вулиця ШИРОКА, будинок 4",,"Філія Донецьке ОУ АТ «Ощадбанк», МФО 335106, рахунки № 26001300828840, 26001300992077"
Опозиційний блок,Бахмутська районна організація,Донецька область,39907559,"84500, Донецька обл., місто Бахмут, вулиця ШИРОКА, будинок 4",,"ТВБВ 10004\0289 Філія ДОУ АТ «Ощадбанк», МФО 335106, рахунки№ 26007300828899, 26008300990180"
Опозиційний блок,Великоновосілківська районна організація,Донецька область,39947435,"85500, Донецька обл., Великоновосілківський район, селище міського типу Велика Новосілка, вулиця ОКТЯБРСЬКА, будинок 31",,"Філії Донецьке ОУ АТ ""Ощадбанк"", МФО 335106, рахунок № 26009300831787"
Опозиційний блок,Волноваська районна організація,Донецька область,39945202,"85700, Донецька обл., Волноваський район, місто Волноваха, вулиця 60 РОКІВ СРСР, будинок 14",,"ТВБВ №10004/0312 Філія - Донецьке обласне управління АТ ""Ощадбанк"", МФО 335106, рахунок № 26000300833751"
Опозиційний блок,Володарська районна організація,Донецька область,39913123,"87031, Донецька обл., Володарський район, село Кременівка, вулиця ОКТЯБРСЬКА, будинок 11",,"ПАТ ПУМБ,  МФО 334851, рахунок № 2600614183"
Опозиційний блок,Вугледарська міська організація,Донецька область,39959058,"85670, Донецька обл., місто Вугледар, вулиця 30 РІЧЧЯ ПЕРЕМОГИ , будинок 12, квартира 49",,"ПАТ КБ ""Приватбанк"", МФО 335496, рахунок №26004051823384"
Опозиційний блок,Дзержинська міська організація,Донецька область,39906247,"85200, Донецька обл., місто Дзержинськ, вулиця 50 РОКІВ ЖОВТНЯ, будинок 5, квартира 7",,
Опозиційний блок,Дружківська міська організація,Донецька область,39901343,"84200, Донецька обл., місто Дружківка, вулиця ЛЕНІНА, будинок 6",,"ПАТ КБ ""Приватбанк"", МФО 335548, рахунок № 26006053607917"
Опозиційний блок,Добропільська міська організація,Донецька область,39906749,"85004, Донецька обл., місто Добропілля, вулиця ЗАЛІЗНИЧНА , будинок 1",,"ТВБВ №10004/01 Філія - Донецьке обласне управління АТ ""Ощадбанк"", МФО 335106, рахунок № 26001300840022"
Опозиційний блок,Добропільська районна організація,Донецька область,39921658,"85022, Донецька обл., Добропільський район, село Ганнівка, вулиця ХОДНЕВИЧА, будинок 10",,"ТВБВ № 10004/01 філії Донецького обласного управління АТ ""Ощадбанк"", МФО 00032129, рахунок № 26009300842743"
Опозиційний блок,Мирноградська міська організація,Донецька область,39951441,"85323, Донецька обл., місто Мирноград, вулиця СОБОРНА, будинок 28",,"ПАТ КБ ""Приватбанк"", МФО 335496, рахунки №№ 26006051828075"
Опозиційний блок,Краматорська міська організація,Донецька область,39898949,"84331, Донецька обл., місто Краматорськ, вулиця ДВІРЦЕВА, будинок 43, квартира 39",,"ПАТ КБ ""Приватбанк"", МФО 335548, рахунок № 26009053604382"
Опозиційний блок,Краснолиманська міська організація,Донецька область,39912690,"84400, Донецька обл., місто Красний Лиман, вулиця СВОБОДИ, будинок 23",,"Філія Донецьке ОУ АТ ""Ощадбанк"", МФО 335106, рахунок № 26007300828305"
Опозиційний блок,Покровська міська організація,Донецька область,39949060,"85300, Донецька обл., місто Покровськ, МІКРОРАЙОН ""ШАХТАРСЬКИЙ"", будинок 23, офіс 10",,"Філія Донецького ОУ АТ ""Ощадбанк"", МФО 335106, рахунок № 26005300845391"
Опозиційний блок,Покровська районна організація,Донецька область,39926169,"85300, Донецька обл., місто Покровськ, вулиця НОВОСІЛЬСЬКА, будинок 32",,"Філія Донецького ОУ АТ ""Ощадбанк"", МФО 300465, рахунок № 26000300844988"
Опозиційний блок,Костянтинівська міська організація,Донецька область,39923697,"85109, Донецька обл., місто Костянтинівка, вулиця КИЇВСЬКА, будинок 34",,
Опозиційний блок,Костянтинівська районна організація,Донецька область,39897510,"85110,Донецька обл., Костянтинівський район, селище Довга Балка, вулиця САДОВА, будинок 29",,"ПАТ КБ ""Приватбанк"", МФО 335548, рахунок № 26001053607086"
Опозиційний блок,Маріупольська міська організація,Донецька область,39905107,"87502, Донецька обл., місто Маріуполь, вулиця ПАШКОВСЬКОГО, будинок 30, квартира 13","87515, Донецька обл., місто Маріуполь, вулиця АРТЕМА, будинок 47, приміщення 31,16","Віділення ПУМБ «РЦ в м. Маріуполь», МФО 334851, рахунок № 2600214189"
Опозиційний блок,Мар’їнська районна організація,Донецька область,39904009,"85612, Донецька обл., Мар'їнський район, місто Курахове, вулиця ПОБЄДИ, будинок 16, квартира 124",,"ПАТ ТВБВ № 10004/0551 філія - Донецьке обласне управління АТ ""Ощадбанк"", МФО 300465, рахунок № 26001300831495"
Опозиційний блок,Новогродівська міська організація,Донецька область,39904281,"85483, Донецька обл., місто Новогродівка, вулиця О.КОШОВОГО, будинок 16, квартира 2",,"Філія ""ДРУ ПАТ КБ ""Приватбанк"", МФО 335496, рахунки № 26009051827534, 26055051820165"
Опозиційний блок,Олександрівська районна організація,Донецька область,39908600,"84000, Донецька обл., Олександрівський район, селище міського типу Олександрівка, вулиця І.ФРАНКА, будинок 45",,"ПАТ КБ ""ПРИВАТБАНК"", МФО 335548, рахунок № 26006053607531"
Опозиційний блок,Першотравнева районна організація,Донецька область,39929882,"87400, Донецька обл., Мангушський район, селище міського типу Мангуш, вулиця КРАСНОАРМІЙСЬКА, будинок 22/41, квартира 18",,"ПАТ ПУМБ,  МФО 334851, рахунок 2600115288, 2605810647"
Опозиційний блок,Селидовська міська організація,Донецька область,39910295,"85400, Донецька обл., місто Селидове, вулиця ЩОРСА, будинок 7, квартира 6",,"ПАТ КБ ""Приватбанк"", МФО 335496, рахунок № 26000051830810"
Опозиційний блок,Слов’янська міська організація,Донецька область,39902834,"21000, Вінницька обл., місто Вінниця, вулиця ПЕРШОТРАВНЕВА, будинок 43",,"Слов’янське відділення Краматорської філії ПАТ КБ ""Приватбанк"", МФО 335548, рахунок № 26002053609629"
Опозиційний блок,Слов’янська районна організація,Донецька область,39923236,"84100, Донецька обл., місто Слов'янськ, вулиця ЖОВТНЕВОЇ РЕВОЛЮЦІЇ, будинок 56, квартира 13",,"Краматорська філія ПАТ КБ «Приватбанк», МФО 335548, рахунок № 26007053606382"
Опозиційний блок,Арбузинська районна організація,Миколаївська область,39850624,"55301, Миколаївська обл., Арбузинський район, селище міського типу Арбузинка, вулиця ШЕВЧЕНКА, будинок 212, квартира 4",,
Опозиційний блок,Баштанська районна організація,Миколаївська область,39843753,"56101, Миколаївська обл., Баштанський район, місто Баштанка, вулиця АГЄЄВА, будинок 12",,
Опозиційний блок,Березанська районна організація,Миколаївська область,39853944,"57400, Миколаївська обл., Березанський район, селище міського типу Березанка, вулиця СУВОРОВА, будинок 81, квартира 4",,
Опозиційний блок,Березнегуватська районна організація,Миколаївська область,39840270,"56203, Миколаївська обл., Березнегуватський район, селище міського типу Березнегувате, вулиця КУЗЬМЕНКА, будинок 142",,
Опозиційний блок,Братська районна організація,Миколаївська область,39890447,"55401, Миколаївська обл., Братський район, селище міського типу Братське, БЕНАРДОСА , будинок 58",,
Опозиційний блок,Веселинівська районна організація,Миколаївська область,39921569,"57001, Миколаївська обл., Веселинівський район, селище міського типу Веселинове, вулиця ЛЕНІНА, будинок 1",,
Опозиційний блок,Вознесенська міська організація,Миколаївська область,39868673,"56500, Миколаївська обл., місто Вознесенськ, вулиця КІРОВА, будинок 35",,
Опозиційний блок,Вознесенська районна організація,Миколаївська область,39867135,"56500, Миколаївська обл., місто Вознесенськ, вулиця КІРОВА, будинок 35",,
Опозиційний блок,Врадіївська районна організація,Миколаївська область,39870148,"56301, Миколаївська обл., Врадіївський район, селище міського типу Врадіївка, вулиця ДАЧНА, будинок 11",,
Опозиційний блок,Доманівська районна організація,Миколаївська область,39856338,"56401, Миколаївська обл., Доманівський район, селище міського типу Доманівка, вулиця БУДІВЕЛЬНА, будинок 4",,
Опозиційний блок,Єланецька районна організація,Миколаївська область,39896407,"55501, Миколаївська обл., Єланецький район, селище міського типу Єланець, вулиця ВАТУТІНА, будинок 25 А",,
Опозиційний блок,Вітовська районна організація,Миколаївська область,39850859," 57220, Миколаївська обл., Вітовський район, село Пересадівка, вулиця ІСТОМІНА, будинок 1",,
Опозиційний блок,Казанківська районна організація,Миколаївська область,39882609,"56001, Миколаївська обл., Казанківський район, селище міського типу Казанка, вулиця ЖОВТНЕВОЇ РЕВОЛЮЦІЇ, будинок 37",,
Опозиційний блок,Кривоозерська районна організація,Миколаївська область,38442772,"55104, Миколаївська обл., Кривоозерський район, селище міського типу Криве Озеро, вулиця СПОРТИВНА, будинок 54-А",,
Опозиційний блок,Миколаївська міська організація,Миколаївська область,39873196,"54020, Миколаївська обл., місто Миколаїв, вулиця ДЕКАБРИСТІВ, будинок 41/23, корпус А",,"ПАТ ""ПУМБ"" м. Миколаїв, МФО 334851, рахунок № 2600113642"
Опозиційний блок,Миколаївська районна організація,Миколаївська область,39907880,"57125, Миколаївська обл., Миколаївський район, село Кир'яківка, вулиця НАБЕРЕЖНА, будинок 13-А",,
Опозиційний блок,Новобузька районна організація,Миколаївська область,39843072,"55601, Миколаївська обл., Новобузький район, місто Новий Буг, вулиця ЧАПАЄВА, будинок 1А",,"МФ ""ПриватБанк"", МФО 326610, рахунок № 26003053219452"
Опозиційний блок,Новоодеська районна організація,Миколаївська область,39848930,"56602, Миколаївська обл., Новоодеський район, місто Нова Одеса, вулиця ЖОВТНЕВА, будинок 15",,
Опозиційний блок,Очаківська міська організація,Миколаївська область,39863099,"57508, Миколаївська обл., місто Очаків, вулиця ЛУНАЧАРСЬКОГО , будинок 32",,
Опозиційний блок,Очаківська районна організація,Миколаївська область,39863167,"57508, Миколаївська обл., місто Очаків, вулиця МИРУ, будинок 23",,
Опозиційний блок,Первомайська міська організація,Миколаївська область,39874273,"55200, Миколаївська обл., місто Первомайськ, вулиця ШЕВЧЕНКА, будинок 2",,"МФ ""ПриватБанк"", МФО 326610, рахунок № 26000053226136"
Опозиційний блок,Первомайська районна організація,Миколаївська область,39856448,"55200, Миколаївська обл., місто Первомайськ, вулиця ВОРОВСЬКОГО, будинок 122",,
Опозиційний блок,Снігурівська районна організація,Миколаївська область,39886137,"57300, Миколаївська обл., Снігурівський район, місто Снігурівка, вулиця ЖОВТНЕВА, будинок 114",,
Опозиційний блок,Южноукраїнська міська організація,Миколаївська область,39849870,"55002, Миколаївська обл., місто Южноукраїнськ, бульвар ЦВІТОЧНИЙ, будинок 4, кімната 72",,
Опозиційний блок,Кременчуцька міська організація,Полтавська область,39966510,"39600, Полтавська обл., місто Кременчук, бульвар ПУШКІНА, будинок 7",,
Опозиційний блок,Ніжинська міська організація,Чернігівська область,39859166,"16600, Чернігівська обл., місто Ніжин, вулиця БЕРЕЗАНСЬКА, будинок 8 А, корпус 2, квартира 65",,
Опозиційний блок,Прилуцька міська організація,Чернігівська область,39856961,"17500, Чернігівська обл., місто Прилуки, вулиця КИЇВСЬКА, будинок 216/4",,
Опозиційний блок,Чернігівська міська організація,Чернігівська область,39872669,"14000, Чернігівська обл., місто Чернігів, проспект ПЕРЕМОГИ, будинок 139",,
Опозиційний блок,Центральний офіс,Україна,37120464,"04070, місто Київ, вулиця Волоська, будинок 6/14",,"Київська філія АТ ""Місто банк"", МФО 380593, рахунки № 26008001030506, 26007002030506, Відділення ПУМБ ""РЦ в м.Києві"", МФО 334851, рахунок № 260058463, № 26007011076294 в ПАТ ""Укрсоцбанк"", МФО 300023"
